TEMPORAL;ESTADO_DATO;IVGS_TIPVENT;IVGS_SERIEIVGS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2001-05;P;03;02;C01;INDICE;120.594671074;M
2001-06;P;01;02;C01;INDICE;120.684029599;M
2001-06;P;02;02;C01;INDICE;118.765286271;M
2001-06;P;03;02;C01;INDICE;122.121235899;M
2001-07;P;01;02;C01;INDICE;118.680813822;M
2001-07;P;02;02;C01;INDICE;116.163296601;M
2001-07;P;03;02;C01;INDICE;120.706971193;M
2001-08;P;01;02;C01;INDICE;119.924106491;M
2001-08;P;02;02;C01;INDICE;117.661667182;M
2001-08;P;03;02;C01;INDICE;121.526541693;M
2001-09;P;01;02;C01;INDICE;119.496831627;M
2001-09;P;02;02;C01;INDICE;117.905691672;M
2001-09;P;03;02;C01;INDICE;120.705181534;M
2001-10;P;01;02;C01;INDICE;121.331017507;M
2001-10;P;02;02;C01;INDICE;119.395689832;M
2001-10;P;03;02;C01;INDICE;122.332081125;M
2001-11;P;01;02;C01;INDICE;120.350994272;M
2001-11;P;02;02;C01;INDICE;116.510404484;M
2001-11;P;03;02;C01;INDICE;122.505624293;M
2001-12;P;01;02;C01;INDICE;121.467972427;M
2001-12;P;02;02;C01;INDICE;118.051408441;M
2001-12;P;03;02;C01;INDICE;123.217035418;M
2002-01;P;01;02;C01;INDICE;118.840223736;M
2002-01;P;02;02;C01;INDICE;117.946571121;M
2002-01;P;03;02;C01;INDICE;119.584594007;M
2002-02;P;01;02;C01;INDICE;121.328791872;M
2002-02;P;02;02;C01;INDICE;117.846634608;M
2002-02;P;03;02;C01;INDICE;123.416500005;M
2002-03;P;01;02;C01;INDICE;122.942721837;M
2002-03;P;02;02;C01;INDICE;118.907033964;M
2002-03;P;03;02;C01;INDICE;126.587265827;M
2002-04;P;01;02;C01;INDICE;122.025420124;M
2002-04;P;02;02;C01;INDICE;119.221714907;M
2002-04;P;03;02;C01;INDICE;122.820705403;M
2002-05;P;01;02;C01;INDICE;124.801888269;M
2002-05;P;02;02;C01;INDICE;121.094783911;M
2002-05;P;03;02;C01;INDICE;127.58915484;M
2002-06;P;01;02;C01;INDICE;120.839294996;M
2002-06;P;02;02;C01;INDICE;117.796809827;M
2002-06;P;03;02;C01;INDICE;123.141049267;M
2002-07;P;01;02;C01;INDICE;124.405758214;M
2002-07;P;02;02;C01;INDICE;119.314914875;M
2002-07;P;03;02;C01;INDICE;127.435541317;M
2002-08;P;01;02;C01;INDICE;124.739624215;M
2002-08;P;02;02;C01;INDICE;118.778416665;M
2002-08;P;03;02;C01;INDICE;128.167326597;M
2002-09;P;01;02;C01;INDICE;127.782823908;M
2002-09;P;02;02;C01;INDICE;119.124929486;M
2002-09;P;03;02;C01;INDICE;133.022198582;M
2002-10;P;01;02;C01;INDICE;123.933212194;M
2002-10;P;02;02;C01;INDICE;116.789305235;M
2002-10;P;03;02;C01;INDICE;128.183948829;M
2002-11;P;01;02;C01;INDICE;126.134958518;M
2002-11;P;02;02;C01;INDICE;118.33619087;M
2002-11;P;03;02;C01;INDICE;130.556015492;M
2002-12;P;01;02;C01;INDICE;123.14036974;M
2002-12;P;02;02;C01;INDICE;116.771380027;M
2002-12;P;03;02;C01;INDICE;128.467281415;M
2003-01;P;01;02;C01;INDICE;126.708157971;M
2003-01;P;02;02;C01;INDICE;115.519730545;M
2003-01;P;03;02;C01;INDICE;133.083513366;M
2003-02;P;01;02;C01;INDICE;127.178909321;M
2003-02;P;02;02;C01;INDICE;116.549208094;M
2003-02;P;03;02;C01;INDICE;133.108984286;M
2003-03;P;01;02;C01;INDICE;124.98121885;M
2003-03;P;02;02;C01;INDICE;115.586692802;M
2003-03;P;03;02;C01;INDICE;130.08383692;M
2003-04;P;01;02;C01;INDICE;127.97720236;M
2003-04;P;02;02;C01;INDICE;116.738190544;M
2003-04;P;03;02;C01;INDICE;134.927360709;M
2003-05;P;01;02;C01;INDICE;129.642714924;M
2003-05;P;02;02;C01;INDICE;116.589028028;M
2003-05;P;03;02;C01;INDICE;137.041082277;M
2003-06;P;01;02;C01;INDICE;128.768910288;M
2003-06;P;02;02;C01;INDICE;117.845374792;M
2003-06;P;03;02;C01;INDICE;135.546546437;M
2003-07;P;01;02;C01;INDICE;128.205086168;M
2003-07;P;02;02;C01;INDICE;116.166136887;M
2003-07;P;03;02;C01;INDICE;135.720734323;M
2003-08;P;01;02;C01;INDICE;130.786335806;M
2003-08;P;02;02;C01;INDICE;119.878359125;M
2003-08;P;03;02;C01;INDICE;137.876922657;M
2003-09;P;01;02;C01;INDICE;128.721458796;M
2003-09;P;02;02;C01;INDICE;116.538030642;M
2003-09;P;03;02;C01;INDICE;135.826760085;M
2003-10;P;01;02;C01;INDICE;132.16947109;M
2003-10;P;02;02;C01;INDICE;117.097705529;M
2003-10;P;03;02;C01;INDICE;141.218154251;M
2003-11;P;01;02;C01;INDICE;131.404064923;M
2003-11;P;02;02;C01;INDICE;117.494325125;M
2003-11;P;03;02;C01;INDICE;139.725231572;M
2003-12;P;01;02;C01;INDICE;132.832678805;M
2003-12;P;02;02;C01;INDICE;117.150606306;M
2003-12;P;03;02;C01;INDICE;142.393582898;M
2004-01;P;01;02;C01;INDICE;129.821921135;M
2004-01;P;02;02;C01;INDICE;115.702503031;M
2004-01;P;03;02;C01;INDICE;137.79067819;M
2004-02;P;01;02;C01;INDICE;130.103460319;M
2004-02;P;02;02;C01;INDICE;112.808784314;M
2004-02;P;03;02;C01;INDICE;138.90283923;M
2004-03;P;01;02;C01;INDICE;132.307937943;M
2004-03;P;02;02;C01;INDICE;117.500211824;M
2004-03;P;03;02;C01;INDICE;140.810721412;M
2004-04;P;01;02;C01;INDICE;131.934093241;M
2004-04;P;02;02;C01;INDICE;115.76961695;M
2004-04;P;03;02;C01;INDICE;141.563860739;M
2004-05;P;01;02;C01;INDICE;131.368230576;M
2004-05;P;02;02;C01;INDICE;115.352281286;M
2004-05;P;03;02;C01;INDICE;140.125404119;M
2004-06;P;01;02;C01;INDICE;136.340816789;M
2004-06;P;02;02;C01;INDICE;119.240167951;M
2004-06;P;03;02;C01;INDICE;146.35499454;M
2004-07;P;01;02;C01;INDICE;135.298090747;M
2004-07;P;02;02;C01;INDICE;119.210026333;M
2004-07;P;03;02;C01;INDICE;144.545407132;M
2004-08;P;01;02;C01;INDICE;134.081316815;M
2004-08;P;02;02;C01;INDICE;117.52030825;M
2004-08;P;03;02;C01;INDICE;144.488869003;M
2004-09;P;01;02;C01;INDICE;134.800468575;M
2004-09;P;02;02;C01;INDICE;117.857171028;M
2004-09;P;03;02;C01;INDICE;144.642253397;M
