TEMPORAL;TERRITORIO_1;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2009;6602;;00;00;;2674.0;A
2009;6602;04;00;04;;38.0;A
2009;6602;04;00;18;;3.0;A
2009;6602;04;00;23;;1.0;A
2009;6602;04;00;29;;3.0;A
2009;6602;04;00;C01;;45.0;A
2009;6602;04;00;C02;;8.0;A
2009;6602;04;00;66;;47.0;A
2009;6602;04;00;NC000;;4.0;A
2009;6602;04;00;00;;104.0;A
2009;6602;11;00;11;;159.0;A
2009;6602;11;00;14;;3.0;A
2009;6602;11;00;18;;4.0;A
2009;6602;11;00;21;;2.0;A
2009;6602;11;00;23;;2.0;A
2009;6602;11;00;29;;3.0;A
2009;6602;11;00;41;;6.0;A
2009;6602;11;00;C01;;179.0;A
2009;6602;11;00;C02;;55.0;A
2009;6602;11;00;66;;301.0;A
2009;6602;11;00;NC000;;5.0;A
2009;6602;11;00;00;;540.0;A
2009;6602;14;00;11;;2.0;A
2009;6602;14;00;14;;47.0;A
2009;6602;14;00;18;;3.0;A
2009;6602;14;00;23;;1.0;A
2009;6602;14;00;41;;1.0;A
2009;6602;14;00;C01;;54.0;A
2009;6602;14;00;C02;;13.0;A
2009;6602;14;00;66;;49.0;A
2009;6602;14;00;NC000;;3.0;A
2009;6602;14;00;00;;119.0;A
2009;6602;18;00;04;;1.0;A
2009;6602;18;00;11;;3.0;A
2009;6602;18;00;14;;3.0;A
2009;6602;18;00;18;;156.0;A
2009;6602;18;00;23;;6.0;A
2009;6602;18;00;29;;5.0;A
2009;6602;18;00;41;;3.0;A
2009;6602;18;00;C01;;177.0;A
2009;6602;18;00;C02;;35.0;A
2009;6602;18;00;66;;162.0;A
2009;6602;18;00;NC000;;3.0;A
2009;6602;18;00;00;;377.0;A
2009;6602;21;00;11;;1.0;A
2009;6602;21;00;14;;1.0;A
2009;6602;21;00;21;;31.0;A
2009;6602;21;00;41;;1.0;A
2009;6602;21;00;C01;;34.0;A
2009;6602;21;00;C02;;8.0;A
2009;6602;21;00;66;;12.0;A
2009;6602;21;00;NC000;;2.0;A
2009;6602;21;00;00;;56.0;A
2009;6602;23;00;14;;1.0;A
2009;6602;23;00;18;;3.0;A
2009;6602;23;00;23;;32.0;A
2009;6602;23;00;C01;;36.0;A
2009;6602;23;00;C02;;7.0;A
2009;6602;23;00;66;;39.0;A
2009;6602;23;00;00;;82.0;A
2009;6602;29;00;04;;1.0;A
2009;6602;29;00;11;;7.0;A
2009;6602;29;00;14;;8.0;A
2009;6602;29;00;18;;9.0;A
2009;6602;29;00;23;;5.0;A
2009;6602;29;00;29;;201.0;A
2009;6602;29;00;41;;7.0;A
2009;6602;29;00;C01;;238.0;A
2009;6602;29;00;C02;;71.0;A
2009;6602;29;00;66;;726.0;A
2009;6602;29;00;NC000;;20.0;A
2009;6602;29;00;00;;1055.0;A
2009;6602;41;00;04;;1.0;A
2009;6602;41;00;11;;9.0;A
2009;6602;41;00;14;;5.0;A
2009;6602;41;00;18;;4.0;A
2009;6602;41;00;21;;6.0;A
2009;6602;41;00;23;;3.0;A
2009;6602;41;00;29;;2.0;A
2009;6602;41;00;41;;127.0;A
2009;6602;41;00;C01;;157.0;A
2009;6602;41;00;C02;;30.0;A
2009;6602;41;00;66;;150.0;A
2009;6602;41;00;NC000;;4.0;A
2009;6602;41;00;00;;341.0;A
2009;6603;;00;04;;4861.0;A
2009;6603;;00;11;;2492.0;A
2009;6603;;00;14;;1347.0;A
2009;6603;;00;18;;5616.0;A
2009;6603;;00;21;;481.0;A
2009;6603;;00;23;;1062.0;A
2009;6603;;00;29;;3458.0;A
2009;6603;;00;41;;2900.0;A
2009;6603;;00;C01;;22217.0;A
2009;6603;;00;C02;;1195.0;A
2009;6603;;00;66;;44882.0;A
2009;6603;;00;NC000;;1131.0;A
2009;6603;;00;00;;69425.0;A
2009;6603;04;00;04;;4803.0;A
2009;6603;04;00;14;;2.0;A
2009;6603;04;00;18;;30.0;A
2009;6603;04;00;21;;1.0;A
2009;6603;04;00;23;;2.0;A
2009;6603;04;00;29;;5.0;A
2009;6603;04;00;41;;2.0;A
2009;6603;04;00;C01;;4845.0;A
2009;6603;04;00;C02;;101.0;A
2009;6603;04;00;66;;11274.0;A
2009;6603;04;00;NC000;;236.0;A
2009;6603;04;00;00;;16456.0;A
2009;6603;11;00;04;;3.0;A
2009;6603;11;00;11;;2382.0;A
2009;6603;11;00;14;;11.0;A
2009;6603;11;00;18;;11.0;A
2009;6603;11;00;21;;2.0;A
2009;6603;11;00;23;;4.0;A
2009;6603;11;00;29;;12.0;A
2009;6603;11;00;41;;61.0;A
2009;6603;11;00;C01;;2486.0;A
2009;6603;11;00;C02;;188.0;A
2009;6603;11;00;66;;3451.0;A
2009;6603;11;00;NC000;;58.0;A
2009;6603;11;00;00;;6183.0;A
2009;6603;14;00;04;;2.0;A
2009;6603;14;00;11;;3.0;A
2009;6603;14;00;14;;1258.0;A
2009;6603;14;00;18;;8.0;A
2009;6603;14;00;21;;1.0;A
2009;6603;14;00;23;;3.0;A
2009;6603;14;00;29;;4.0;A
2009;6603;14;00;41;;9.0;A
2009;6603;14;00;C01;;1288.0;A
2009;6603;14;00;C02;;45.0;A
2009;6603;14;00;66;;1829.0;A
2009;6603;14;00;NC000;;34.0;A
2009;6603;14;00;00;;3196.0;A
2009;6603;18;00;04;;24.0;A
2009;6603;18;00;11;;9.0;A
2009;6603;18;00;14;;8.0;A
2009;6603;18;00;18;;5497.0;A
2009;6603;18;00;21;;3.0;A
2009;6603;18;00;23;;30.0;A
2009;6603;18;00;29;;14.0;A
2009;6603;18;00;41;;10.0;A
2009;6603;18;00;C01;;5595.0;A
2009;6603;18;00;C02;;156.0;A
2009;6603;18;00;66;;11518.0;A
2009;6603;18;00;NC000;;357.0;A
2009;6603;18;00;00;;17626.0;A
2009;6603;21;00;11;;2.0;A
2009;6603;21;00;14;;3.0;A
2009;6603;21;00;21;;437.0;A
2009;6603;21;00;29;;1.0;A
2009;6603;21;00;41;;9.0;A
2009;6603;21;00;C01;;452.0;A
2009;6603;21;00;C02;;33.0;A
2009;6603;21;00;66;;721.0;A
2009;6603;21;00;NC000;;9.0;A
2009;6603;21;00;00;;1215.0;A
2009;6603;23;00;04;;2.0;A
2009;6603;23;00;11;;1.0;A
2009;6603;23;00;14;;4.0;A
2009;6603;23;00;18;;10.0;A
2009;6603;23;00;21;;1.0;A
2009;6603;23;00;23;;996.0;A
2009;6603;23;00;29;;1.0;A
2009;6603;23;00;41;;1.0;A
2009;6603;23;00;C01;;1016.0;A
2009;6603;23;00;C02;;36.0;A
2009;6603;23;00;66;;1720.0;A
2009;6603;23;00;NC000;;64.0;A
2009;6603;23;00;00;;2836.0;A
2009;6603;29;00;04;;11.0;A
2009;6603;29;00;11;;34.0;A
2009;6603;29;00;14;;34.0;A
2009;6603;29;00;18;;36.0;A
2009;6603;29;00;21;;3.0;A
2009;6603;29;00;23;;13.0;A
2009;6603;29;00;29;;3398.0;A
2009;6603;29;00;41;;28.0;A
2009;6603;29;00;C01;;3557.0;A
2009;6603;29;00;C02;;384.0;A
2009;6603;29;00;66;;9292.0;A
2009;6603;29;00;NC000;;215.0;A
2009;6603;29;00;00;;13448.0;A
2009;6603;41;00;04;;16.0;A
2009;6603;41;00;11;;61.0;A
2009;6603;41;00;14;;27.0;A
2009;6603;41;00;18;;24.0;A
2009;6603;41;00;21;;33.0;A
2009;6603;41;00;23;;14.0;A
2009;6603;41;00;29;;23.0;A
2009;6603;41;00;41;;2780.0;A
2009;6603;41;00;C01;;2978.0;A
2009;6603;41;00;C02;;252.0;A
2009;6603;41;00;66;;5077.0;A
2009;6603;41;00;NC000;;158.0;A
2009;6603;41;00;00;;8465.0;A
2009;6604;;00;04;;21.0;A
2009;6604;;00;11;;113.0;A
2009;6604;;00;14;;42.0;A
2009;6604;;00;18;;126.0;A
2009;6604;;00;21;;19.0;A
2009;6604;;00;23;;51.0;A
2009;6604;;00;29;;127.0;A
2009;6604;;00;41;;121.0;A
2009;6604;;00;C01;;620.0;A
2009;6604;;00;C02;;128.0;A
2009;6604;;00;66;;657.0;A
2009;6604;;00;NC000;;3.0;A
2009;6604;;00;00;;1408.0;A
2009;6604;04;00;04;;20.0;A
2009;6604;04;00;11;;1.0;A
2009;6604;04;00;18;;1.0;A
2009;6604;04;00;23;;1.0;A
2009;6604;04;00;C01;;23.0;A
2009;6604;04;00;C02;;11.0;A
2009;6604;04;00;66;;17.0;A
2009;6604;04;00;00;;51.0;A
2009;6604;11;00;11;;105.0;A
2009;6604;11;00;18;;5.0;A
2009;6604;11;00;23;;1.0;A
2009;6604;11;00;29;;3.0;A
2009;6604;11;00;41;;4.0;A
2009;6604;11;00;C01;;118.0;A
2009;6604;11;00;C02;;10.0;A
2009;6604;11;00;66;;77.0;A
2009;6604;11;00;00;;205.0;A
2009;6604;14;00;14;;33.0;A
2009;6604;14;00;C01;;33.0;A
2009;6604;14;00;C02;;6.0;A
2009;6604;14;00;66;;29.0;A
2009;6604;14;00;00;;68.0;A
2009;6604;18;00;04;;1.0;A
2009;6604;18;00;11;;1.0;A
2009;6604;18;00;14;;1.0;A
2009;6604;18;00;18;;113.0;A
2009;6604;18;00;21;;1.0;A
2009;6604;18;00;23;;5.0;A
2009;6604;18;00;29;;1.0;A
2009;6604;18;00;C01;;123.0;A
2009;6604;18;00;C02;;14.0;A
2009;6604;18;00;66;;158.0;A
2009;6604;18;00;NC000;;1.0;A
2009;6604;18;00;00;;296.0;A
2009;6604;21;00;21;;15.0;A
2009;6604;21;00;41;;2.0;A
2009;6604;21;00;C01;;17.0;A
2009;6604;21;00;C02;;3.0;A
2009;6604;21;00;66;;8.0;A
2009;6604;21;00;00;;28.0;A
2009;6604;23;00;18;;1.0;A
2009;6604;23;00;23;;32.0;A
2009;6604;23;00;29;;1.0;A
2009;6604;23;00;C01;;34.0;A
2009;6604;23;00;C02;;3.0;A
2009;6604;23;00;66;;35.0;A
2009;6604;23;00;00;;72.0;A
2009;6604;29;00;11;;5.0;A
2009;6604;29;00;14;;6.0;A
2009;6604;29;00;18;;6.0;A
2009;6604;29;00;21;;1.0;A
2009;6604;29;00;23;;10.0;A
2009;6604;29;00;29;;119.0;A
2009;6604;29;00;41;;1.0;A
2009;6604;29;00;C01;;148.0;A
2009;6604;29;00;C02;;51.0;A
2009;6604;29;00;66;;219.0;A
2009;6604;29;00;NC000;;1.0;A
2009;6604;29;00;00;;419.0;A
2009;6604;41;00;11;;1.0;A
2009;6604;41;00;14;;2.0;A
2009;6604;41;00;21;;2.0;A
2009;6604;41;00;23;;2.0;A
2009;6604;41;00;29;;3.0;A
2009;6604;41;00;41;;114.0;A
2009;6604;41;00;C01;;124.0;A
2009;6604;41;00;C02;;30.0;A
2009;6604;41;00;66;;114.0;A
2009;6604;41;00;NC000;;1.0;A
2009;6604;41;00;00;;269.0;A
2009;6605;;00;04;;35.0;A
2009;6605;;00;11;;368.0;A
2009;6605;;00;14;;293.0;A
2009;6605;;00;18;;128.0;A
2009;6605;;00;21;;33.0;A
2009;6605;;00;23;;123.0;A
2009;6605;;00;29;;293.0;A
2009;6605;;00;41;;192.0;A
2009;6605;;00;C01;;1465.0;A
2009;6605;;00;C02;;84.0;A
2009;6605;;00;66;;642.0;A
2009;6605;;00;NC000;;55.0;A
2009;6605;;00;00;;2246.0;A
2009;6605;04;00;04;;35.0;A
2009;6605;04;00;41;;1.0;A
2009;6605;04;00;C01;;36.0;A
2009;6605;04;00;66;;17.0;A
2009;6605;04;00;NC000;;3.0;A
2009;6605;04;00;00;;56.0;A
2009;6605;11;00;11;;358.0;A
2009;6605;11;00;14;;2.0;A
2009;6605;11;00;18;;2.0;A
2009;6605;11;00;21;;1.0;A
2009;6605;11;00;29;;13.0;A
2009;6605;11;00;41;;5.0;A
2009;6605;11;00;C01;;381.0;A
2009;6605;11;00;C02;;20.0;A
2009;6605;11;00;66;;160.0;A
2009;6605;11;00;NC000;;13.0;A
2009;6605;11;00;00;;574.0;A
2009;6605;14;00;11;;1.0;A
2009;6605;14;00;14;;282.0;A
2009;6605;14;00;18;;3.0;A
2009;6605;14;00;21;;1.0;A
2009;6605;14;00;23;;1.0;A
2009;6605;14;00;29;;3.0;A
2009;6605;14;00;41;;5.0;A
2009;6605;14;00;C01;;296.0;A
2009;6605;14;00;C02;;11.0;A
2009;6605;14;00;66;;132.0;A
2009;6605;14;00;NC000;;6.0;A
2009;6605;14;00;00;;445.0;A
2009;6605;18;00;14;;1.0;A
2009;6605;18;00;18;;117.0;A
2009;6605;18;00;23;;1.0;A
2009;6605;18;00;29;;1.0;A
2009;6605;18;00;C01;;120.0;A
2009;6605;18;00;C02;;9.0;A
2009;6605;18;00;66;;54.0;A
2009;6605;18;00;NC000;;4.0;A
2009;6605;18;00;00;;187.0;A
2009;6605;21;00;21;;30.0;A
2009;6605;21;00;41;;1.0;A
2009;6605;21;00;C01;;31.0;A
2009;6605;21;00;C02;;3.0;A
2009;6605;21;00;66;;5.0;A
2009;6605;21;00;00;;39.0;A
2009;6605;23;00;18;;2.0;A
2009;6605;23;00;23;;118.0;A
2009;6605;23;00;C01;;120.0;A
2009;6605;23;00;C02;;3.0;A
2009;6605;23;00;66;;41.0;A
2009;6605;23;00;NC000;;7.0;A
2009;6605;23;00;00;;171.0;A
2009;6605;29;00;11;;3.0;A
2009;6605;29;00;14;;4.0;A
2009;6605;29;00;18;;1.0;A
2009;6605;29;00;23;;2.0;A
2009;6605;29;00;29;;276.0;A
2009;6605;29;00;41;;4.0;A
2009;6605;29;00;C01;;290.0;A
2009;6605;29;00;C02;;30.0;A
2009;6605;29;00;66;;158.0;A
2009;6605;29;00;NC000;;16.0;A
2009;6605;29;00;00;;494.0;A
2009;6605;41;00;11;;6.0;A
2009;6605;41;00;14;;4.0;A
2009;6605;41;00;18;;3.0;A
2009;6605;41;00;21;;1.0;A
2009;6605;41;00;23;;1.0;A
2009;6605;41;00;41;;176.0;A
2009;6605;41;00;C01;;191.0;A
2009;6605;41;00;C02;;8.0;A
2009;6605;41;00;66;;75.0;A
2009;6605;41;00;NC000;;6.0;A
2009;6605;41;00;00;;280.0;A
2010;66;;00;04;;10406.0;A
2010;66;;00;11;;11012.0;A
2010;66;;00;14;;8404.0;A
2010;66;;00;18;;15033.0;A
2010;66;;00;21;;2915.0;A
2010;66;;00;23;;5462.0;A
2010;66;;00;29;;12674.0;A
2010;66;;00;41;;11699.0;A
2010;66;;00;C01;;77605.0;A
2010;66;;00;C02;;5586.0;A
2010;66;;00;66;;97191.0;A
2010;66;;00;NC000;;2546.0;A
2010;66;;00;00;;182928.0;A
2010;66;04;00;04;;10218.0;A
2010;66;04;00;11;;11.0;A
2010;66;04;00;14;;18.0;A
2010;66;04;00;18;;123.0;A
2010;66;04;00;21;;7.0;A
2010;66;04;00;23;;22.0;A
2010;66;04;00;29;;32.0;A
2010;66;04;00;41;;21.0;A
2010;66;04;00;C01;;10452.0;A
2010;66;04;00;C02;;523.0;A
2010;66;04;00;66;;17002.0;A
2010;66;04;00;NC000;;357.0;A
2010;66;04;00;00;;28334.0;A
2010;66;11;00;04;;16.0;A
2010;66;11;00;11;;10441.0;A
2010;66;11;00;14;;44.0;A
2010;66;11;00;18;;61.0;A
2010;66;11;00;21;;26.0;A
2010;66;11;00;23;;32.0;A
2010;66;11;00;29;;172.0;A
2010;66;11;00;41;;230.0;A
2010;66;11;00;C01;;11022.0;A
2010;66;11;00;C02;;821.0;A
2010;66;11;00;66;;10669.0;A
2010;66;11;00;NC000;;263.0;A
2010;66;11;00;00;;22775.0;A
2010;66;14;00;04;;14.0;A
2010;66;14;00;11;;15.0;A
2010;66;14;00;14;;7942.0;A
2010;66;14;00;18;;44.0;A
2010;66;14;00;21;;11.0;A
2010;66;14;00;23;;50.0;A
2010;66;14;00;29;;25.0;A
2010;66;14;00;41;;66.0;A
2010;66;14;00;C01;;8167.0;A
2010;66;14;00;C02;;387.0;A
2010;66;14;00;66;;6904.0;A
2010;66;14;00;NC000;;205.0;A
2010;66;14;00;00;;15663.0;A
2010;66;18;00;04;;75.0;A
2010;66;18;00;11;;42.0;A
2010;66;18;00;14;;35.0;A
2010;66;18;00;18;;14478.0;A
2010;66;18;00;21;;9.0;A
2010;66;18;00;23;;126.0;A
2010;66;18;00;29;;77.0;A
2010;66;18;00;41;;51.0;A
2010;66;18;00;C01;;14893.0;A
2010;66;18;00;C02;;757.0;A
2010;66;18;00;66;;20135.0;A
2010;66;18;00;NC000;;582.0;A
2010;66;18;00;00;;36367.0;A
2010;66;21;00;04;;3.0;A
2010;66;21;00;11;;16.0;A
2010;66;21;00;14;;13.0;A
2010;66;21;00;18;;5.0;A
2010;66;21;00;21;;2694.0;A
2010;66;21;00;23;;4.0;A
2010;66;21;00;29;;4.0;A
2010;66;21;00;41;;72.0;A
2010;66;21;00;C01;;2811.0;A
2010;66;21;00;C02;;199.0;A
2010;66;21;00;66;;2913.0;A
2010;66;21;00;NC000;;59.0;A
2010;66;21;00;00;;5982.0;A
2010;66;23;00;04;;8.0;A
2010;66;23;00;11;;4.0;A
2010;66;23;00;14;;28.0;A
2010;66;23;00;18;;49.0;A
2010;66;23;00;21;;4.0;A
2010;66;23;00;23;;5064.0;A
2010;66;23;00;29;;16.0;A
2010;66;23;00;41;;13.0;A
2010;66;23;00;C01;;5186.0;A
2010;66;23;00;C02;;203.0;A
2010;66;23;00;66;;4553.0;A
2010;66;23;00;NC000;;160.0;A
2010;66;23;00;00;;10102.0;A
2010;66;29;00;04;;36.0;A
2010;66;29;00;11;;268.0;A
2010;66;29;00;14;;191.0;A
2010;66;29;00;18;;194.0;A
2010;66;29;00;21;;14.0;A
2010;66;29;00;23;;99.0;A
2010;66;29;00;29;;12249.0;A
2010;66;29;00;41;;172.0;A
2010;66;29;00;C01;;13223.0;A
2010;66;29;00;C02;;1677.0;A
2010;66;29;00;66;;21999.0;A
2010;66;29;00;NC000;;545.0;A
2010;66;29;00;00;;37444.0;A
2010;66;41;00;04;;36.0;A
2010;66;41;00;11;;215.0;A
2010;66;41;00;14;;133.0;A
2010;66;41;00;18;;79.0;A
