TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1998;050054;00;21;;7404.4596992;A
1998;050054;00;23;;42804.0673019;A
1998;050054;00;29;;18151.4643502;A
1998;050054;00;41;;23809.4056573;A
1998;050054;00;C01;;186110.5874235;A
1998;050054;01;04;;6546.3975062;A
1998;050054;01;11;;6169.7855319;A
1998;050054;01;14;;18364.1107082;A
1998;050054;01;18;;15791.7080493;A
1998;050054;01;21;;3630.7503018;A
1998;050054;01;23;;21581.0238551;A
1998;050054;01;29;;8961.3511496;A
1998;050054;01;41;;11778.5284413;A
1998;050054;01;C01;;92823.6555434;A
1998;050054;06;04;;6962.7198957;A
1998;050054;06;11;;6100.4333569;A
1998;050054;06;14;;18419.5356022;A
1998;050054;06;18;;15586.4997645;A
1998;050054;06;21;;3773.7093974;A
1998;050054;06;23;;21223.0434468;A
1998;050054;06;29;;9190.1132006;A
1998;050054;06;41;;12030.877216;A
1998;050054;06;C01;;93286.9318801;A
1998;055059;00;04;;12246.0295608;A
1998;055059;00;11;;8907.6676371;A
1998;055059;00;14;;27896.4563894;A
1998;055059;00;18;;23870.646918;A
1998;055059;00;21;;5204.8542146;A
1998;055059;00;23;;34970.3244166;A
1998;055059;00;29;;13320.5842475;A
1998;055059;00;41;;17228.7463927;A
1998;055059;00;C01;;143645.3097767;A
1998;055059;01;04;;5947.3987146;A
1998;055059;01;11;;4493.9939291;A
1998;055059;01;14;;13902.3037391;A
1998;055059;01;18;;12043.967316;A
1998;055059;01;21;;2586.6531356;A
1998;055059;01;23;;17546.5208448;A
1998;055059;01;29;;6686.9707899;A
1998;055059;01;41;;8597.1037526;A
1998;055059;01;C01;;71804.9122217;A
1998;055059;06;04;;6298.6308462;A
1998;055059;06;11;;4413.673708;A
1998;055059;06;14;;13994.1526503;A
1998;055059;06;18;;11826.679602;A
1998;055059;06;21;;2618.201079;A
1998;055059;06;23;;17423.8035718;A
1998;055059;06;29;;6633.6134576;A
1998;055059;06;41;;8631.6426401;A
1998;055059;06;C01;;71840.397555;A
1998;060064;00;04;;15562.8899481;A
1998;060064;00;11;;7986.33347;A
1998;060064;00;14;;28567.8253223;A
1998;060064;00;18;;26217.6390878;A
1998;060064;00;21;;5370.0825867;A
1998;060064;00;23;;37720.048313;A
1998;060064;00;29;;14475.14931;A
1998;060064;00;41;;16792.3226747;A
1998;060064;00;C01;;152692.2907126;A
1998;060064;01;04;;7374.9750788;A
1998;060064;01;11;;3762.2334307;A
1998;060064;01;14;;13767.9066517;A
1998;060064;01;18;;12707.4425613;A
1998;060064;01;21;;2643.8823474;A
1998;060064;01;23;;18236.631359;A
1998;060064;01;29;;6966.6274721;A
