TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1998;01;C08;11;;1033.3908361;A
1998;01;C08;14;;1509.963873;A
1998;01;C08;18;;1277.1141739;A
1998;01;C08;21;;463.1819591;A
1998;01;C08;23;;1879.2885893;A
1998;01;C08;29;;1005.4151645;A
1998;01;C08;41;;1368.1239279;A
1998;01;C08;C01;;8959.7716431;A
1998;01;C09;04;;41182.9741131;A
1998;01;C09;11;;21579.165492;A
1998;01;C09;14;;71220.9094589;A
1998;01;C09;18;;75973.927792;A
1998;01;C09;21;;13937.6567843;A
1998;01;C09;23;;71898.5829382;A
1998;01;C09;29;;35374.5177804;A
1998;01;C09;41;;50242.349207;A
1998;01;C09;C01;;381410.0835659;A
1998;01;C10;04;;7619.4971578;A
1998;01;C10;11;;7502.578571;A
1998;01;C10;14;;17504.1510452;A
1998;01;C10;18;;19968.0146174;A
1998;01;C10;21;;2109.6582356;A
1998;01;C10;23;;34096.4526336;A
1998;01;C10;29;;6754.0064138;A
1998;01;C10;41;;10325.2302914;A
1998;01;C10;C01;;105879.5889658;A
1998;01;C11;04;;202.869058;A
1998;01;C11;11;;877.9859941;A
1998;01;C11;14;;1717.8223961;A
1998;01;C11;18;;726.1937847;A
1998;01;C11;21;;1068.9187132;A
1998;01;C11;23;;874.5058742;A
1998;01;C11;29;;595.7229435;A
1998;01;C11;41;;2961.5601547;A
1998;01;C11;C01;;9025.5789185;A
1998;01;C12;04;;285.1065107;A
1998;01;C12;11;;1528.7702394;A
1998;01;C12;14;;625.0491392;A
1998;01;C12;18;;532.0422914;A
1998;01;C12;21;;353.7288396;A
1998;01;C12;23;;634.3654796;A
1998;01;C12;29;;607.3487073;A
1998;01;C12;41;;796.7816823;A
1998;01;C12;C01;;5363.1928895;A
1998;01;C13;04;;4738.992457;A
1998;01;C13;11;;12590.940198;A
1998;01;C13;14;;30167.1705889;A
1998;01;C13;18;;12068.384295;A
1998;01;C13;21;;5417.1635023;A
1998;01;C13;23;;42622.031916;A
1998;01;C13;29;;10850.1226055;A
1998;01;C13;41;;17401.5811712;A
1998;01;C13;C01;;135856.3867339;A
1998;01;C14;04;;5171.8775481;A
1998;01;C14;11;;1216.9885852;A
1998;01;C14;14;;1305.9916114;A
1998;01;C14;18;;4901.9108112;A
1998;01;C14;21;;247.9954587;A
1998;01;C14;23;;3300.9937697;A
1998;01;C14;29;;888.97164;A
1998;01;C14;41;;1213.9568371;A
1998;01;C14;C01;;18248.6862614;A
1998;01;C15;04;;239.9928944;A
1998;01;C15;11;;638.7484081;A
1998;01;C15;14;;663.6653054;A
1998;01;C15;18;;770.1570121;A
1998;01;C15;21;;139.7700913;A
1998;01;C15;23;;3537.3190151;A
1998;01;C15;29;;540.3365407;A
1998;01;C15;41;;470.7822349;A
1998;01;C15;C01;;7000.771502;A
1998;01;C16;04;;471.7974769;A
1998;01;C16;11;;1912.8813802;A
1998;01;C16;14;;3655.4852284;A
1998;01;C16;18;;2983.7949366;A
1998;01;C16;21;;1222.8784679;A
1998;01;C16;23;;5081.4165307;A
1998;01;C16;29;;4299.0491199;A
1998;01;C16;41;;2095.4764056;A
1998;01;C16;C01;;21722.7795462;A
1998;01;C17;04;;66.0088821;A
1998;01;C17;11;;215.2582793;A
1998;01;C17;14;;260.6875632;A
1998;01;C17;18;;236.5757718;A
1998;01;C17;21;;66.7938443;A
1998;01;C17;23;;551.781657;A
1998;01;C17;29;;216.5433192;A
1998;01;C17;41;;315.6935553;A
1998;01;C17;C01;;1929.3428722;A
1998;01;C18;04;;766.9946808;A
1998;01;C18;11;;1954.9255312;A
1998;01;C18;14;;485.9880318;A
1998;01;C18;18;;921.9587762;A
1998;01;C18;21;;180.993351;A
1998;01;C18;23;;340.993351;A
1998;01;C18;29;;2171.9654252;A
1998;01;C18;41;;777.9627656;A
1998;01;C18;C01;;7601.7819128;A
1998;01;108;04;;65287.6235898;A
1998;01;108;11;;63004.2724781;A
1998;01;108;14;;145065.805583;A
1998;01;108;18;;139398.4322669;A
1998;01;108;21;;29149.8669651;A
1998;01;108;23;;182231.8159998;A
1998;01;108;29;;72360.1473955;A
1998;01;108;41;;102548.4060918;A
1998;01;108;C01;;799046.37037;A
1998;06;C02;04;;890.4811896;A
1998;06;C02;11;;1241.304196;A
1998;06;C02;14;;3470.7803716;A
1998;06;C02;18;;2032.4167407;A
1998;06;C02;21;;409.8712297;A
1998;06;C02;23;;2916.0339127;A
1998;06;C02;29;;1232.6504263;A
1998;06;C02;41;;1643.2231236;A
1998;06;C02;C01;;13836.7611902;A
1998;06;C03;04;;234.3753598;A
1998;06;C03;11;;499.5912529;A
1998;06;C03;14;;1653.5289527;A
1998;06;C03;18;;912.6774224;A
1998;06;C03;21;;314.5772201;A
1998;06;C03;23;;1657.930046;A
1998;06;C03;29;;1068.992257;A
1998;06;C03;41;;673.8637453;A
1998;06;C03;C01;;7015.5362562;A
1998;06;C04;04;;1542.9755759;A
1998;06;C04;11;;3711.9893594;A
1998;06;C04;14;;5174.7409934;A
1998;06;C04;18;;12125.9889537;A
1998;06;C04;21;;1635.6741994;A
1998;06;C04;23;;6691.1837443;A
1998;06;C04;29;;2781.7207987;A
1998;06;C04;41;;6745.4926608;A
1998;06;C04;C01;;40409.7662856;A
1998;06;C05;04;;565.7631936;A
1998;06;C05;11;;4063.1327748;A
1998;06;C05;14;;1524.5096199;A
1998;06;C05;18;;1578.7192728;A
1998;06;C05;21;;682.6090479;A
1998;06;C05;23;;912.5486992;A
1998;06;C05;29;;1947.0490348;A
1998;06;C05;41;;2771.5574049;A
1998;06;C05;C01;;14045.8890479;A
1998;06;C06;04;;76.0;A
1998;06;C06;11;;618.0379642;A
1998;06;C06;14;;290.0455924;A
1998;06;C06;18;;214.0294389;A
1998;06;C06;21;;282.0;A
1998;06;C06;23;;430.0379642;A
1998;06;C06;29;;373.9952229;A
1998;06;C06;41;;392.0072504;A
1998;06;C06;C01;;2676.153433;A
1998;06;C07;04;;640.4112602;A
1998;06;C07;11;;1197.6589708;A
1998;06;C07;14;;3982.3086319;A
1998;06;C07;18;;1651.6007608;A
1998;06;C07;21;;545.475396;A
1998;06;C07;23;;5073.801746;A
1998;06;C07;29;;1079.3030221;A
1998;06;C07;41;;1667.2464569;A
1998;06;C07;C01;;15837.8062447;A
1998;06;C08;04;;455.0857171;A
1998;06;C08;11;;1199.7309376;A
1998;06;C08;14;;1592.6754274;A
1998;06;C08;18;;1236.2517306;A
1998;06;C08;21;;546.90542;A
1998;06;C08;23;;2018.228416;A
1998;06;C08;29;;1054.6472494;A
1998;06;C08;41;;1482.1396657;A
1998;06;C08;C01;;9585.6645638;A
1998;06;C09;04;;50262.2756222;A
1998;06;C09;11;;23258.6403096;A
1998;06;C09;14;;76895.5903925;A
1998;06;C09;18;;83060.664409;A
1998;06;C09;21;;15217.5772051;A
1998;06;C09;23;;76999.9128604;A
1998;06;C09;29;;38515.9001081;A
1998;06;C09;41;;54285.4422675;A
1998;06;C09;C01;;418496.0031744;A
1998;06;C10;04;;8840.6469925;A
1998;06;C10;11;;7931.375474;A
1998;06;C10;14;;19568.8428521;A
1998;06;C10;18;;21303.5546403;A
1998;06;C10;21;;2337.4586992;A
1998;06;C10;23;;37767.8073912;A
1998;06;C10;29;;7489.4724911;A
1998;06;C10;41;;11032.0741882;A
1998;06;C10;C01;;116271.2327286;A
1998;06;C11;04;;230.3387262;A
1998;06;C11;11;;986.7701172;A
1998;06;C11;14;;1740.1407022;A
1998;06;C11;18;;703.4496059;A
1998;06;C11;21;;1262.1641326;A
1998;06;C11;23;;882.6470615;A
1998;06;C11;29;;628.8546759;A
1998;06;C11;41;;3049.2291654;A
1998;06;C11;C01;;9483.5941869;A
1998;06;C12;04;;240.5030175;A
1998;06;C12;11;;1528.5655847;A
1998;06;C12;14;;510.0750776;A
1998;06;C12;18;;492.0024627;A
1998;06;C12;21;;383.7524023;A
1998;06;C12;23;;562.8230657;A
1998;06;C12;29;;597.5758716;A
1998;06;C12;41;;781.8783514;A
1998;06;C12;C01;;5097.1758335;A
1998;06;C13;04;;5348.0102455;A
1998;06;C13;11;;14671.6687644;A
1998;06;C13;14;;35467.1243531;A
1998;06;C13;18;;13475.0613461;A
1998;06;C13;21;;6937.7354281;A
1998;06;C13;23;;50342.096257;A
1998;06;C13;29;;12617.4473072;A
1998;06;C13;41;;20054.4232544;A
1998;06;C13;C01;;158913.5669558;A
1998;06;C14;04;;6018.9688899;A
1998;06;C14;11;;1370.9959061;A
1998;06;C14;14;;1452.0095054;A
1998;06;C14;18;;5894.0265182;A
1998;06;C14;21;;282.9964652;A
1998;06;C14;23;;3504.0256702;A
1998;06;C14;29;;915.9779551;A
1998;06;C14;41;;1240.9854856;A
1998;06;C14;C01;;20679.9863957;A
1998;06;C15;04;;237.220346;A
1998;06;C15;11;;603.5532565;A
1998;06;C15;14;;670.1377962;A
1998;06;C15;18;;766.7251169;A
1998;06;C15;21;;83.9185706;A
1998;06;C15;23;;3566.8685916;A
1998;06;C15;29;;552.5037806;A
1998;06;C15;41;;473.9497344;A
1998;06;C15;C01;;6954.8771928;A
1998;06;C16;04;;516.176174;A
1998;06;C16;11;;2003.2854535;A
1998;06;C16;14;;3759.1281672;A
1998;06;C16;18;;3041.9974918;A
1998;06;C16;21;;1368.8459081;A
1998;06;C16;23;;5067.0564536;A
1998;06;C16;29;;4322.7566723;A
1998;06;C16;41;;2166.4131348;A
1998;06;C16;C01;;22245.6594553;A
1998;06;C17;04;;42.8594885;A
1998;06;C17;11;;186.4191658;A
1998;06;C17;14;;215.6040504;A
1998;06;C17;18;;204.8989824;A
1998;06;C17;21;;73.0239365;A
1998;06;C17;23;;539.4842098;A
1998;06;C17;29;;185.3072848;A
1998;06;C17;41;;275.7215785;A
1998;06;C17;C01;;1723.3186967;A
1998;06;C18;04;;962.0;A
1998;06;C18;11;;2006.0;A
1998;06;C18;14;;409.0;A
1998;06;C18;18;;933.0;A
1998;06;C18;21;;179.0;A
1998;06;C18;23;;308.0;A
1998;06;C18;29;;2369.0;A
1998;06;C18;41;;654.0;A
1998;06;C18;C01;;7820.0;A
1998;06;108;04;;77104.0917985;A
1998;06;108;11;;67078.7194875;A
1998;06;108;14;;158376.242486;A
1998;06;108;18;;149627.0648932;A
1998;06;108;21;;32543.5852608;A
1998;06;108;23;;199240.4860894;A
1998;06;108;29;;77733.1541579;A
1998;06;108;41;;109389.6474678;A
1998;06;108;C01;;871092.9916411;A
1999;00;C02;04;;1711.1876714;A
1999;00;C02;11;;2478.7696019;A
1999;00;C02;14;;6853.9549624;A
1999;00;C02;18;;4019.2454149;A
1999;00;C02;21;;800.9698879;A
1999;00;C02;23;;5794.6658519;A
1999;00;C02;29;;2543.3863323;A
1999;00;C02;41;;3314.3974215;A
1999;00;C02;C01;;27516.5771442;A
1999;00;C03;04;;434.9349072;A
1999;00;C03;11;;913.9809662;A
1999;00;C03;14;;3182.2617185;A
1999;00;C03;18;;1786.7860212;A
1999;00;C03;21;;574.8469878;A
1999;00;C03;23;;3166.7147118;A
1999;00;C03;29;;2080.4286742;A
1999;00;C03;41;;1301.1984303;A
1999;00;C03;C01;;13441.1524172;A
1999;00;C04;04;;3233.7678404;A
1999;00;C04;11;;8505.7126397;A
1999;00;C04;14;;10806.0157607;A
1999;00;C04;18;;25013.8649854;A
1999;00;C04;21;;3394.209355;A
1999;00;C04;23;;13684.4049789;A
1999;00;C04;29;;5771.3645059;A
1999;00;C04;41;;14442.1138665;A
1999;00;C04;C01;;84851.4539325;A
1999;00;C05;04;;1333.0582345;A
1999;00;C05;11;;9799.6578206;A
1999;00;C05;14;;3702.9054143;A
1999;00;C05;18;;3847.8938799;A
1999;00;C05;21;;1539.729544;A
1999;00;C05;23;;2265.537442;A
1999;00;C05;29;;4552.4524439;A
1999;00;C05;41;;7193.3495193;A
1999;00;C05;C01;;34234.5842985;A
1999;00;C06;04;;149.1708395;A
1999;00;C06;11;;1158.7218734;A
1999;00;C06;14;;552.1568388;A
1999;00;C06;18;;459.3517554;A
1999;00;C06;21;;538.342189;A
1999;00;C06;23;;846.6372581;A
1999;00;C06;29;;790.7456906;A
1999;00;C06;41;;744.0253819;A
1999;00;C06;C01;;5239.1518267;A
1999;00;C07;04;;1182.2745367;A
1999;00;C07;11;;2237.2494943;A
1999;00;C07;14;;7490.9902288;A
1999;00;C07;18;;3183.5328853;A
1999;00;C07;21;;1057.3676422;A
1999;00;C07;23;;9578.437218;A
1999;00;C07;29;;2112.6107796;A
1999;00;C07;41;;3207.6183358;A
1999;00;C07;C01;;30050.0811207;A
1999;00;C08;04;;858.4522955;A
1999;00;C08;11;;2235.2839661;A
1999;00;C08;14;;3091.9054185;A
1999;00;C08;18;;2484.1958789;A
1999;00;C08;21;;999.9298344;A
1999;00;C08;23;;3838.2303823;A
1999;00;C08;29;;2040.2139654;A
1999;00;C08;41;;2860.2901507;A
1999;00;C08;C01;;18408.5018918;A
1999;00;C09;04;;90054.2109347;A
1999;00;C09;11;;44682.0865769;A
1999;00;C09;14;;147380.4608945;A
1999;00;C09;18;;158029.3275277;A
1999;00;C09;21;;28969.39492;A
1999;00;C09;23;;148174.7110441;A
1999;00;C09;29;;73361.7680756;A
1999;00;C09;41;;104185.8852944;A
1999;00;C09;C01;;794837.8452679;A
1999;00;C10;04;;16382.2075962;A
1999;00;C10;11;;15568.4726601;A
1999;00;C10;14;;37227.4738285;A
1999;00;C10;18;;41316.7747484;A
1999;00;C10;21;;4478.3880666;A
1999;00;C10;23;;71707.56031;A
1999;00;C10;29;;14195.2634699;A
1999;00;C10;41;;21479.3800583;A
1999;00;C10;C01;;222355.520738;A
1999;00;C11;04;;421.3793577;A
1999;00;C11;11;;1829.3161129;A
1999;00;C11;14;;3449.2728644;A
1999;00;C11;18;;1408.4351732;A
1999;00;C11;21;;2326.5387194;A
1999;00;C11;23;;1730.1855462;A
1999;00;C11;29;;1224.5148158;A
1999;00;C11;41;;5941.4730002;A
1999;00;C11;C01;;18331.1155898;A
1999;00;C12;04;;531.87984;A
1999;00;C12;11;;3030.8827703;A
1999;00;C12;14;;1129.5707234;A
1999;00;C12;18;;1029.1599544;A
1999;00;C12;21;;739.1447319;A
1999;00;C12;23;;1182.6392232;A
1999;00;C12;29;;1195.6300666;A
1999;00;C12;41;;1601.3446172;A
