D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;06;C07;41;Andaluces;1667.2464569;A
1998;06;C07;C01;Andaluces;15837.8062447;A
1998;06;C08;04;Andaluces;455.0857171;A
1998;06;C08;11;Andaluces;1199.7309376;A
1998;06;C08;14;Andaluces;1592.6754274;A
1998;06;C08;18;Andaluces;1236.2517306;A
1998;06;C08;21;Andaluces;546.90542;A
1998;06;C08;23;Andaluces;2018.228416;A
1998;06;C08;29;Andaluces;1054.6472494;A
1998;06;C08;41;Andaluces;1482.1396657;A
1998;06;C08;C01;Andaluces;9585.6645638;A
1998;06;C09;04;Andaluces;50262.2756222;A
1998;06;C09;11;Andaluces;23258.6403096;A
1998;06;C09;14;Andaluces;76895.5903925;A
1998;06;C09;18;Andaluces;83060.664409;A
1998;06;C09;21;Andaluces;15217.5772051;A
1998;06;C09;23;Andaluces;76999.9128604;A
1998;06;C09;29;Andaluces;38515.9001081;A
1998;06;C09;41;Andaluces;54285.4422675;A
1998;06;C09;C01;Andaluces;418496.0031744;A
1998;06;C10;04;Andaluces;8840.6469925;A
1998;06;C10;11;Andaluces;7931.375474;A
1998;06;C10;14;Andaluces;19568.8428521;A
1998;06;C10;18;Andaluces;21303.5546403;A
1998;06;C10;21;Andaluces;2337.4586992;A
1998;06;C10;23;Andaluces;37767.8073912;A
1998;06;C10;29;Andaluces;7489.4724911;A
1998;06;C10;41;Andaluces;11032.0741882;A
1998;06;C10;C01;Andaluces;116271.2327286;A
1998;06;C11;04;Andaluces;230.3387262;A
1998;06;C11;11;Andaluces;986.7701172;A
1998;06;C11;14;Andaluces;1740.1407022;A
1998;06;C11;18;Andaluces;703.4496059;A
1998;06;C11;21;Andaluces;1262.1641326;A
1998;06;C11;23;Andaluces;882.6470615;A
1998;06;C11;29;Andaluces;628.8546759;A
1998;06;C11;41;Andaluces;3049.2291654;A
1998;06;C11;C01;Andaluces;9483.5941869;A
1998;06;C12;04;Andaluces;240.5030175;A
1998;06;C12;11;Andaluces;1528.5655847;A
1998;06;C12;14;Andaluces;510.0750776;A
1998;06;C12;18;Andaluces;492.0024627;A
1998;06;C12;21;Andaluces;383.7524023;A
1998;06;C12;23;Andaluces;562.8230657;A
1998;06;C12;29;Andaluces;597.5758716;A
1998;06;C12;41;Andaluces;781.8783514;A
1998;06;C12;C01;Andaluces;5097.1758335;A
1998;06;C13;04;Andaluces;5348.0102455;A
1998;06;C13;11;Andaluces;14671.6687644;A
1998;06;C13;14;Andaluces;35467.1243531;A
1998;06;C13;18;Andaluces;13475.0613461;A
1998;06;C13;21;Andaluces;6937.7354281;A
1998;06;C13;23;Andaluces;50342.096257;A
1998;06;C13;29;Andaluces;12617.4473072;A
1998;06;C13;41;Andaluces;20054.4232544;A
1998;06;C13;C01;Andaluces;158913.5669558;A
1998;06;C14;04;Andaluces;6018.9688899;A
1998;06;C14;11;Andaluces;1370.9959061;A
1998;06;C14;14;Andaluces;1452.0095054;A
1998;06;C14;18;Andaluces;5894.0265182;A
1998;06;C14;21;Andaluces;282.9964652;A
