D_TEMPORAL_0;D_TERRITORIO_0;D_ARE_INSCRIPCION_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2016;29;1;06;C01;Andaluces;877.0;A
2016;29;1;06;C02;Andaluces;183.0;A
2016;29;1;06;66;Andaluces;1548.0;A
2016;29;1;06;NC000;Andaluces;;A
2016;29;1;06;00;Andaluces;2608.0;A
2016;41;1;00;04;Andaluces;2.0;A
2016;41;1;00;11;Andaluces;76.0;A
2016;41;1;00;14;Andaluces;35.0;A
2016;41;1;00;18;Andaluces;18.0;A
2016;41;1;00;21;Andaluces;36.0;A
2016;41;1;00;23;Andaluces;15.0;A
2016;41;1;00;29;Andaluces;24.0;A
2016;41;1;00;41;Andaluces;1601.0;A
2016;41;1;00;C01;Andaluces;1807.0;A
2016;41;1;00;C02;Andaluces;288.0;A
2016;41;1;00;66;Andaluces;1573.0;A
2016;41;1;00;NC000;Andaluces;;A
2016;41;1;00;00;Andaluces;3668.0;A
2016;41;1;01;04;Andaluces;;A
2016;41;1;01;11;Andaluces;44.0;A
2016;41;1;01;14;Andaluces;19.0;A
2016;41;1;01;18;Andaluces;9.0;A
2016;41;1;01;21;Andaluces;23.0;A
2016;41;1;01;23;Andaluces;7.0;A
2016;41;1;01;29;Andaluces;11.0;A
2016;41;1;01;41;Andaluces;852.0;A
2016;41;1;01;C01;Andaluces;965.0;A
2016;41;1;01;C02;Andaluces;173.0;A
2016;41;1;01;66;Andaluces;748.0;A
2016;41;1;01;NC000;Andaluces;;A
2016;41;1;01;00;Andaluces;1886.0;A
2016;41;1;06;04;Andaluces;2.0;A
2016;41;1;06;11;Andaluces;32.0;A
2016;41;1;06;14;Andaluces;16.0;A
2016;41;1;06;18;Andaluces;9.0;A
2016;41;1;06;21;Andaluces;13.0;A
2016;41;1;06;23;Andaluces;8.0;A
2016;41;1;06;29;Andaluces;13.0;A
2016;41;1;06;41;Andaluces;749.0;A
2016;41;1;06;C01;Andaluces;842.0;A
2016;41;1;06;C02;Andaluces;115.0;A
2016;41;1;06;66;Andaluces;825.0;A
2016;41;1;06;NC000;Andaluces;;A
2016;41;1;06;00;Andaluces;1782.0;A
2016;C01;1;00;04;Andaluces;653.0;A
2016;C01;1;00;11;Andaluces;1371.0;A
2016;C01;1;00;14;Andaluces;655.0;A
2016;C01;1;00;18;Andaluces;1177.0;A
2016;C01;1;00;21;Andaluces;347.0;A
2016;C01;1;00;23;Andaluces;538.0;A
2016;C01;1;00;29;Andaluces;1680.0;A
2016;C01;1;00;41;Andaluces;1736.0;A
2016;C01;1;00;C01;Andaluces;8157.0;A
2016;C01;1;00;C02;Andaluces;1332.0;A
2016;C01;1;00;66;Andaluces;12040.0;A
2016;C01;1;00;NC000;Andaluces;3.0;A
2016;C01;1;00;00;Andaluces;21532.0;A
2016;C01;1;01;04;Andaluces;358.0;A
2016;C01;1;01;11;Andaluces;747.0;A
2016;C01;1;01;14;Andaluces;346.0;A
2016;C01;1;01;18;Andaluces;642.0;A
2016;C01;1;01;21;Andaluces;192.0;A
2016;C01;1;01;23;Andaluces;278.0;A
2016;C01;1;01;29;Andaluces;852.0;A
2016;C01;1;01;41;Andaluces;923.0;A
2016;C01;1;01;C01;Andaluces;4338.0;A
2016;C01;1;01;C02;Andaluces;739.0;A
2016;C01;1;01;66;Andaluces;5977.0;A
2016;C01;1;01;NC000;Andaluces;2.0;A
2016;C01;1;01;00;Andaluces;11056.0;A
2016;C01;1;06;04;Andaluces;295.0;A
2016;C01;1;06;11;Andaluces;624.0;A
2016;C01;1;06;14;Andaluces;309.0;A
2016;C01;1;06;18;Andaluces;535.0;A
2016;C01;1;06;21;Andaluces;155.0;A
2016;C01;1;06;23;Andaluces;260.0;A
2016;C01;1;06;29;Andaluces;828.0;A
2016;C01;1;06;41;Andaluces;813.0;A
2016;C01;1;06;C01;Andaluces;3819.0;A
2016;C01;1;06;C02;Andaluces;593.0;A
2016;C01;1;06;66;Andaluces;6063.0;A
2016;C01;1;06;NC000;Andaluces;1.0;A
2016;C01;1;06;00;Andaluces;10476.0;A
2016;C02;1;00;04;Andaluces;115.0;A
2016;C02;1;00;11;Andaluces;251.0;A
2016;C02;1;00;14;Andaluces;163.0;A
2016;C02;1;00;18;Andaluces;219.0;A
2016;C02;1;00;21;Andaluces;49.0;A
2016;C02;1;00;23;Andaluces;159.0;A
2016;C02;1;00;29;Andaluces;179.0;A
2016;C02;1;00;41;Andaluces;235.0;A
2016;C02;1;00;C01;Andaluces;1370.0;A
2016;C02;1;00;C02;Andaluces;;A
2016;C02;1;00;66;Andaluces;;A
2016;C02;1;00;NC000;Andaluces;;A
2016;C02;1;00;00;Andaluces;1370.0;A
2016;C02;1;01;04;Andaluces;65.0;A
2016;C02;1;01;11;Andaluces;130.0;A
2016;C02;1;01;14;Andaluces;102.0;A
2016;C02;1;01;18;Andaluces;125.0;A
2016;C02;1;01;21;Andaluces;27.0;A
2016;C02;1;01;23;Andaluces;94.0;A
2016;C02;1;01;29;Andaluces;93.0;A
2016;C02;1;01;41;Andaluces;145.0;A
2016;C02;1;01;C01;Andaluces;781.0;A
2016;C02;1;01;C02;Andaluces;;A
2016;C02;1;01;66;Andaluces;;A
2016;C02;1;01;NC000;Andaluces;;A
2016;C02;1;01;00;Andaluces;781.0;A
2016;C02;1;06;04;Andaluces;50.0;A
2016;C02;1;06;11;Andaluces;121.0;A
2016;C02;1;06;14;Andaluces;61.0;A
2016;C02;1;06;18;Andaluces;94.0;A
2016;C02;1;06;21;Andaluces;22.0;A
2016;C02;1;06;23;Andaluces;65.0;A
2016;C02;1;06;29;Andaluces;86.0;A
2016;C02;1;06;41;Andaluces;90.0;A
2016;C02;1;06;C01;Andaluces;589.0;A
2016;C02;1;06;C02;Andaluces;;A
2016;C02;1;06;66;Andaluces;;A
2016;C02;1;06;NC000;Andaluces;;A
2016;C02;1;06;00;Andaluces;589.0;A
2016;00;1;00;04;Andaluces;768.0;A
2016;00;1;00;11;Andaluces;1622.0;A
2016;00;1;00;14;Andaluces;818.0;A
2016;00;1;00;18;Andaluces;1396.0;A
2016;00;1;00;21;Andaluces;396.0;A
2016;00;1;00;23;Andaluces;697.0;A
2016;00;1;00;29;Andaluces;1859.0;A
2016;00;1;00;41;Andaluces;1971.0;A
2016;00;1;00;C01;Andaluces;9527.0;A
2016;00;1;00;C02;Andaluces;1332.0;A
2016;00;1;00;66;Andaluces;12040.0;A
2016;00;1;00;NC000;Andaluces;3.0;A
2016;00;1;00;00;Andaluces;22902.0;A
2016;00;1;01;04;Andaluces;423.0;A
2016;00;1;01;11;Andaluces;877.0;A
2016;00;1;01;14;Andaluces;448.0;A
2016;00;1;01;18;Andaluces;767.0;A
2016;00;1;01;21;Andaluces;219.0;A
2016;00;1;01;23;Andaluces;372.0;A
2016;00;1;01;29;Andaluces;945.0;A
2016;00;1;01;41;Andaluces;1068.0;A
2016;00;1;01;C01;Andaluces;5119.0;A
2016;00;1;01;C02;Andaluces;739.0;A
2016;00;1;01;66;Andaluces;5977.0;A
2016;00;1;01;NC000;Andaluces;2.0;A
2016;00;1;01;00;Andaluces;11837.0;A
2016;00;1;06;04;Andaluces;345.0;A
2016;00;1;06;11;Andaluces;745.0;A
2016;00;1;06;14;Andaluces;370.0;A
2016;00;1;06;18;Andaluces;629.0;A
2016;00;1;06;21;Andaluces;177.0;A
2016;00;1;06;23;Andaluces;325.0;A
2016;00;1;06;29;Andaluces;914.0;A
2016;00;1;06;41;Andaluces;903.0;A
2016;00;1;06;C01;Andaluces;4408.0;A
2016;00;1;06;C02;Andaluces;593.0;A
2016;00;1;06;66;Andaluces;6063.0;A
2016;00;1;06;NC000;Andaluces;1.0;A
2016;00;1;06;00;Andaluces;11065.0;A
2017;04;1;00;04;Andaluces;578.0;A
2017;04;1;00;11;Andaluces;4.0;A
2017;04;1;00;14;Andaluces;3.0;A
2017;04;1;00;18;Andaluces;27.0;A
2017;04;1;00;21;Andaluces;;A
2017;04;1;00;23;Andaluces;9.0;A
2017;04;1;00;29;Andaluces;4.0;A
2017;04;1;00;41;Andaluces;1.0;A
2017;04;1;00;C01;Andaluces;626.0;A
2017;04;1;00;C02;Andaluces;90.0;A
2017;04;1;00;66;Andaluces;1831.0;A
2017;04;1;00;NC000;Andaluces;1.0;A
2017;04;1;00;00;Andaluces;2548.0;A
2017;04;1;01;04;Andaluces;294.0;A
2017;04;1;01;11;Andaluces;1.0;A
2017;04;1;01;14;Andaluces;1.0;A
2017;04;1;01;18;Andaluces;18.0;A
2017;04;1;01;21;Andaluces;;A
2017;04;1;01;23;Andaluces;4.0;A
2017;04;1;01;29;Andaluces;4.0;A
2017;04;1;01;41;Andaluces;;A
2017;04;1;01;C01;Andaluces;322.0;A
2017;04;1;01;C02;Andaluces;45.0;A
2017;04;1;01;66;Andaluces;881.0;A
2017;04;1;01;NC000;Andaluces;1.0;A
2017;04;1;01;00;Andaluces;1249.0;A
2017;04;1;06;04;Andaluces;284.0;A
2017;04;1;06;11;Andaluces;3.0;A
2017;04;1;06;14;Andaluces;2.0;A
2017;04;1;06;18;Andaluces;9.0;A
2017;04;1;06;21;Andaluces;;A
2017;04;1;06;23;Andaluces;5.0;A
2017;04;1;06;29;Andaluces;;A
2017;04;1;06;41;Andaluces;1.0;A
2017;04;1;06;C01;Andaluces;304.0;A
2017;04;1;06;C02;Andaluces;45.0;A
2017;04;1;06;66;Andaluces;950.0;A
2017;04;1;06;NC000;Andaluces;;A
2017;04;1;06;00;Andaluces;1299.0;A
2017;11;1;00;04;Andaluces;1.0;A
2017;11;1;00;11;Andaluces;1152.0;A
2017;11;1;00;14;Andaluces;13.0;A
2017;11;1;00;18;Andaluces;7.0;A
2017;11;1;00;21;Andaluces;3.0;A
2017;11;1;00;23;Andaluces;4.0;A
2017;11;1;00;29;Andaluces;15.0;A
2017;11;1;00;41;Andaluces;38.0;A
2017;11;1;00;C01;Andaluces;1233.0;A
2017;11;1;00;C02;Andaluces;186.0;A
2017;11;1;00;66;Andaluces;916.0;A
2017;11;1;00;NC000;Andaluces;;A
2017;11;1;00;00;Andaluces;2335.0;A
2017;11;1;01;04;Andaluces;;A
2017;11;1;01;11;Andaluces;574.0;A
2017;11;1;01;14;Andaluces;8.0;A
2017;11;1;01;18;Andaluces;4.0;A
2017;11;1;01;21;Andaluces;3.0;A
2017;11;1;01;23;Andaluces;2.0;A
2017;11;1;01;29;Andaluces;9.0;A
2017;11;1;01;41;Andaluces;17.0;A
2017;11;1;01;C01;Andaluces;617.0;A
2017;11;1;01;C02;Andaluces;110.0;A
2017;11;1;01;66;Andaluces;461.0;A
2017;11;1;01;NC000;Andaluces;;A
2017;11;1;01;00;Andaluces;1188.0;A
2017;11;1;06;04;Andaluces;1.0;A
2017;11;1;06;11;Andaluces;578.0;A
2017;11;1;06;14;Andaluces;5.0;A
2017;11;1;06;18;Andaluces;3.0;A
2017;11;1;06;21;Andaluces;;A
2017;11;1;06;23;Andaluces;2.0;A
2017;11;1;06;29;Andaluces;6.0;A
2017;11;1;06;41;Andaluces;21.0;A
2017;11;1;06;C01;Andaluces;616.0;A
2017;11;1;06;C02;Andaluces;76.0;A
2017;11;1;06;66;Andaluces;455.0;A
2017;11;1;06;NC000;Andaluces;;A
2017;11;1;06;00;Andaluces;1147.0;A
2017;14;1;00;04;Andaluces;2.0;A
2017;14;1;00;11;Andaluces;8.0;A
2017;14;1;00;14;Andaluces;604.0;A
2017;14;1;00;18;Andaluces;2.0;A
2017;14;1;00;21;Andaluces;2.0;A
2017;14;1;00;23;Andaluces;9.0;A
2017;14;1;00;29;Andaluces;2.0;A
2017;14;1;00;41;Andaluces;10.0;A
2017;14;1;00;C01;Andaluces;639.0;A
2017;14;1;00;C02;Andaluces;63.0;A
2017;14;1;00;66;Andaluces;574.0;A
2017;14;1;00;NC000;Andaluces;;A
2017;14;1;00;00;Andaluces;1276.0;A
2017;14;1;01;04;Andaluces;1.0;A
2017;14;1;01;11;Andaluces;5.0;A
2017;14;1;01;14;Andaluces;305.0;A
2017;14;1;01;18;Andaluces;2.0;A
2017;14;1;01;21;Andaluces;2.0;A
2017;14;1;01;23;Andaluces;6.0;A
2017;14;1;01;29;Andaluces;;A
2017;14;1;01;41;Andaluces;5.0;A
2017;14;1;01;C01;Andaluces;326.0;A
2017;14;1;01;C02;Andaluces;25.0;A
2017;14;1;01;66;Andaluces;283.0;A
2017;14;1;01;NC000;Andaluces;;A
2017;14;1;01;00;Andaluces;634.0;A
2017;14;1;06;04;Andaluces;1.0;A
2017;14;1;06;11;Andaluces;3.0;A
2017;14;1;06;14;Andaluces;299.0;A
2017;14;1;06;18;Andaluces;;A
2017;14;1;06;21;Andaluces;;A
2017;14;1;06;23;Andaluces;3.0;A
2017;14;1;06;29;Andaluces;2.0;A
2017;14;1;06;41;Andaluces;5.0;A
2017;14;1;06;C01;Andaluces;313.0;A
2017;14;1;06;C02;Andaluces;38.0;A
2017;14;1;06;66;Andaluces;291.0;A
2017;14;1;06;NC000;Andaluces;;A
2017;14;1;06;00;Andaluces;642.0;A
2017;18;1;00;04;Andaluces;8.0;A
2017;18;1;00;11;Andaluces;12.0;A
2017;18;1;00;14;Andaluces;15.0;A
2017;18;1;00;18;Andaluces;911.0;A
2017;18;1;00;21;Andaluces;5.0;A
2017;18;1;00;23;Andaluces;26.0;A
2017;18;1;00;29;Andaluces;20.0;A
2017;18;1;00;41;Andaluces;6.0;A
2017;18;1;00;C01;Andaluces;1003.0;A
2017;18;1;00;C02;Andaluces;161.0;A
2017;18;1;00;66;Andaluces;1903.0;A
2017;18;1;00;NC000;Andaluces;;A
2017;18;1;00;00;Andaluces;3067.0;A
2017;18;1;01;04;Andaluces;5.0;A
2017;18;1;01;11;Andaluces;8.0;A
2017;18;1;01;14;Andaluces;10.0;A
2017;18;1;01;18;Andaluces;453.0;A
2017;18;1;01;21;Andaluces;2.0;A
2017;18;1;01;23;Andaluces;12.0;A
2017;18;1;01;29;Andaluces;5.0;A
2017;18;1;01;41;Andaluces;2.0;A
2017;18;1;01;C01;Andaluces;497.0;A
2017;18;1;01;C02;Andaluces;94.0;A
2017;18;1;01;66;Andaluces;905.0;A
2017;18;1;01;NC000;Andaluces;;A
2017;18;1;01;00;Andaluces;1496.0;A
2017;18;1;06;04;Andaluces;3.0;A
2017;18;1;06;11;Andaluces;4.0;A
2017;18;1;06;14;Andaluces;5.0;A
2017;18;1;06;18;Andaluces;458.0;A
2017;18;1;06;21;Andaluces;3.0;A
2017;18;1;06;23;Andaluces;14.0;A
2017;18;1;06;29;Andaluces;15.0;A
2017;18;1;06;41;Andaluces;4.0;A
2017;18;1;06;C01;Andaluces;506.0;A
2017;18;1;06;C02;Andaluces;67.0;A
2017;18;1;06;66;Andaluces;998.0;A
2017;18;1;06;NC000;Andaluces;;A
2017;18;1;06;00;Andaluces;1571.0;A
2017;21;1;00;04;Andaluces;;A
2017;21;1;00;11;Andaluces;1.0;A
2017;21;1;00;14;Andaluces;5.0;A
2017;21;1;00;18;Andaluces;2.0;A
2017;21;1;00;21;Andaluces;261.0;A
2017;21;1;00;23;Andaluces;1.0;A
2017;21;1;00;29;Andaluces;5.0;A
