D_TEMPORAL_0;D_TERRITORIO_1;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;6603;21;00;18;Andaluces;;A
2009;6603;21;00;21;Andaluces;437.0;A
2009;6603;21;00;23;Andaluces;;A
2009;6603;21;00;29;Andaluces;1.0;A
2009;6603;21;00;41;Andaluces;9.0;A
2009;6603;21;00;C01;Andaluces;452.0;A
2009;6603;21;00;C02;Andaluces;33.0;A
2009;6603;21;00;66;Andaluces;721.0;A
2009;6603;21;00;NC000;Andaluces;9.0;A
2009;6603;21;00;00;Andaluces;1215.0;A
2009;6603;23;00;04;Andaluces;2.0;A
2009;6603;23;00;11;Andaluces;1.0;A
2009;6603;23;00;14;Andaluces;4.0;A
2009;6603;23;00;18;Andaluces;10.0;A
2009;6603;23;00;21;Andaluces;1.0;A
2009;6603;23;00;23;Andaluces;996.0;A
2009;6603;23;00;29;Andaluces;1.0;A
2009;6603;23;00;41;Andaluces;1.0;A
2009;6603;23;00;C01;Andaluces;1016.0;A
2009;6603;23;00;C02;Andaluces;36.0;A
2009;6603;23;00;66;Andaluces;1720.0;A
2009;6603;23;00;NC000;Andaluces;64.0;A
2009;6603;23;00;00;Andaluces;2836.0;A
2009;6603;29;00;04;Andaluces;11.0;A
2009;6603;29;00;11;Andaluces;34.0;A
2009;6603;29;00;14;Andaluces;34.0;A
2009;6603;29;00;18;Andaluces;36.0;A
2009;6603;29;00;21;Andaluces;3.0;A
2009;6603;29;00;23;Andaluces;13.0;A
2009;6603;29;00;29;Andaluces;3398.0;A
2009;6603;29;00;41;Andaluces;28.0;A
2009;6603;29;00;C01;Andaluces;3557.0;A
2009;6603;29;00;C02;Andaluces;384.0;A
2009;6603;29;00;66;Andaluces;9292.0;A
2009;6603;29;00;NC000;Andaluces;215.0;A
2009;6603;29;00;00;Andaluces;13448.0;A
2009;6603;41;00;04;Andaluces;16.0;A
2009;6603;41;00;11;Andaluces;61.0;A
2009;6603;41;00;14;Andaluces;27.0;A
2009;6603;41;00;18;Andaluces;24.0;A
2009;6603;41;00;21;Andaluces;33.0;A
2009;6603;41;00;23;Andaluces;14.0;A
2009;6603;41;00;29;Andaluces;23.0;A
2009;6603;41;00;41;Andaluces;2780.0;A
2009;6603;41;00;C01;Andaluces;2978.0;A
2009;6603;41;00;C02;Andaluces;252.0;A
2009;6603;41;00;66;Andaluces;5077.0;A
2009;6603;41;00;NC000;Andaluces;158.0;A
2009;6603;41;00;00;Andaluces;8465.0;A
2009;6604;C01;00;04;Andaluces;21.0;A
2009;6604;C01;00;11;Andaluces;113.0;A
2009;6604;C01;00;14;Andaluces;42.0;A
2009;6604;C01;00;18;Andaluces;126.0;A
2009;6604;C01;00;21;Andaluces;19.0;A
