D_TEMPORAL_0;D_EDAD_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;025029;00;18;Andaluces;11537.0647355;A
1998;025029;00;21;Andaluces;2544.9775079;A
1998;025029;00;23;Andaluces;13127.0541597;A
1998;025029;00;29;Andaluces;6111.4518366;A
1998;025029;00;41;Andaluces;11748.0405742;A
1998;025029;00;C01;Andaluces;68940.9074154;A
1998;025029;01;04;Andaluces;1922.5227675;A
1998;025029;01;11;Andaluces;5138.8556414;A
1998;025029;01;14;Andaluces;4948.5459152;A
1998;025029;01;18;Andaluces;5765.2610268;A
1998;025029;01;21;Andaluces;1286.614153;A
1998;025029;01;23;Andaluces;6576.082383;A
1998;025029;01;29;Andaluces;3112.8933421;A
1998;025029;01;41;Andaluces;5929.4659425;A
1998;025029;01;C01;Andaluces;34680.2411715;A
1998;025029;06;04;Andaluces;1992.4019138;A
1998;025029;06;11;Andaluces;4909.5395803;A
1998;025029;06;14;Andaluces;4960.4527833;A
1998;025029;06;18;Andaluces;5771.8037087;A
1998;025029;06;21;Andaluces;1258.3633549;A
1998;025029;06;23;Andaluces;6550.9717767;A
1998;025029;06;29;Andaluces;2998.5584945;A
1998;025029;06;41;Andaluces;5818.5746317;A
1998;025029;06;C01;Andaluces;34260.6662439;A
1998;030034;00;04;Andaluces;6206.0799306;A
1998;030034;00;11;Andaluces;12376.9835268;A
1998;030034;00;14;Andaluces;19218.7793272;A
1998;030034;00;18;Andaluces;20784.2457325;A
1998;030034;00;21;Andaluces;3903.5430944;A
1998;030034;00;23;Andaluces;24839.1811782;A
1998;030034;00;29;Andaluces;8840.0393998;A
1998;030034;00;41;Andaluces;17181.5414971;A
1998;030034;00;C01;Andaluces;113350.3936866;A
1998;030034;01;04;Andaluces;3114.098877;A
1998;030034;01;11;Andaluces;6266.8707518;A
1998;030034;01;14;Andaluces;9816.2417349;A
1998;030034;01;18;Andaluces;10306.4340517;A
1998;030034;01;21;Andaluces;1893.7469982;A
1998;030034;01;23;Andaluces;12420.6319358;A
1998;030034;01;29;Andaluces;4506.0140315;A
1998;030034;01;41;Andaluces;8655.1133649;A
1998;030034;01;C01;Andaluces;56979.1517458;A
1998;030034;06;04;Andaluces;3091.9810536;A
1998;030034;06;11;Andaluces;6110.112775;A
1998;030034;06;14;Andaluces;9402.5375923;A
1998;030034;06;18;Andaluces;10477.8116808;A
1998;030034;06;21;Andaluces;2009.7960962;A
1998;030034;06;23;Andaluces;12418.5492424;A
1998;030034;06;29;Andaluces;4334.0253683;A
1998;030034;06;41;Andaluces;8526.4281322;A
1998;030034;06;C01;Andaluces;56371.2419408;A
1998;035039;00;04;Andaluces;9354.4507751;A
1998;035039;00;11;Andaluces;13866.8674926;A
1998;035039;00;14;Andaluces;28081.8374078;A
1998;035039;00;18;Andaluces;29905.4135318;A
1998;035039;00;21;Andaluces;5824.7142461;A
1998;035039;00;23;Andaluces;35373.491434;A
1998;035039;00;29;Andaluces;11224.0906693;A
1998;035039;00;41;Andaluces;22104.1060382;A
1998;035039;00;C01;Andaluces;155734.9715949;A
1998;035039;01;04;Andaluces;4569.3240616;A
1998;035039;01;11;Andaluces;6789.7855291;A
1998;035039;01;14;Andaluces;13900.6914497;A
1998;035039;01;18;Andaluces;14900.6254033;A
1998;035039;01;21;Andaluces;2797.6588758;A
1998;035039;01;23;Andaluces;17392.2409165;A
1998;035039;01;29;Andaluces;5664.4056314;A
1998;035039;01;41;Andaluces;10860.7919391;A
1998;035039;01;C01;Andaluces;76875.5238065;A
1998;035039;06;04;Andaluces;4785.1267135;A
1998;035039;06;11;Andaluces;7077.0819635;A
1998;035039;06;14;Andaluces;14181.1459581;A
1998;035039;06;18;Andaluces;15004.7881285;A
1998;035039;06;21;Andaluces;3027.0553703;A
1998;035039;06;23;Andaluces;17981.2505175;A
1998;035039;06;29;Andaluces;5559.6850379;A
1998;035039;06;41;Andaluces;11243.3140991;A
1998;035039;06;C01;Andaluces;78859.4477884;A
1998;040044;00;04;Andaluces;11958.7282283;A
1998;040044;00;11;Andaluces;14119.4601559;A
1998;040044;00;14;Andaluces;33058.0766767;A
1998;040044;00;18;Andaluces;33585.6999576;A
1998;040044;00;21;Andaluces;6972.1269036;A
1998;040044;00;23;Andaluces;41064.3149178;A
1998;040044;00;29;Andaluces;13906.2861857;A
1998;040044;00;41;Andaluces;24104.5300493;A
1998;040044;00;C01;Andaluces;178769.2230749;A
1998;040044;01;04;Andaluces;5897.5082365;A
1998;040044;01;11;Andaluces;6971.8319257;A
1998;040044;01;14;Andaluces;16180.0123714;A
1998;040044;01;18;Andaluces;16663.3985916;A
1998;040044;01;21;Andaluces;3485.6904073;A
1998;040044;01;23;Andaluces;20625.8439177;A
1998;040044;01;29;Andaluces;7027.0456392;A
1998;040044;01;41;Andaluces;11968.3691026;A
1998;040044;01;C01;Andaluces;88819.700192;A
1998;040044;06;04;Andaluces;6061.2199918;A
1998;040044;06;11;Andaluces;7147.6282302;A
1998;040044;06;14;Andaluces;16878.0643053;A
1998;040044;06;18;Andaluces;16922.301366;A
1998;040044;06;21;Andaluces;3486.4364963;A
1998;040044;06;23;Andaluces;20438.4710001;A
1998;040044;06;29;Andaluces;6879.2405465;A
1998;040044;06;41;Andaluces;12136.1609467;A
1998;040044;06;C01;Andaluces;89949.5228829;A
1998;045049;00;04;Andaluces;14311.022977;A
1998;045049;00;11;Andaluces;12799.871464;A
1998;045049;00;14;Andaluces;36010.7923943;A
1998;045049;00;18;Andaluces;35462.8940812;A
1998;045049;00;21;Andaluces;7218.041494;A
1998;045049;00;23;Andaluces;44867.0877449;A
1998;045049;00;29;Andaluces;16737.8200975;A
1998;045049;00;41;Andaluces;23890.7564414;A
1998;045049;00;C01;Andaluces;191298.2866943;A
1998;045049;01;04;Andaluces;7016.6148087;A
1998;045049;01;11;Andaluces;6469.1058198;A
1998;045049;01;14;Andaluces;18042.9892709;A
1998;045049;01;18;Andaluces;17751.9059922;A
1998;045049;01;21;Andaluces;3596.6604435;A
1998;045049;01;23;Andaluces;22350.7016702;A
1998;045049;01;29;Andaluces;8448.8408631;A
1998;045049;01;41;Andaluces;11881.5580791;A
1998;045049;01;C01;Andaluces;95558.3769475;A
1998;045049;06;04;Andaluces;7294.4081683;A
1998;045049;06;11;Andaluces;6330.7656442;A
1998;045049;06;14;Andaluces;17967.8031234;A
1998;045049;06;18;Andaluces;17710.988089;A
1998;045049;06;21;Andaluces;3621.3810505;A
1998;045049;06;23;Andaluces;22516.3860747;A
1998;045049;06;29;Andaluces;8288.9792344;A
1998;045049;06;41;Andaluces;12009.1983623;A
1998;045049;06;C01;Andaluces;95739.9097468;A
1998;050054;00;04;Andaluces;13509.1174019;A
1998;050054;00;11;Andaluces;12270.2188888;A
1998;050054;00;14;Andaluces;36783.6463104;A
1998;050054;00;18;Andaluces;31378.2078138;A
1998;050054;00;21;Andaluces;7404.4596992;A
1998;050054;00;23;Andaluces;42804.0673019;A
1998;050054;00;29;Andaluces;18151.4643502;A
1998;050054;00;41;Andaluces;23809.4056573;A
1998;050054;00;C01;Andaluces;186110.5874235;A
1998;050054;01;04;Andaluces;6546.3975062;A
1998;050054;01;11;Andaluces;6169.7855319;A
1998;050054;01;14;Andaluces;18364.1107082;A
1998;050054;01;18;Andaluces;15791.7080493;A
1998;050054;01;21;Andaluces;3630.7503018;A
1998;050054;01;23;Andaluces;21581.0238551;A
1998;050054;01;29;Andaluces;8961.3511496;A
1998;050054;01;41;Andaluces;11778.5284413;A
1998;050054;01;C01;Andaluces;92823.6555434;A
1998;050054;06;04;Andaluces;6962.7198957;A
1998;050054;06;11;Andaluces;6100.4333569;A
1998;050054;06;14;Andaluces;18419.5356022;A
1998;050054;06;18;Andaluces;15586.4997645;A
1998;050054;06;21;Andaluces;3773.7093974;A
1998;050054;06;23;Andaluces;21223.0434468;A
1998;050054;06;29;Andaluces;9190.1132006;A
1998;050054;06;41;Andaluces;12030.877216;A
1998;050054;06;C01;Andaluces;93286.9318801;A
1998;055059;00;04;Andaluces;12246.0295608;A
1998;055059;00;11;Andaluces;8907.6676371;A
1998;055059;00;14;Andaluces;27896.4563894;A
1998;055059;00;18;Andaluces;23870.646918;A
1998;055059;00;21;Andaluces;5204.8542146;A
1998;055059;00;23;Andaluces;34970.3244166;A
1998;055059;00;29;Andaluces;13320.5842475;A
1998;055059;00;41;Andaluces;17228.7463927;A
1998;055059;00;C01;Andaluces;143645.3097767;A
1998;055059;01;04;Andaluces;5947.3987146;A
1998;055059;01;11;Andaluces;4493.9939291;A
1998;055059;01;14;Andaluces;13902.3037391;A
1998;055059;01;18;Andaluces;12043.967316;A
1998;055059;01;21;Andaluces;2586.6531356;A
1998;055059;01;23;Andaluces;17546.5208448;A
1998;055059;01;29;Andaluces;6686.9707899;A
1998;055059;01;41;Andaluces;8597.1037526;A
1998;055059;01;C01;Andaluces;71804.9122217;A
1998;055059;06;04;Andaluces;6298.6308462;A
1998;055059;06;11;Andaluces;4413.673708;A
1998;055059;06;14;Andaluces;13994.1526503;A
1998;055059;06;18;Andaluces;11826.679602;A
1998;055059;06;21;Andaluces;2618.201079;A
1998;055059;06;23;Andaluces;17423.8035718;A
1998;055059;06;29;Andaluces;6633.6134576;A
1998;055059;06;41;Andaluces;8631.6426401;A
1998;055059;06;C01;Andaluces;71840.397555;A
1998;060064;00;04;Andaluces;15562.8899481;A
1998;060064;00;11;Andaluces;7986.33347;A
1998;060064;00;14;Andaluces;28567.8253223;A
1998;060064;00;18;Andaluces;26217.6390878;A
1998;060064;00;21;Andaluces;5370.0825867;A
1998;060064;00;23;Andaluces;37720.048313;A
1998;060064;00;29;Andaluces;14475.14931;A
1998;060064;00;41;Andaluces;16792.3226747;A
1998;060064;00;C01;Andaluces;152692.2907126;A
1998;060064;01;04;Andaluces;7374.9750788;A
1998;060064;01;11;Andaluces;3762.2334307;A
1998;060064;01;14;Andaluces;13767.9066517;A
1998;060064;01;18;Andaluces;12707.4425613;A
1998;060064;01;21;Andaluces;2643.8823474;A
1998;060064;01;23;Andaluces;18236.631359;A
1998;060064;01;29;Andaluces;6966.6274721;A
1998;060064;01;41;Andaluces;8089.4592867;A
1998;060064;01;C01;Andaluces;73549.1581877;A
1998;060064;06;04;Andaluces;8187.9148693;A
1998;060064;06;11;Andaluces;4224.1000393;A
1998;060064;06;14;Andaluces;14799.9186706;A
1998;060064;06;18;Andaluces;13510.1965265;A
1998;060064;06;21;Andaluces;2726.2002393;A
1998;060064;06;23;Andaluces;19483.416954;A
1998;060064;06;29;Andaluces;7508.5218379;A
1998;060064;06;41;Andaluces;8702.863388;A
1998;060064;06;C01;Andaluces;79143.1325249;A
1998;065069;00;04;Andaluces;14618.3837022;A
1998;065069;00;11;Andaluces;7012.1784073;A
1998;065069;00;14;Andaluces;25284.7313535;A
1998;065069;00;18;Andaluces;22099.9858794;A
1998;065069;00;21;Andaluces;4383.7359529;A
1998;065069;00;23;Andaluces;33152.3865875;A
1998;065069;00;29;Andaluces;12757.8026411;A
1998;065069;00;41;Andaluces;13902.1474821;A
1998;065069;00;C01;Andaluces;133211.352006;A
1998;065069;01;04;Andaluces;6579.6664528;A
