TEMPORAL;OBS_STATUS;ICMA_TIPOVENTAS;TERRITORIO;IVGS_SERIEIVGS;INDICATOR;OBS_VALUE;FREQ
2007-09;P;61592;ES61;277796;INDI_ORIG;123.579665973;M
2007-09;P;61593;ES61;277796;INDI_ORIG;123.061640659;M
2007-09;P;61594;ES61;277796;INDI_ORIG;107.079459557;M
2007-09;P;61595;ES61;277796;INDI_ORIG;133.969940552;M
2007-10;P;61592;ES61;277796;INDI_ORIG;123.657232463;M
2007-10;P;61593;ES61;277796;INDI_ORIG;123.185365797;M
2007-10;P;61594;ES61;277796;INDI_ORIG;107.905263248;M
2007-10;P;61595;ES61;277796;INDI_ORIG;133.541930394;M
2007-11;P;61592;ES61;277796;INDI_ORIG;125.139455045;M
2007-11;P;61593;ES61;277796;INDI_ORIG;124.237932928;M
2007-11;P;61594;ES61;277796;INDI_ORIG;107.59911466;M
2007-11;P;61595;ES61;277796;INDI_ORIG;140.383706425;M
2007-12;P;61592;ES61;277796;INDI_ORIG;124.98141159;M
2007-12;P;61593;ES61;277796;INDI_ORIG;124.744456038;M
2007-12;P;61594;ES61;277796;INDI_ORIG;109.058329618;M
2007-12;P;61595;ES61;277796;INDI_ORIG;138.824210599;M
2008-01;P;61592;ES61;277796;INDI_ORIG;123.025329341;M
2008-01;P;61593;ES61;277796;INDI_ORIG;122.556472067;M
2008-01;P;61594;ES61;277796;INDI_ORIG;108.092309102;M
2008-01;P;61595;ES61;277796;INDI_ORIG;133.769739374;M
2008-02;P;61592;ES61;277796;INDI_ORIG;123.334018417;M
2008-02;P;61593;ES61;277796;INDI_ORIG;122.348918665;M
2008-02;P;61594;ES61;277796;INDI_ORIG;109.869391816;M
2008-02;P;61595;ES61;277796;INDI_ORIG;133.295099632;M
2008-03;P;61592;ES61;277796;INDI_ORIG;121.994700887;M
2008-03;P;61593;ES61;277796;INDI_ORIG;121.262376626;M
2008-03;P;61594;ES61;277796;INDI_ORIG;110.297219471;M
2008-03;P;61595;ES61;277796;INDI_ORIG;130.693520729;M
2008-04;P;61592;ES61;277796;INDI_ORIG;122.440013891;M
2008-04;P;61593;ES61;277796;INDI_ORIG;120.825222913;M
2008-04;P;61594;ES61;277796;INDI_ORIG;109.370545073;M
2008-04;P;61595;ES61;277796;INDI_ORIG;129.590219667;M
2008-05;P;61592;ES61;277796;INDI_ORIG;120.582279439;M
2008-05;P;61593;ES61;277796;INDI_ORIG;119.726520925;M
2008-05;P;61594;ES61;277796;INDI_ORIG;110.558983338;M
2008-05;P;61595;ES61;277796;INDI_ORIG;126.37856658;M
2008-06;P;61592;ES61;277796;INDI_ORIG;120.667634176;M
2008-06;P;61593;ES61;277796;INDI_ORIG;119.909827619;M
2008-06;P;61594;ES61;277796;INDI_ORIG;110.470856656;M
2008-06;P;61595;ES61;277796;INDI_ORIG;127.049929345;M
2008-07;P;61592;ES61;277796;INDI_ORIG;120.404561071;M
2008-07;P;61593;ES61;277796;INDI_ORIG;120.256426988;M
2008-07;P;61594;ES61;277796;INDI_ORIG;109.797720736;M
2008-07;P;61595;ES61;277796;INDI_ORIG;128.0742928;M
2008-08;P;61592;ES61;277796;INDI_ORIG;119.748140155;M
2008-08;P;61593;ES61;277796;INDI_ORIG;118.969609698;M
2008-08;P;61594;ES61;277796;INDI_ORIG;110.773231648;M
2008-08;P;61595;ES61;277796;INDI_ORIG;125.058844713;M
2008-09;P;61592;ES61;277796;INDI_ORIG;119.233168478;M
2008-09;P;61593;ES61;277796;INDI_ORIG;118.615279241;M
2008-09;P;61594;ES61;277796;INDI_ORIG;107.809579062;M
2008-09;P;61595;ES61;277796;INDI_ORIG;126.297441914;M
2008-10;P;61592;ES61;277796;INDI_ORIG;117.20519241;M
