TEMPORAL;OBS_STATUS;TIPO_VENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006-04;D;07;;INDI_CIFR_NEGO;137.853042005;M
2006-04;D;08;;INDI_CIFR_NEGO;141.645920265;M
2006-05;D;01;;INDI_CIFR_NEGO;129.095851274;M
2006-05;D;02;;INDI_CIFR_NEGO;129.893601177;M
2006-05;D;03;;INDI_CIFR_NEGO;127.404433947;M
2006-05;D;04;;INDI_CIFR_NEGO;114.5910845;M
2006-05;D;05;;INDI_CIFR_NEGO;126.885629104;M
2006-05;D;06;;INDI_CIFR_NEGO;116.36352647;M
2006-05;D;07;;INDI_CIFR_NEGO;150.954393211;M
2006-05;D;08;;INDI_CIFR_NEGO;151.168687697;M
2006-06;D;01;;INDI_CIFR_NEGO;132.718064878;M
2006-06;D;02;;INDI_CIFR_NEGO;132.677969808;M
2006-06;D;03;;INDI_CIFR_NEGO;133.149850487;M
2006-06;D;04;;INDI_CIFR_NEGO;115.118866913;M
2006-06;D;05;;INDI_CIFR_NEGO;130.271922586;M
2006-06;D;06;;INDI_CIFR_NEGO;127.454298299;M
2006-06;D;07;;INDI_CIFR_NEGO;152.668154312;M
2006-06;D;08;;INDI_CIFR_NEGO;173.957057487;M
2006-07;D;01;;INDI_CIFR_NEGO;135.690484206;M
2006-07;D;02;;INDI_CIFR_NEGO;132.362304996;M
2006-07;D;03;;INDI_CIFR_NEGO;144.426675733;M
2006-07;D;04;;INDI_CIFR_NEGO;110.994441499;M
2006-07;D;05;;INDI_CIFR_NEGO;151.41086363;M
2006-07;D;06;;INDI_CIFR_NEGO;123.672076159;M
2006-07;D;07;;INDI_CIFR_NEGO;173.63478376;M
2006-07;D;08;;INDI_CIFR_NEGO;217.704962724;M
2006-08;D;01;;INDI_CIFR_NEGO;119.270511847;M
2006-08;D;02;;INDI_CIFR_NEGO;115.90733276;M
2006-08;D;03;;INDI_CIFR_NEGO;128.054116986;M
2006-08;D;04;;INDI_CIFR_NEGO;101.599420881;M
2006-08;D;05;;INDI_CIFR_NEGO;169.27968606;M
2006-08;D;06;;INDI_CIFR_NEGO;109.954573592;M
2006-08;D;07;;INDI_CIFR_NEGO;105.107124739;M
2006-08;D;08;;INDI_CIFR_NEGO;177.696360431;M
2006-09;D;01;;INDI_CIFR_NEGO;123.289306193;M
