TEMPORAL;OBS_STATUS;IASS_TIPOVENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007-04;A;61758;ES61;INDICE_VAB;119.361606033;M
2007-04;A;61759;ES61;INDICE_VAB;145.803857368;M
2007-04;A;61760;ES61;INDICE_VAB;133.283569055;M
2007-05;A;61753;ES61;INDICE_VAB;128.345306393;M
2007-05;A;61754;ES61;INDICE_VAB;127.640231309;M
2007-05;A;61755;ES61;INDICE_VAB;129.605393893;M
2007-05;A;61756;ES61;INDICE_VAB;118.556430827;M
2007-05;A;61757;ES61;INDICE_VAB;131.378534765;M
2007-05;A;61758;ES61;INDICE_VAB;128.337802149;M
2007-05;A;61759;ES61;INDICE_VAB;156.543091446;M
2007-05;A;61760;ES61;INDICE_VAB;151.258663264;M
2007-06;A;61753;ES61;INDICE_VAB;131.397052334;M
2007-06;A;61754;ES61;INDICE_VAB;130.762054461;M
2007-06;A;61755;ES61;INDICE_VAB;132.634471342;M
2007-06;A;61756;ES61;INDICE_VAB;119.844057773;M
2007-06;A;61757;ES61;INDICE_VAB;139.655508047;M
2007-06;A;61758;ES61;INDICE_VAB;124.806704861;M
2007-06;A;61759;ES61;INDICE_VAB;164.082947154;M
2007-06;A;61760;ES61;INDICE_VAB;143.74391739;M
2007-07;A;61753;ES61;INDICE_VAB;140.843414358;M
2007-07;A;61754;ES61;INDICE_VAB;135.343252495;M
2007-07;A;61755;ES61;INDICE_VAB;145.005626031;M
2007-07;A;61756;ES61;INDICE_VAB;117.100245435;M
2007-07;A;61757;ES61;INDICE_VAB;157.766066598;M
2007-07;A;61758;ES61;INDICE_VAB;129.754404319;M
2007-07;A;61759;ES61;INDICE_VAB;200.899202324;M
2007-07;A;61760;ES61;INDICE_VAB;151.287081409;M
2007-08;A;61753;ES61;INDICE_VAB;126.544607682;M
2007-08;A;61754;ES61;INDICE_VAB;120.015227019;M
2007-08;A;61755;ES61;INDICE_VAB;131.218293804;M
2007-08;A;61756;ES61;INDICE_VAB;106.193815802;M
2007-08;A;61757;ES61;INDICE_VAB;168.554873032;M
2007-08;A;61758;ES61;INDICE_VAB;119.495268419;M
2007-08;A;61759;ES61;INDICE_VAB;112.47921323;M
2007-08;A;61760;ES61;INDICE_VAB;137.794640608;M
2007-09;A;61753;ES61;INDICE_VAB;124.584296477;M
2007-09;A;61754;ES61;INDICE_VAB;120.06111931;M
2007-09;A;61755;ES61;INDICE_VAB;128.066264872;M
2007-09;A;61756;ES61;INDICE_VAB;110.977285077;M
2007-09;A;61757;ES61;INDICE_VAB;141.533344851;M
2007-09;A;61758;ES61;INDICE_VAB;120.521839365;M
2007-09;A;61759;ES61;INDICE_VAB;137.677006182;M
2007-09;A;61760;ES61;INDICE_VAB;153.796527129;M
2007-10;A;61753;ES61;INDICE_VAB;129.461469825;M
2007-10;A;61754;ES61;INDICE_VAB;131.139518562;M
2007-10;A;61755;ES61;INDICE_VAB;129.327076445;M
2007-10;A;61756;ES61;INDICE_VAB;121.906654616;M
2007-10;A;61757;ES61;INDICE_VAB;126.381435926;M
2007-10;A;61758;ES61;INDICE_VAB;128.296169602;M
2007-10;A;61759;ES61;INDICE_VAB;152.340507442;M
2007-10;A;61760;ES61;INDICE_VAB;163.358614983;M
2007-11;A;61753;ES61;INDICE_VAB;122.967938958;M
2007-11;A;61754;ES61;INDICE_VAB;129.358897638;M
2007-11;A;61755;ES61;INDICE_VAB;120.018531428;M
2007-11;A;61756;ES61;INDICE_VAB;115.940284057;M
2007-11;A;61757;ES61;INDICE_VAB;108.263631703;M
2007-11;A;61758;ES61;INDICE_VAB;124.681807222;M
2007-11;A;61759;ES61;INDICE_VAB;152.661836863;M
2007-11;A;61760;ES61;INDICE_VAB;153.931204423;M
2007-12;A;61753;ES61;INDICE_VAB;135.4368221;M
2007-12;A;61754;ES61;INDICE_VAB;146.116468006;M
2007-12;A;61755;ES61;INDICE_VAB;130.045783751;M
2007-12;A;61756;ES61;INDICE_VAB;116.311312116;M
2007-12;A;61757;ES61;INDICE_VAB;123.956550845;M
2007-12;A;61758;ES61;INDICE_VAB;141.274568136;M
2007-12;A;61759;ES61;INDICE_VAB;172.949868069;M
2007-12;A;61760;ES61;INDICE_VAB;147.95598064;M
2008-01;A;61753;ES61;INDICE_VAB;117.484912548;M
2008-01;A;61754;ES61;INDICE_VAB;126.42179096;M
2008-01;A;61755;ES61;INDICE_VAB;113.001354961;M
2008-01;A;61756;ES61;INDICE_VAB;106.96479615;M
2008-01;A;61757;ES61;INDICE_VAB;101.026412433;M
2008-01;A;61758;ES61;INDICE_VAB;125.084985565;M
2008-01;A;61759;ES61;INDICE_VAB;144.622275953;M
2008-01;A;61760;ES61;INDICE_VAB;142.250111444;M
2008-02;A;61753;ES61;INDICE_VAB;112.191847487;M
2008-02;A;61754;ES61;INDICE_VAB;116.065047998;M
2008-02;A;61755;ES61;INDICE_VAB;110.651863892;M
2008-02;A;61756;ES61;INDICE_VAB;109.078259744;M
2008-02;A;61757;ES61;INDICE_VAB;102.289574681;M
2008-02;A;61758;ES61;INDICE_VAB;124.222753618;M
2008-02;A;61759;ES61;INDICE_VAB;122.632716907;M
2008-02;A;61760;ES61;INDICE_VAB;140.971294939;M
2008-03;A;61753;ES61;INDICE_VAB;120.800805928;M
2008-03;A;61754;ES61;INDICE_VAB;124.76278461;M
2008-03;A;61755;ES61;INDICE_VAB;119.265174158;M
2008-03;A;61756;ES61;INDICE_VAB;114.126036641;M
2008-03;A;61757;ES61;INDICE_VAB;119.472687145;M
2008-03;A;61758;ES61;INDICE_VAB;126.968310492;M
2008-03;A;61759;ES61;INDICE_VAB;129.418587044;M
2008-03;A;61760;ES61;INDICE_VAB;140.935463366;M
2008-04;A;61753;ES61;INDICE_VAB;122.90162109;M
2008-04;A;61754;ES61;INDICE_VAB;126.420643653;M
2008-04;A;61755;ES61;INDICE_VAB;121.641491006;M
2008-04;A;61756;ES61;INDICE_VAB;119.496967008;M
2008-04;A;61757;ES61;INDICE_VAB;116.625137831;M
2008-04;A;61758;ES61;INDICE_VAB;128.319177062;M
2008-04;A;61759;ES61;INDICE_VAB;144.565347512;M
2008-04;A;61760;ES61;INDICE_VAB;139.489844709;M
2008-05;A;61753;ES61;INDICE_VAB;122.046233001;M
2008-05;A;61754;ES61;INDICE_VAB;121.914020594;M
2008-05;A;61755;ES61;INDICE_VAB;122.928010616;M
2008-05;A;61756;ES61;INDICE_VAB;119.017223738;M
2008-05;A;61757;ES61;INDICE_VAB;125.478142081;M
2008-05;A;61758;ES61;INDICE_VAB;124.703719088;M
2008-05;A;61759;ES61;INDICE_VAB;128.54062398;M
2008-05;A;61760;ES61;INDICE_VAB;148.2438688;M
2008-06;A;61753;ES61;INDICE_VAB;122.19460518;M
2008-06;A;61754;ES61;INDICE_VAB;123.338976256;M
2008-06;A;61755;ES61;INDICE_VAB;122.325548349;M
2008-06;A;61756;ES61;INDICE_VAB;116.176664837;M
2008-06;A;61757;ES61;INDICE_VAB;125.492633426;M
2008-06;A;61758;ES61;INDICE_VAB;127.773571586;M
2008-06;A;61759;ES61;INDICE_VAB;131.88295599;M
2008-06;A;61760;ES61;INDICE_VAB;140.776074642;M
2008-07;A;61753;ES61;INDICE_VAB;137.08128041;M
2008-07;A;61754;ES61;INDICE_VAB;135.385702865;M
2008-07;A;61755;ES61;INDICE_VAB;138.981003355;M
2008-07;A;61756;ES61;INDICE_VAB;128.621065616;M
2008-07;A;61757;ES61;INDICE_VAB;145.764817623;M
2008-07;A;61758;ES61;INDICE_VAB;129.922030097;M
2008-07;A;61759;ES61;INDICE_VAB;161.530022855;M
2008-07;A;61760;ES61;INDICE_VAB;160.300575515;M
2008-08;A;61753;ES61;INDICE_VAB;116.203516462;M
2008-08;A;61754;ES61;INDICE_VAB;108.804887428;M
2008-08;A;61755;ES61;INDICE_VAB;121.320699409;M
2008-08;A;61756;ES61;INDICE_VAB;106.321481371;M
2008-08;A;61757;ES61;INDICE_VAB;151.974359002;M
2008-08;A;61758;ES61;INDICE_VAB;110.981412686;M
2008-08;A;61759;ES61;INDICE_VAB;97.868845181;M
2008-08;A;61760;ES61;INDICE_VAB;129.626277409;M
2008-09;A;61753;ES61;INDICE_VAB;116.985842493;M
2008-09;A;61754;ES61;INDICE_VAB;115.413377454;M
2008-09;A;61755;ES61;INDICE_VAB;118.681713484;M
2008-09;A;61756;ES61;INDICE_VAB;104.543139896;M
2008-09;A;61757;ES61;INDICE_VAB;124.428727173;M
2008-09;A;61758;ES61;INDICE_VAB;121.61743269;M
2008-09;A;61759;ES61;INDICE_VAB;129.395815668;M
2008-09;A;61760;ES61;INDICE_VAB;146.690755422;M
2008-10;A;61753;ES61;INDICE_VAB;119.13049489;M
2008-10;A;61754;ES61;INDICE_VAB;116.721307771;M
2008-10;A;61755;ES61;INDICE_VAB;121.331876816;M
2008-10;A;61756;ES61;INDICE_VAB;117.970964508;M
2008-10;A;61757;ES61;INDICE_VAB;112.67141584;M
2008-10;A;61758;ES61;INDICE_VAB;134.768934969;M
2008-10;A;61759;ES61;INDICE_VAB;139.769442648;M
2008-10;A;61760;ES61;INDICE_VAB;151.411874131;M
2008-11;A;61753;ES61;INDICE_VAB;106.757154438;M
2008-11;A;61754;ES61;INDICE_VAB;107.120640317;M
2008-11;A;61755;ES61;INDICE_VAB;107.246107808;M
2008-11;A;61756;ES61;INDICE_VAB;104.256889753;M
2008-11;A;61757;ES61;INDICE_VAB;94.495646237;M
2008-11;A;61758;ES61;INDICE_VAB;125.140860825;M
2008-11;A;61759;ES61;INDICE_VAB;132.308021681;M
2008-11;A;61760;ES61;INDICE_VAB;132.125838557;M
2008-12;A;61753;ES61;INDICE_VAB;119.426115215;M
2008-12;A;61754;ES61;INDICE_VAB;126.932342707;M
2008-12;A;61755;ES61;INDICE_VAB;115.796824592;M
2008-12;A;61756;ES61;INDICE_VAB;103.965652675;M
2008-12;A;61757;ES61;INDICE_VAB;103.706103666;M
2008-12;A;61758;ES61;INDICE_VAB;146.76129951;M
2008-12;A;61759;ES61;INDICE_VAB;152.082431844;M
2008-12;A;61760;ES61;INDICE_VAB;129.904280997;M
2009-01;A;61753;ES61;INDICE_VAB;99.77354577;M
2009-01;A;61754;ES61;INDICE_VAB;107.477452887;M
2009-01;A;61755;ES61;INDICE_VAB;95.899921393;M
2009-01;A;61756;ES61;INDICE_VAB;93.134027087;M
2009-01;A;61757;ES61;INDICE_VAB;85.226015815;M
2009-01;A;61758;ES61;INDICE_VAB;122.035949341;M
2009-01;A;61759;ES61;INDICE_VAB;106.028588355;M
2009-01;A;61760;ES61;INDICE_VAB;119.425399089;M
2009-02;A;61753;ES61;INDICE_VAB;93.209200908;M
2009-02;A;61754;ES61;INDICE_VAB;94.492228909;M
2009-02;A;61755;ES61;INDICE_VAB;93.068684057;M
2009-02;A;61756;ES61;INDICE_VAB;94.511418886;M
2009-02;A;61757;ES61;INDICE_VAB;82.209400808;M
2009-02;A;61758;ES61;INDICE_VAB;112.690538274;M
2009-02;A;61759;ES61;INDICE_VAB;102.915235185;M
2009-02;A;61760;ES61;INDICE_VAB;115.466627997;M
2009-03;A;61753;ES61;INDICE_VAB;102.198082048;M
2009-03;A;61754;ES61;INDICE_VAB;106.288842528;M
