D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPOVENTAS_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2003-10;40123;61593;3143;277795;Índice original;106.7224237;M
2003-10;40123;61594;3143;277795;Índice original;91.84256847;M
2003-10;40123;61595;3143;277795;Índice original;118.22378722;M
2003-11;40123;61592;3143;277795;Índice original;;M
2003-11;40123;61593;3143;277795;Índice original;98.19951297;M
2003-11;40123;61594;3143;277795;Índice original;86.56746918;M
2003-11;40123;61595;3143;277795;Índice original;106.73641606;M
2003-12;40123;61592;3143;277795;Índice original;;M
2003-12;40123;61593;3143;277795;Índice original;124.25006857;M
2003-12;40123;61594;3143;277795;Índice original;104.95258088;M
2003-12;40123;61595;3143;277795;Índice original;139.60121572;M
2004-01;40123;61592;3143;277795;Índice original;;M
2004-01;40123;61593;3143;277795;Índice original;104.61763611;M
2004-01;40123;61594;3143;277795;Índice original;81.47127053;M
2004-01;40123;61595;3143;277795;Índice original;124.39585228;M
2004-02;40123;61592;3143;277795;Índice original;;M
2004-02;40123;61593;3143;277795;Índice original;89.87618161;M
2004-02;40123;61594;3143;277795;Índice original;77.58021763;M
2004-02;40123;61595;3143;277795;Índice original;99.3284981;M
2004-03;40123;61592;3143;277795;Índice original;;M
2004-03;40123;61593;3143;277795;Índice original;102.84348086;M
2004-03;40123;61594;3143;277795;Índice original;88.79586657;M
2004-03;40123;61595;3143;277795;Índice original;113.6373147;M
2004-04;40123;61592;3143;277795;Índice original;;M
2004-04;40123;61593;3143;277795;Índice original;103.19658622;M
2004-04;40123;61594;3143;277795;Índice original;88.49855523;M
2004-04;40123;61595;3143;277795;Índice original;114.6257053;M
2004-05;40123;61592;3143;277795;Índice original;;M
2004-05;40123;61593;3143;277795;Índice original;103.39622057;M
2004-05;40123;61594;3143;277795;Índice original;87.31567699;M
2004-05;40123;61595;3143;277795;Índice original;116.19262439;M
2004-06;40123;61592;3143;277795;Índice original;;M
2004-06;40123;61593;3143;277795;Índice original;106.45313507;M
2004-06;40123;61594;3143;277795;Índice original;90.15810895;M
2004-06;40123;61595;3143;277795;Índice original;119.36864155;M
2004-07;40123;61592;3143;277795;Índice original;;M
2004-07;40123;61593;3143;277795;Índice original;113.54150876;M
2004-07;40123;61594;3143;277795;Índice original;96.91685526;M
2004-07;40123;61595;3143;277795;Índice original;126.5665786;M
2004-08;40123;61592;3143;277795;Índice original;;M
2004-08;40123;61593;3143;277795;Índice original;101.16594366;M
2004-08;40123;61594;3143;277795;Índice original;96.64736126;M
2004-08;40123;61595;3143;277795;Índice original;102.54497397;M
2004-09;40123;61592;3143;277795;Índice original;;M
2004-09;40123;61593;3143;277795;Índice original;104.04994125;M
2004-09;40123;61594;3143;277795;Índice original;91.97011023;M
2004-09;40123;61595;3143;277795;Índice original;112.85184496;M
2004-10;40123;61592;3143;277795;Índice original;;M
2004-10;40123;61593;3143;277795;Índice original;108.60002794;M
2004-10;40123;61594;3143;277795;Índice original;93.69631519;M
2004-10;40123;61595;3143;277795;Índice original;120.06737459;M
2004-11;40123;61592;3143;277795;Índice original;;M
2004-11;40123;61593;3143;277795;Índice original;106.51139693;M
2004-11;40123;61594;3143;277795;Índice original;92.16441935;M
2004-11;40123;61595;3143;277795;Índice original;117.48987384;M
2004-12;40123;61592;3143;277795;Índice original;;M
2004-12;40123;61593;3143;277795;Índice original;131.25297013;M
2004-12;40123;61594;3143;277795;Índice original;112.6895452;M
2004-12;40123;61595;3143;277795;Índice original;145.65961252;M
2005-01;40123;61592;3143;277795;Índice original;108.72265721;M
2005-01;40123;61593;3143;277795;Índice original;109.0111334;M
2005-01;40123;61594;3143;277795;Índice original;84.86388262;M
2005-01;40123;61595;3143;277795;Índice original;129.64859715;M
2005-02;40123;61592;3143;277795;Índice original;94.93929345;M
2005-02;40123;61593;3143;277795;Índice original;94.79310743;M
2005-02;40123;61594;3143;277795;Índice original;83.59772777;M
2005-02;40123;61595;3143;277795;Índice original;103.00093063;M
2005-03;40123;61592;3143;277795;Índice original;109.73426772;M
2005-03;40123;61593;3143;277795;Índice original;109.28407427;M
2005-03;40123;61594;3143;277795;Índice original;96.14230625;M
2005-03;40123;61595;3143;277795;Índice original;118.98003479;M
2005-04;40123;61592;3143;277795;Índice original;111.83189452;M
2005-04;40123;61593;3143;277795;Índice original;111.57370438;M
2005-04;40123;61594;3143;277795;Índice original;95.2005575;M
2005-04;40123;61595;3143;277795;Índice original;124.40941172;M
2005-05;40123;61592;3143;277795;Índice original;110.91773337;M
2005-05;40123;61593;3143;277795;Índice original;110.42890339;M
2005-05;40123;61594;3143;277795;Índice original;92.55894913;M
2005-05;40123;61595;3143;277795;Índice original;124.78676658;M
2005-06;40123;61592;3143;277795;Índice original;114.39322244;M
2005-06;40123;61593;3143;277795;Índice original;113.67703496;M
2005-06;40123;61594;3143;277795;Índice original;95.36873403;M
2005-06;40123;61595;3143;277795;Índice original;128.37051485;M
2005-07;40123;61592;3143;277795;Índice original;119.8593615;M
2005-07;40123;61593;3143;277795;Índice original;118.99428828;M
2005-07;40123;61594;3143;277795;Índice original;100.97316052;M
2005-07;40123;61595;3143;277795;Índice original;133.23903114;M
2005-08;40123;61592;3143;277795;Índice original;110.56589178;M
2005-08;40123;61593;3143;277795;Índice original;109.5171278;M
2005-08;40123;61594;3143;277795;Índice original;103.14813011;M
2005-08;40123;61595;3143;277795;Índice original;112.47769025;M
2005-09;40123;61592;3143;277795;Índice original;110.88812644;M
2005-09;40123;61593;3143;277795;Índice original;109.87183501;M
2005-09;40123;61594;3143;277795;Índice original;97.10518519;M
2005-09;40123;61595;3143;277795;Índice original;119.17707627;M
2005-10;40123;61592;3143;277795;Índice original;112.90359776;M
2005-10;40123;61593;3143;277795;Índice original;112.52069033;M
2005-10;40123;61594;3143;277795;Índice original;97.12022357;M
2005-10;40123;61595;3143;277795;Índice original;124.36100336;M
2005-11;40123;61592;3143;277795;Índice original;110.31343748;M
2005-11;40123;61593;3143;277795;Índice original;109.72264506;M
2005-11;40123;61594;3143;277795;Índice original;93.15823658;M
2005-11;40123;61595;3143;277795;Índice original;122.80525782;M
2005-12;40123;61592;3143;277795;Índice original;135.38616627;M
2005-12;40123;61593;3143;277795;Índice original;136.34519635;M
2005-12;40123;61594;3143;277795;Índice original;117.91674994;M
2005-12;40123;61595;3143;277795;Índice original;150.46121289;M
2006-01;40123;61592;3143;277795;Índice original;116.19021944;M
2006-01;40123;61593;3143;277795;Índice original;116.48898976;M
2006-01;40123;61594;3143;277795;Índice original;90.32354137;M
2006-01;40123;61595;3143;277795;Índice original;136.73445853;M
2006-02;40123;61592;3143;277795;Índice original;100.53235644;M
2006-02;40123;61593;3143;277795;Índice original;100.09062262;M
2006-02;40123;61594;3143;277795;Índice original;86.12430916;M
2006-02;40123;61595;3143;277795;Índice original;110.90151082;M
2006-03;40123;61592;3143;277795;Índice original;115.42503998;M
2006-03;40123;61593;3143;277795;Índice original;114.85049359;M
2006-03;40123;61594;3143;277795;Índice original;97.7038395;M
2006-03;40123;61595;3143;277795;Índice original;128.12223564;M
2006-04;40123;61592;3143;277795;Índice original;112.01966876;M
2006-04;40123;61593;3143;277795;Índice original;111.50041215;M
2006-04;40123;61594;3143;277795;Índice original;96.12776468;M
2006-04;40123;61595;3143;277795;Índice original;123.40005694;M
2006-05;40123;61592;3143;277795;Índice original;117.17888805;M
2006-05;40123;61593;3143;277795;Índice original;116.44435636;M
2006-05;40123;61594;3143;277795;Índice original;97.80805077;M
2006-05;40123;61595;3143;277795;Índice original;130.86811849;M
2006-06;40123;61592;3143;277795;Índice original;117.34211217;M
2006-06;40123;61593;3143;277795;Índice original;116.30005222;M
2006-06;40123;61594;3143;277795;Índice original;99.79777417;M
2006-06;40123;61595;3143;277795;Índice original;129.07371954;M
2006-07;40123;61592;3143;277795;Índice original;125.64810152;M
2006-07;40123;61593;3143;277795;Índice original;124.71183424;M
2006-07;40123;61594;3143;277795;Índice original;106.96162113;M
2006-07;40123;61595;3143;277795;Índice original;138.45142642;M
2006-08;40123;61592;3143;277795;Índice original;118.19093979;M
2006-08;40123;61593;3143;277795;Índice original;117.19179252;M
2006-08;40123;61594;3143;277795;Índice original;109.73321565;M
2006-08;40123;61595;3143;277795;Índice original;122.97277343;M
2006-09;40123;61592;3143;277795;Índice original;116.17673307;M
2006-09;40123;61593;3143;277795;Índice original;115.36905504;M
2006-09;40123;61594;3143;277795;Índice original;102.24351372;M
2006-09;40123;61595;3143;277795;Índice original;125.53164413;M
2006-10;40123;61592;3143;277795;Índice original;119.45510854;M
2006-10;40123;61593;3143;277795;Índice original;119.66062936;M
2006-10;40123;61594;3143;277795;Índice original;98.68377474;M
2006-10;40123;61595;3143;277795;Índice original;135.89453617;M
2006-11;40123;61592;3143;277795;Índice original;118.89269318;M
2006-11;40123;61593;3143;277795;Índice original;119.1131751;M
2006-11;40123;61594;3143;277795;Índice original;100.16535441;M
2006-11;40123;61595;3143;277795;Índice original;133.77812289;M
2006-12;40123;61592;3143;277795;Índice original;144.74729289;M
2006-12;40123;61593;3143;277795;Índice original;145.64860435;M
2006-12;40123;61594;3143;277795;Índice original;124.94276888;M
2006-12;40123;61595;3143;277795;Índice original;161.67602281;M
2007-01;40123;61592;3143;277795;Índice original;120.53546043;M
2007-01;40123;61593;3143;277795;Índice original;121.48481332;M
2007-01;40123;61594;3143;277795;Índice original;92.67592257;M
2007-01;40123;61595;3143;277795;Índice original;143.77484085;M
2007-02;40123;61592;3143;277795;Índice original;102.5367435;M
2007-02;40123;61593;3143;277795;Índice original;102.54956152;M
2007-02;40123;61594;3143;277795;Índice original;88.50446049;M
2007-02;40123;61595;3143;277795;Índice original;113.42166047;M
2007-03;40123;61592;3143;277795;Índice original;121.31192274;M
2007-03;40123;61593;3143;277795;Índice original;121.29338334;M
2007-03;40123;61594;3143;277795;Índice original;105.20544951;M
2007-03;40123;61595;3143;277795;Índice original;133.74726027;M
2007-04;40123;61592;3143;277795;Índice original;115.20337033;M
2007-04;40123;61593;3143;277795;Índice original;115.00556129;M
2007-04;40123;61594;3143;277795;Índice original;99.72398483;M
2007-04;40123;61595;3143;277795;Índice original;126.83520197;M
2007-05;40123;61592;3143;277795;Índice original;120.88144088;M
2007-05;40123;61593;3143;277795;Índice original;120.50612925;M
2007-05;40123;61594;3143;277795;Índice original;102.1444811;M
2007-05;40123;61595;3143;277795;Índice original;134.71799988;M
2007-06;40123;61592;3143;277795;Índice original;124.05749431;M
2007-06;40123;61593;3143;277795;Índice original;122.9417194;M
2007-06;40123;61594;3143;277795;Índice original;106.44028954;M
2007-06;40123;61595;3143;277795;Índice original;135.71551539;M
2007-07;40123;61592;3143;277795;Índice original;131.72338524;M
2007-07;40123;61593;3143;277795;Índice original;130.36503633;M
2007-07;40123;61594;3143;277795;Índice original;110.29292961;M
2007-07;40123;61595;3143;277795;Índice original;145.90063626;M
2007-08;40123;61592;3143;277795;Índice original;122.73429719;M
2007-08;40123;61593;3143;277795;Índice original;121.64252087;M
2007-08;40123;61594;3143;277795;Índice original;114.65478323;M
2007-08;40123;61595;3143;277795;Índice original;127.0599641;M
2007-09;40123;61592;3143;277795;Índice original;119.20754775;M
2007-09;40123;61593;3143;277795;Índice original;118.5427025;M
2007-09;40123;61594;3143;277795;Índice original;105.32158415;M
2007-09;40123;61595;3143;277795;Índice original;128.77956877;M
2007-10;40123;61592;3143;277795;Índice original;124.66206748;M
2007-10;40123;61593;3143;277795;Índice original;124.1519507;M
2007-10;40123;61594;3143;277795;Índice original;108.27535116;M
2007-10;40123;61595;3143;277795;Índice original;136.44275688;M
2007-11;40123;61592;3143;277795;Índice original;123.88488301;M
2007-11;40123;61593;3143;277795;Índice original;123.12740698;M
2007-11;40123;61594;3143;277795;Índice original;104.32842686;M
2007-11;40123;61595;3143;277795;Índice original;137.67774208;M
2007-12;40123;61592;3143;277795;Índice original;148.54592484;M
2007-12;40123;61593;3143;277795;Índice original;149.01669693;M
2007-12;40123;61594;3143;277795;Índice original;128.3947008;M
2007-12;40123;61595;3143;277795;Índice original;164.97968677;M
2008-01;40123;61592;3143;277795;Índice original;123.98313253;M
2008-01;40123;61593;3143;277795;Índice original;124.10390714;M
2008-01;40123;61594;3143;277795;Índice original;98.95452822;M
2008-01;40123;61595;3143;277795;Índice original;143.56462777;M
2008-02;40123;61592;3143;277795;Índice original;109.33567904;M
2008-02;40123;61593;3143;277795;Índice original;108.64985427;M
2008-02;40123;61594;3143;277795;Índice original;99.55413776;M
2008-02;40123;61595;3143;277795;Índice original;115.69569915;M
2008-03;40123;61592;3143;277795;Índice original;117.74735003;M
2008-03;40123;61593;3143;277795;Índice original;116.65806402;M
2008-03;40123;61594;3143;277795;Índice original;108.3101187;M
2008-03;40123;61595;3143;277795;Índice original;123.12666144;M
2008-04;40123;61592;3143;277795;Índice original;118.51033498;M
2008-04;40123;61593;3143;277795;Índice original;117.82182932;M
2008-04;40123;61594;3143;277795;Índice original;107.45091037;M
2008-04;40123;61595;3143;277795;Índice original;125.85477261;M
2008-05;40123;61592;3143;277795;Índice original;118.71970607;M
2008-05;40123;61593;3143;277795;Índice original;117.2845558;M
2008-05;40123;61594;3143;277795;Índice original;110.07297388;M
2008-05;40123;61595;3143;277795;Índice original;122.87456566;M
2008-06;40123;61592;3143;277795;Índice original;118.73429875;M
2008-06;40123;61593;3143;277795;Índice original;117.28514777;M
2008-06;40123;61594;3143;277795;Índice original;107.86126095;M
2008-06;40123;61595;3143;277795;Índice original;124.58576126;M
2008-07;40123;61592;3143;277795;Índice original;131.47171847;M
2008-07;40123;61593;3143;277795;Índice original;130.59579758;M
2008-07;40123;61594;3143;277795;Índice original;116.75573302;M
2008-07;40123;61595;3143;277795;Índice original;141.3126706;M
2008-08;40123;61592;3143;277795;Índice original;117.83768946;M
2008-08;40123;61593;3143;277795;Índice original;116.60466566;M
2008-08;40123;61594;3143;277795;Índice original;117.17744717;M
2008-08;40123;61595;3143;277795;Índice original;116.17555156;M
2008-09;40123;61592;3143;277795;Índice original;117.6533614;M
2008-09;40123;61593;3143;277795;Índice original;116.83890598;M
