D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPINDOCUPAC_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2010-04;40123;61596;3143;277795;Índice de empleo;106.75101694;M
2010-04;40123;61597;3143;277795;Índice de empleo;106.69130113;M
2010-05;40123;61596;3143;277795;Índice de empleo;106.82500636;M
2010-05;40123;61597;3143;277795;Índice de empleo;106.68919707;M
2010-06;40123;61596;3143;277795;Índice de empleo;107.78669264;M
2010-06;40123;61597;3143;277795;Índice de empleo;107.65033381;M
2010-07;40123;61596;3143;277795;Índice de empleo;108.47244006;M
2010-07;40123;61597;3143;277795;Índice de empleo;108.28406976;M
2010-08;40123;61596;3143;277795;Índice de empleo;108.77790099;M
2010-08;40123;61597;3143;277795;Índice de empleo;108.55979374;M
2010-09;40123;61596;3143;277795;Índice de empleo;107.83881655;M
2010-09;40123;61597;3143;277795;Índice de empleo;107.71231575;M
2010-10;40123;61596;3143;277795;Índice de empleo;107.35783106;M
2010-10;40123;61597;3143;277795;Índice de empleo;107.27958409;M
2010-11;40123;61596;3143;277795;Índice de empleo;108.05968243;M
2010-11;40123;61597;3143;277795;Índice de empleo;108.06822532;M
2010-12;40123;61596;3143;277795;Índice de empleo;108.76356515;M
2010-12;40123;61597;3143;277795;Índice de empleo;108.7787568;M
2011-01;40123;61596;3143;277795;Índice de empleo;106.81403177;M
2011-01;40123;61597;3143;277795;Índice de empleo;106.82784067;M
2011-02;40123;61596;3143;277795;Índice de empleo;105.64711366;M
2011-02;40123;61597;3143;277795;Índice de empleo;105.64866864;M
2011-03;40123;61596;3143;277795;Índice de empleo;105.02853307;M
2011-03;40123;61597;3143;277795;Índice de empleo;105.01612814;M
2011-04;40123;61596;3143;277795;Índice de empleo;106.10945798;M
2011-04;40123;61597;3143;277795;Índice de empleo;106.11139552;M
2011-05;40123;61596;3143;277795;Índice de empleo;105.59728807;M
2011-05;40123;61597;3143;277795;Índice de empleo;105.50924008;M
