TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;463.1819591;A
;;;;ANDALUCES;1879.2885893;A
;;;;ANDALUCES;1005.4151645;A
;;;;ANDALUCES;1368.1239279;A
;;;;ANDALUCES;8959.7716431;A
;;;;ANDALUCES;41182.9741131;A
;;;;ANDALUCES;21579.165492;A
;;;;ANDALUCES;71220.9094589;A
;;;;ANDALUCES;75973.927792;A
;;;;ANDALUCES;13937.6567843;A
;;;;ANDALUCES;71898.5829382;A
;;;;ANDALUCES;35374.5177804;A
;;;;ANDALUCES;50242.349207;A
;;;;ANDALUCES;381410.0835659;A
;;;;ANDALUCES;7619.4971578;A
;;;;ANDALUCES;7502.578571;A
;;;;ANDALUCES;17504.1510452;A
;;;;ANDALUCES;19968.0146174;A
;;;;ANDALUCES;2109.6582356;A
;;;;ANDALUCES;34096.4526336;A
;;;;ANDALUCES;6754.0064138;A
;;;;ANDALUCES;10325.2302914;A
;;;;ANDALUCES;105879.5889658;A
;;;;ANDALUCES;202.869058;A
;;;;ANDALUCES;877.9859941;A
;;;;ANDALUCES;1717.8223961;A
;;;;ANDALUCES;726.1937847;A
;;;;ANDALUCES;1068.9187132;A
;;;;ANDALUCES;874.5058742;A
;;;;ANDALUCES;595.7229435;A
;;;;ANDALUCES;2961.5601547;A
;;;;ANDALUCES;9025.5789185;A
;;;;ANDALUCES;285.1065107;A
;;;;ANDALUCES;1528.7702394;A
;;;;ANDALUCES;625.0491392;A
;;;;ANDALUCES;532.0422914;A
;;;;ANDALUCES;353.7288396;A
;;;;ANDALUCES;634.3654796;A
;;;;ANDALUCES;607.3487073;A
;;;;ANDALUCES;796.7816823;A
;;;;ANDALUCES;5363.1928895;A
;;;;ANDALUCES;4738.992457;A
;;;;ANDALUCES;12590.940198;A
;;;;ANDALUCES;30167.1705889;A
;;;;ANDALUCES;12068.384295;A
;;;;ANDALUCES;5417.1635023;A
;;;;ANDALUCES;42622.031916;A
;;;;ANDALUCES;10850.1226055;A
;;;;ANDALUCES;17401.5811712;A
;;;;ANDALUCES;135856.3867339;A
;;;;ANDALUCES;5171.8775481;A
;;;;ANDALUCES;1216.9885852;A
;;;;ANDALUCES;1305.9916114;A
;;;;ANDALUCES;4901.9108112;A
;;;;ANDALUCES;247.9954587;A
;;;;ANDALUCES;3300.9937697;A
;;;;ANDALUCES;888.97164;A
;;;;ANDALUCES;1213.9568371;A
;;;;ANDALUCES;18248.6862614;A
;;;;ANDALUCES;239.9928944;A
;;;;ANDALUCES;638.7484081;A
;;;;ANDALUCES;663.6653054;A
;;;;ANDALUCES;770.1570121;A
;;;;ANDALUCES;139.7700913;A
;;;;ANDALUCES;3537.3190151;A
;;;;ANDALUCES;540.3365407;A
;;;;ANDALUCES;470.7822349;A
;;;;ANDALUCES;7000.771502;A
;;;;ANDALUCES;471.7974769;A
;;;;ANDALUCES;1912.8813802;A
;;;;ANDALUCES;3655.4852284;A
;;;;ANDALUCES;2983.7949366;A
;;;;ANDALUCES;1222.8784679;A
;;;;ANDALUCES;5081.4165307;A
;;;;ANDALUCES;4299.0491199;A
;;;;ANDALUCES;2095.4764056;A
;;;;ANDALUCES;21722.7795462;A
;;3529;;ANDALUCES;66.0088821;A
;;3529;;ANDALUCES;215.2582793;A
;;3529;;ANDALUCES;260.6875632;A
;;3529;;ANDALUCES;236.5757718;A
;;3529;;ANDALUCES;66.7938443;A
;;3529;;ANDALUCES;551.781657;A
;;3529;;ANDALUCES;216.5433192;A
;;3529;;ANDALUCES;315.6935553;A
;;3529;;ANDALUCES;1929.3428722;A
;;;;ANDALUCES;766.9946808;A
;;;;ANDALUCES;1954.9255312;A
;;;;ANDALUCES;485.9880318;A
;;;;ANDALUCES;921.9587762;A
;;;;ANDALUCES;180.993351;A
;;;;ANDALUCES;340.993351;A
;;;;ANDALUCES;2171.9654252;A
;;;;ANDALUCES;777.9627656;A
;;;;ANDALUCES;7601.7819128;A
;;;;ANDALUCES;65287.6235898;A
;;;;ANDALUCES;63004.2724781;A
;;;;ANDALUCES;145065.805583;A
