TEMPORAL;TERRITORIO;ARE_INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;;ANDALUCES;21532.0;A
;;;;;ANDALUCES;358.0;A
;;;;;ANDALUCES;747.0;A
;;;;;ANDALUCES;346.0;A
;;;;;ANDALUCES;642.0;A
;;;;;ANDALUCES;192.0;A
;;;;;ANDALUCES;278.0;A
;;;;;ANDALUCES;852.0;A
;;;;;ANDALUCES;923.0;A
;;;;;ANDALUCES;4338.0;A
;;;;;ANDALUCES;739.0;A
;;;;;ANDALUCES;5977.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;11056.0;A
;;;;;ANDALUCES;295.0;A
;;;;;ANDALUCES;624.0;A
;;;;;ANDALUCES;309.0;A
;;;;;ANDALUCES;535.0;A
;;;;;ANDALUCES;155.0;A
;;;;;ANDALUCES;260.0;A
;;;;;ANDALUCES;828.0;A
;;;;;ANDALUCES;813.0;A
;;;;;ANDALUCES;3819.0;A
;;;;;ANDALUCES;593.0;A
;;;;;ANDALUCES;6063.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;10476.0;A
;;;;;ANDALUCES;115.0;A
;;;;;ANDALUCES;251.0;A
;;;;;ANDALUCES;163.0;A
;;;;;ANDALUCES;219.0;A
;;;;;ANDALUCES;49.0;A
;;;;;ANDALUCES;159.0;A
;;;;;ANDALUCES;179.0;A
;;;;;ANDALUCES;235.0;A
;;;;;ANDALUCES;1370.0;A
;;;;;ANDALUCES;1370.0;A
;;;;;ANDALUCES;65.0;A
;;;;;ANDALUCES;130.0;A
;;;;;ANDALUCES;102.0;A
;;;;;ANDALUCES;125.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;94.0;A
;;;;;ANDALUCES;93.0;A
;;;;;ANDALUCES;145.0;A
;;;;;ANDALUCES;781.0;A
;;;;;ANDALUCES;781.0;A
;;;;;ANDALUCES;50.0;A
;;;;;ANDALUCES;121.0;A
;;;;;ANDALUCES;61.0;A
;;;;;ANDALUCES;94.0;A
;;;;;ANDALUCES;22.0;A
;;;;;ANDALUCES;65.0;A
;;;;;ANDALUCES;86.0;A
;;;;;ANDALUCES;90.0;A
;;;;;ANDALUCES;589.0;A
;;;;;ANDALUCES;589.0;A
;;;;;ANDALUCES;768.0;A
;;;;;ANDALUCES;1622.0;A
;;;;;ANDALUCES;818.0;A
;;;;;ANDALUCES;1396.0;A
;;;;;ANDALUCES;396.0;A
;;;;;ANDALUCES;697.0;A
;;;;;ANDALUCES;1859.0;A
;;;;;ANDALUCES;1971.0;A
;;;;;ANDALUCES;9527.0;A
;;;;;ANDALUCES;1332.0;A
;;;;;ANDALUCES;12040.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;22902.0;A
;;;;;ANDALUCES;423.0;A
;;;;;ANDALUCES;877.0;A
;;;;;ANDALUCES;448.0;A
;;;;;ANDALUCES;767.0;A
;;;;;ANDALUCES;219.0;A
;;;;;ANDALUCES;372.0;A
;;;;;ANDALUCES;945.0;A
;;;;;ANDALUCES;1068.0;A
;;;;;ANDALUCES;5119.0;A
;;;;;ANDALUCES;739.0;A
;;;;;ANDALUCES;5977.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;11837.0;A
;;;;;ANDALUCES;345.0;A
;;;;;ANDALUCES;745.0;A
;;;;;ANDALUCES;370.0;A
;;;;;ANDALUCES;629.0;A
;;;;;ANDALUCES;177.0;A
;;;;;ANDALUCES;325.0;A
;;;;;ANDALUCES;914.0;A
;;;;;ANDALUCES;903.0;A
;;;;;ANDALUCES;4408.0;A
;;;;;ANDALUCES;593.0;A
;;;;;ANDALUCES;6063.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;11065.0;A
;;;;;ANDALUCES;578.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;626.0;A
;;;;;ANDALUCES;90.0;A
;;;;;ANDALUCES;1831.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2548.0;A
;;;;;ANDALUCES;294.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;18.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;322.0;A
