TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;9816.2417349;A
;;;;ANDALUCES;10306.4340517;A
;;;;ANDALUCES;1893.7469982;A
;;;;ANDALUCES;12420.6319358;A
;;;;ANDALUCES;4506.0140315;A
;;;;ANDALUCES;8655.1133649;A
;;;;ANDALUCES;56979.1517458;A
;;;;ANDALUCES;3091.9810536;A
;;;;ANDALUCES;6110.112775;A
;;;;ANDALUCES;9402.5375923;A
;;;;ANDALUCES;10477.8116808;A
;;;;ANDALUCES;2009.7960962;A
;;;;ANDALUCES;12418.5492424;A
;;;;ANDALUCES;4334.0253683;A
;;;;ANDALUCES;8526.4281322;A
;;;;ANDALUCES;56371.2419408;A
;;;;ANDALUCES;9354.4507751;A
;;;;ANDALUCES;13866.8674926;A
;;;;ANDALUCES;28081.8374078;A
;;;;ANDALUCES;29905.4135318;A
;;;;ANDALUCES;5824.7142461;A
;;;;ANDALUCES;35373.491434;A
;;;;ANDALUCES;11224.0906693;A
;;;;ANDALUCES;22104.1060382;A
;;;;ANDALUCES;155734.9715949;A
;;;;ANDALUCES;4569.3240616;A
;;;;ANDALUCES;6789.7855291;A
;;;;ANDALUCES;13900.6914497;A
;;;;ANDALUCES;14900.6254033;A
;;;;ANDALUCES;2797.6588758;A
;;;;ANDALUCES;17392.2409165;A
;;;;ANDALUCES;5664.4056314;A
;;;;ANDALUCES;10860.7919391;A
;;;;ANDALUCES;76875.5238065;A
;;;;ANDALUCES;4785.1267135;A
;;;;ANDALUCES;7077.0819635;A
;;;;ANDALUCES;14181.1459581;A
;;;;ANDALUCES;15004.7881285;A
;;;;ANDALUCES;3027.0553703;A
;;;;ANDALUCES;17981.2505175;A
;;;;ANDALUCES;5559.6850379;A
;;;;ANDALUCES;11243.3140991;A
;;;;ANDALUCES;78859.4477884;A
;;;;ANDALUCES;11958.7282283;A
;;;;ANDALUCES;14119.4601559;A
;;;;ANDALUCES;33058.0766767;A
;;;;ANDALUCES;33585.6999576;A
;;;;ANDALUCES;6972.1269036;A
;;;;ANDALUCES;41064.3149178;A
;;;;ANDALUCES;13906.2861857;A
;;;;ANDALUCES;24104.5300493;A
;;;;ANDALUCES;178769.2230749;A
;;;;ANDALUCES;5897.5082365;A
;;;;ANDALUCES;6971.8319257;A
;;;;ANDALUCES;16180.0123714;A
;;;;ANDALUCES;16663.3985916;A
;;;;ANDALUCES;3485.6904073;A
;;;;ANDALUCES;20625.8439177;A
