TEMPORAL;LUGARNACIMIEN;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;3976.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;87.0;A
;;;;ANDALUCES;71.0;A
;;;;ANDALUCES;4200.0;A
;;;;ANDALUCES;804.0;A
;;;;ANDALUCES;5004.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;3966.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;104.0;A
;;;;ANDALUCES;62.0;A
;;;;ANDALUCES;4204.0;A
;;;;ANDALUCES;905.0;A
;;;;ANDALUCES;5109.0;A
;;;;ANDALUCES;123.0;A
;;;;ANDALUCES;61.0;A
;;;;ANDALUCES;44.0;A
;;;;ANDALUCES;14478.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;49.0;A
;;;;ANDALUCES;194.0;A
;;;;ANDALUCES;79.0;A
;;;;ANDALUCES;15033.0;A
;;;;ANDALUCES;1750.0;A
;;;;ANDALUCES;16783.0;A
;;;;ANDALUCES;64.0;A
;;;;ANDALUCES;30.0;A
;;;;ANDALUCES;19.0;A
;;;;ANDALUCES;7092.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;39.0;A
;;;;ANDALUCES;7350.0;A
;;;;ANDALUCES;892.0;A
;;;;ANDALUCES;8242.0;A
;;;;ANDALUCES;59.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;25.0;A
;;;;ANDALUCES;7386.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;109.0;A
;;;;ANDALUCES;40.0;A
;;;;ANDALUCES;7683.0;A
;;;;ANDALUCES;858.0;A
;;;;ANDALUCES;8541.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;2694.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;150.0;A
;;;;ANDALUCES;2915.0;A
;;;;ANDALUCES;426.0;A
;;;;ANDALUCES;3341.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;1338.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;64.0;A
;;;;ANDALUCES;1433.0;A
;;;;ANDALUCES;216.0;A
;;;;ANDALUCES;1649.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;1356.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;86.0;A
;;;;ANDALUCES;1482.0;A
;;;;ANDALUCES;210.0;A
