TEMPORAL;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;32.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;10452.0;A
;;;;ANDALUCES;523.0;A
;;;;ANDALUCES;17002.0;A
;;;;ANDALUCES;357.0;A
;;;;ANDALUCES;28334.0;A
;;;;ANDALUCES;4893.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;64.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;5016.0;A
;;;;ANDALUCES;267.0;A
;;;;ANDALUCES;8152.0;A
;;;;ANDALUCES;188.0;A
;;;;ANDALUCES;13623.0;A
;;;;ANDALUCES;5325.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;59.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;5436.0;A
;;;;ANDALUCES;256.0;A
;;;;ANDALUCES;8850.0;A
;;;;ANDALUCES;169.0;A
;;;;ANDALUCES;14711.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;10441.0;A
;;;;ANDALUCES;44.0;A
;;;;ANDALUCES;61.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;32.0;A
;;;;ANDALUCES;172.0;A
;;;;ANDALUCES;230.0;A
;;;;ANDALUCES;11022.0;A
;;;;ANDALUCES;821.0;A
;;;;ANDALUCES;10669.0;A
;;;;ANDALUCES;263.0;A
;;;;ANDALUCES;22775.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;4947.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;30.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;87.0;A
;;;;ANDALUCES;99.0;A
;;;;ANDALUCES;5213.0;A
;;;;ANDALUCES;390.0;A
;;;;ANDALUCES;5342.0;A
;;;;ANDALUCES;142.0;A
;;;;ANDALUCES;11087.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;5494.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;131.0;A
;;;;ANDALUCES;5809.0;A
;;;;ANDALUCES;431.0;A
;;;;ANDALUCES;5327.0;A
;;;;ANDALUCES;121.0;A
;;;;ANDALUCES;11688.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;7942.0;A
;;;;ANDALUCES;44.0;A
;;;;ANDALUCES;11.0;A
