TEMPORAL;TERRITORIO;CUSTODIA;INDICATOR;OBS_VALUE;FREQ
2016;11;00;DIVORCIOS;2275.825;A
2016;11;1;DIVORCIOS;55.181;A
2016;11;2;DIVORCIOS;1133.5754;A
2016;11;3;DIVORCIOS;175.0026;A
2016;11;4;DIVORCIOS;3.1532;A
2016;11;NP;DIVORCIOS;908.9128;A
2016;14;00;DIVORCIOS;1473.292;A
2016;14;1;DIVORCIOS;36.5372;A
2016;14;2;DIVORCIOS;567.6315;A
2016;14;3;DIVORCIOS;259.6751;A
2016;14;4;DIVORCIOS;2.6098;A
2016;14;NP;DIVORCIOS;606.8384;A
2016;18;00;DIVORCIOS;1937.4432;A
2016;18;1;DIVORCIOS;38.0336;A
2016;18;2;DIVORCIOS;784.8752;A
2016;18;3;DIVORCIOS;179.7952;A
2016;18;4;DIVORCIOS;6.9152;A
2016;18;NP;DIVORCIOS;927.824;A
2016;21;00;DIVORCIOS;1053.5608;A
2016;21;1;DIVORCIOS;29.3964;A
2016;21;2;DIVORCIOS;504.9264;A
2016;21;3;DIVORCIOS;91.6476;A
2016;21;4;DIVORCIOS;6.9168;A
2016;21;NP;DIVORCIOS;420.6736;A
2016;23;00;DIVORCIOS;1120.7404;A
2016;23;1;DIVORCIOS;20.9272;A
2016;23;2;DIVORCIOS;469.3672;A
2016;23;3;DIVORCIOS;100.1516;A
2016;23;4;DIVORCIOS;1.4948;A
2016;23;NP;DIVORCIOS;528.7996;A
2016;29;00;DIVORCIOS;3657.8326;A
2016;29;1;DIVORCIOS;78.0312;A
2016;29;2;DIVORCIOS;1484.0934;A
2016;29;3;DIVORCIOS;285.114;A
2016;29;4;DIVORCIOS;12.0048;A
2016;29;NP;DIVORCIOS;1798.5892;A
2016;41;00;DIVORCIOS;4023.9932;A
2016;41;1;DIVORCIOS;100.7994;A
2016;41;2;DIVORCIOS;1795.0047;A
2016;41;3;DIVORCIOS;414.8283;A
2016;41;4;DIVORCIOS;3.8769;A
2016;41;NP;DIVORCIOS;1709.4839;A
