TEMPORAL;TERRITORIO;NACIONACONYUGES;INDICATOR;OBS_VALUE;FREQ
2019;41;22;DIVORCIOS;257.13233;A
2019;41;20;DIVORCIOS;185.90416;A
2019;41;2;DIVORCIOS;104.01196;A
2019;41;3;DIVORCIOS;81.8922;A
2019;41;30;DIVORCIOS;71.22817;A
2019;41;4;DIVORCIOS;55.06982;A
2019;41;5;DIVORCIOS;16.15835;A
2018;C01;00;DIVORCIOS;16934.828;A
2018;C01;11;DIVORCIOS;15157.9698;A
2018;C01;10;DIVORCIOS;15157.9698;A
2018;C01;1;DIVORCIOS;15157.9698;A
2018;C01;22;DIVORCIOS;1776.8582;A
2018;C01;20;DIVORCIOS;1213.5974;A
2018;C01;2;DIVORCIOS;612.1401;A
2018;C01;3;DIVORCIOS;601.4573;A
2018;C01;30;DIVORCIOS;563.2608;A
2018;C01;4;DIVORCIOS;385.7729;A
2018;C01;5;DIVORCIOS;177.4879;A
2018;04;00;DIVORCIOS;1456.1395;A
2018;04;11;DIVORCIOS;1158.9961;A
2018;04;10;DIVORCIOS;1158.9961;A
2018;04;1;DIVORCIOS;1158.9961;A
2018;04;22;DIVORCIOS;297.1434;A
2018;04;20;DIVORCIOS;173.1565;A
2018;04;2;DIVORCIOS;118.1505;A
2018;04;3;DIVORCIOS;55.006;A
2018;04;30;DIVORCIOS;123.9869;A
2018;04;4;DIVORCIOS;82.8448;A
2018;04;5;DIVORCIOS;41.1421;A
2018;11;00;DIVORCIOS;2490.3415;A
2018;11;11;DIVORCIOS;2355.8524;A
2018;11;10;DIVORCIOS;2355.8524;A
2018;11;1;DIVORCIOS;2355.8524;A
2018;11;22;DIVORCIOS;134.4891;A
2018;11;20;DIVORCIOS;93.4413;A
2018;11;2;DIVORCIOS;38.7506;A
2018;11;3;DIVORCIOS;54.6907;A
2018;11;30;DIVORCIOS;41.0478;A
2018;11;4;DIVORCIOS;30.6125;A
2018;11;5;DIVORCIOS;10.4353;A
2018;14;00;DIVORCIOS;1405.7198;A
2018;14;11;DIVORCIOS;1358.376;A
2018;14;10;DIVORCIOS;1358.376;A
2018;14;1;DIVORCIOS;1358.376;A
2018;14;22;DIVORCIOS;47.3438;A
2018;14;20;DIVORCIOS;31.1252;A
2018;14;2;DIVORCIOS;23.2532;A
2018;14;3;DIVORCIOS;7.872;A
2018;14;30;DIVORCIOS;16.2186;A
2018;14;4;DIVORCIOS;14.9066;A
2018;14;5;DIVORCIOS;1.312;A
2018;18;00;DIVORCIOS;1684.5826;A
2018;18;11;DIVORCIOS;1518.3562;A
2018;18;10;DIVORCIOS;1518.3562;A
2018;18;1;DIVORCIOS;1518.3562;A
2018;18;22;DIVORCIOS;166.2264;A
2018;18;20;DIVORCIOS;119.0099;A
2018;18;2;DIVORCIOS;69.0555;A
