TEMPORAL;TERRITORIO;TIPOMATRIMONIO;INDICATOR;OBS_VALUE;FREQ
2016;29;00;DIVORCIOS;3657.8326;A
2016;29;1;DIVORCIOS;3607.32;A
2016;29;23;DIVORCIOS;50.5126;A
2016;29;2;DIVORCIOS;35.5078;A
2016;29;3;DIVORCIOS;15.0048;A
2016;41;00;DIVORCIOS;4023.9932;A
2016;41;1;DIVORCIOS;3979.7318;A
2016;41;23;DIVORCIOS;44.2614;A
2016;41;2;DIVORCIOS;25.3384;A
2016;41;3;DIVORCIOS;18.923;A
2015;C01;00;DIVORCIOS;17029.5907;A
2015;C01;1;DIVORCIOS;16912.0991;A
2015;C01;23;DIVORCIOS;117.4916;A
2015;C01;2;DIVORCIOS;55.0451;A
2015;C01;3;DIVORCIOS;62.4465;A
2015;04;00;DIVORCIOS;1398.5163;A
2015;04;1;DIVORCIOS;1392.2019;A
2015;04;23;DIVORCIOS;6.3144;A
2015;04;2;DIVORCIOS;3.1572;A
2015;04;3;DIVORCIOS;3.1572;A
2015;11;00;DIVORCIOS;2355.5567;A
2015;11;1;DIVORCIOS;2334.0279;A
2015;11;23;DIVORCIOS;21.5288;A
2015;11;2;DIVORCIOS;9.5628;A
2015;11;3;DIVORCIOS;11.966;A
2015;14;00;DIVORCIOS;1621.987;A
2015;14;1;DIVORCIOS;1617.5185;A
2015;14;23;DIVORCIOS;4.4685;A
2015;14;2;DIVORCIOS;1.4895;A
2015;14;3;DIVORCIOS;2.979;A
2015;18;00;DIVORCIOS;1864.9266;A
2015;18;1;DIVORCIOS;1854.6126;A
2015;18;23;DIVORCIOS;10.314;A
2015;18;2;DIVORCIOS;1.719;A
2015;18;3;DIVORCIOS;8.595;A
2015;21;00;DIVORCIOS;1022.9657;A
2015;21;1;DIVORCIOS;1011.7548;A
2015;21;23;DIVORCIOS;11.2109;A
2015;21;2;DIVORCIOS;6.7532;A
2015;21;3;DIVORCIOS;4.4577;A
2015;23;00;DIVORCIOS;1197.5493;A
2015;23;1;DIVORCIOS;1192.992;A
