TEMPORAL;TERRITORIO;NUMHIJOSMENORED;INDICATOR;OBS_VALUE;FREQ
2017;18;000;DIVORCIOS;1990.6668;A
2017;18;0;DIVORCIOS;912.5348;A
2017;18;1;DIVORCIOS;465.5112;A
2017;18;2;DIVORCIOS;519.9216;A
2017;18;3;DIVORCIOS;84.6384;A
2017;18;4;DIVORCIOS;6.0456;A
2017;18;05MAS;DIVORCIOS;2.0152;A
2017;21;000;DIVORCIOS;1060.4795;A
2017;21;0;DIVORCIOS;458.3163;A
2017;21;1;DIVORCIOS;301.0816;A
2017;21;2;DIVORCIOS;269.3888;A
2017;21;3;DIVORCIOS;29.712;A
2017;21;4;DIVORCIOS;1.9808;A
2017;23;000;DIVORCIOS;1127.8821;A
2017;23;0;DIVORCIOS;616.0821;A
2017;23;1;DIVORCIOS;247.7112;A
2017;23;2;DIVORCIOS;229.2864;A
2017;23;3;DIVORCIOS;32.7552;A
2017;23;4;DIVORCIOS;2.0472;A
2017;29;000;DIVORCIOS;3652.1307;A
2017;29;0;DIVORCIOS;1827.8925;A
2017;29;1;DIVORCIOS;909.6954;A
2017;29;2;DIVORCIOS;783.663;A
2017;29;3;DIVORCIOS;116.3376;A
2017;29;4;DIVORCIOS;14.5422;A
2017;41;000;DIVORCIOS;4318.3766;A
2017;41;0;DIVORCIOS;1853.8981;A
2017;41;1;DIVORCIOS;1171.074;A
2017;41;2;DIVORCIOS;1127.09;A
2017;41;3;DIVORCIOS;149.8205;A
2017;41;4;DIVORCIOS;15.1195;A
2017;41;05MAS;DIVORCIOS;1.3745;A
2016;C01;000;DIVORCIOS;16968.2676;A
2016;C01;0;DIVORCIOS;7577.9682;A
2016;C01;1;DIVORCIOS;4777.3752;A
2016;C01;2;DIVORCIOS;4003.6689;A
2016;C01;3;DIVORCIOS;554.4398;A
2016;C01;4;DIVORCIOS;46.2014;A
2016;C01;05MAS;DIVORCIOS;8.6141;A
2016;04;000;DIVORCIOS;1425.5804;A
2016;04;0;DIVORCIOS;676.8467;A
2016;04;1;DIVORCIOS;387.0009;A
2016;04;2;DIVORCIOS;316.5162;A
2016;04;3;DIVORCIOS;43.8867;A
2016;04;4;DIVORCIOS;1.3299;A
2016;11;000;DIVORCIOS;2275.825;A
2016;11;0;DIVORCIOS;908.9128;A
2016;11;1;DIVORCIOS;733.119;A
2016;11;2;DIVORCIOS;550.2334;A
2016;11;3;DIVORCIOS;77.2534;A
2016;11;4;DIVORCIOS;6.3064;A
2016;14;000;DIVORCIOS;1473.292;A
2016;14;0;DIVORCIOS;606.8384;A
2016;14;1;DIVORCIOS;444.9709;A
2016;14;2;DIVORCIOS;388.8602;A
2016;14;3;DIVORCIOS;27.4029;A
2016;14;4;DIVORCIOS;3.9147;A
2016;14;05MAS;DIVORCIOS;1.3049;A
2016;18;000;DIVORCIOS;1937.4432;A
2016;18;0;DIVORCIOS;927.824;A
2016;18;1;DIVORCIOS;463.3184;A
2016;18;2;DIVORCIOS;463.3184;A
2016;18;3;DIVORCIOS;76.0672;A
2016;18;4;DIVORCIOS;6.9152;A
2016;21;000;DIVORCIOS;1053.5608;A
2016;21;0;DIVORCIOS;420.6736;A
2016;21;1;DIVORCIOS;332.0064;A
2016;21;2;DIVORCIOS;264.5676;A
2016;21;3;DIVORCIOS;32.8548;A
2016;21;4;DIVORCIOS;1.7292;A
2016;21;05MAS;DIVORCIOS;1.7292;A
2016;23;000;DIVORCIOS;1120.7404;A
2016;23;0;DIVORCIOS;528.7996;A
2016;23;1;DIVORCIOS;287.0016;A
2016;23;2;DIVORCIOS;261.59;A
2016;23;3;DIVORCIOS;40.3596;A
2016;23;4;DIVORCIOS;1.4948;A
2016;23;05MAS;DIVORCIOS;1.4948;A
2016;29;000;DIVORCIOS;3657.8326;A
2016;29;0;DIVORCIOS;1798.5892;A
2016;29;1;DIVORCIOS;951.3804;A
2016;29;2;DIVORCIOS;780.312;A
2016;29;3;DIVORCIOS;117.0468;A
2016;29;4;DIVORCIOS;9.0036;A
2016;29;05MAS;DIVORCIOS;1.5006;A
2016;41;000;DIVORCIOS;4023.9932;A
2016;41;0;DIVORCIOS;1709.4839;A
2016;41;1;DIVORCIOS;1178.5776;A
2016;41;2;DIVORCIOS;978.2711;A
2016;41;3;DIVORCIOS;139.5684;A
2016;41;4;DIVORCIOS;15.5076;A
2016;41;05MAS;DIVORCIOS;2.5846;A
2015;C01;000;DIVORCIOS;17029.5907;A
2015;C01;0;DIVORCIOS;7637.8795;A
2015;C01;1;DIVORCIOS;4781.808;A
2015;C01;2;DIVORCIOS;4063.8332;A
2015;C01;3;DIVORCIOS;495.7448;A
2015;C01;4;DIVORCIOS;42.8632;A
2015;C01;05MAS;DIVORCIOS;7.462;A
2015;04;000;DIVORCIOS;1398.5163;A
2015;04;0;DIVORCIOS;681.8319;A
2015;04;1;DIVORCIOS;369.3924;A
2015;04;2;DIVORCIOS;306.2484;A
2015;04;3;DIVORCIOS;34.7292;A
2015;04;4;DIVORCIOS;4.7358;A
2015;04;05MAS;DIVORCIOS;1.5786;A
2015;11;000;DIVORCIOS;2355.5567;A
2015;11;0;DIVORCIOS;999.2329;A
2015;11;1;DIVORCIOS;734.7418;A
2015;11;2;DIVORCIOS;533.923;A
2015;11;3;DIVORCIOS;84.4714;A
2015;11;4;DIVORCIOS;3.1876;A
2015;14;000;DIVORCIOS;1621.987;A
2015;14;0;DIVORCIOS;674.665;A
2015;14;1;DIVORCIOS;430.4655;A
2015;14;2;DIVORCIOS;475.1505;A
2015;14;3;DIVORCIOS;37.2375;A
2015;14;4;DIVORCIOS;4.4685;A
2015;18;000;DIVORCIOS;1864.9266;A
2015;18;0;DIVORCIOS;842.1216;A
2015;18;1;DIVORCIOS;488.196;A
2015;18;2;DIVORCIOS;462.411;A
