TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;04;025029;040044;DIVORCIOS;5.18992;A
2020;04;030034;00;DIVORCIOS;107.73684;A
2020;04;030034;025029;DIVORCIOS;5.18992;A
2020;04;030034;030034;DIVORCIOS;59.8129;A
2020;04;030034;035039;DIVORCIOS;29.29912;A
2020;04;030034;040044;DIVORCIOS;13.4349;A
2020;04;035039;00;DIVORCIOS;165.70934;A
2020;04;035039;025029;DIVORCIOS;3.05506;A
2020;04;035039;030034;DIVORCIOS;43.02848;A
2020;04;035039;035039;DIVORCIOS;77.81198;A
2020;04;035039;040044;DIVORCIOS;27.45872;A
2020;04;035039;045049;DIVORCIOS;8.24498;A
2020;04;035039;050054;DIVORCIOS;3.05506;A
2020;04;035039;055059;DIVORCIOS;3.05506;A
2020;04;040044;00;DIVORCIOS;271.23768;A
2020;04;040044;025029;DIVORCIOS;5.18992;A
2020;04;040044;030034;DIVORCIOS;27.45872;A
2020;04;040044;035039;DIVORCIOS;70.15592;A
2020;04;040044;040044;DIVORCIOS;126.6193;A
2020;04;040044;045049;DIVORCIOS;31.43398;A
2020;04;040044;050054;DIVORCIOS;8.24498;A
2020;04;040044;055059;DIVORCIOS;2.13486;A
2020;04;045049;00;DIVORCIOS;240.39262;A
2020;04;045049;030034;DIVORCIOS;7.32478;A
2020;04;045049;035039;DIVORCIOS;31.72844;A
2020;04;045049;040044;DIVORCIOS;72.29078;A
2020;04;045049;045049;DIVORCIOS;106.77982;A
2020;04;045049;050054;DIVORCIOS;15.86422;A
2020;04;045049;055059;DIVORCIOS;4.26972;A
2020;04;045049;060064;DIVORCIOS;2.13486;A
2020;04;050054;00;DIVORCIOS;197.76906;A
2020;04;050054;030034;DIVORCIOS;6.40458;A
2020;04;050054;035039;DIVORCIOS;2.13486;A
2020;04;050054;040044;DIVORCIOS;17.07888;A
2020;04;050054;045049;DIVORCIOS;83.62764;A
2020;04;050054;050054;DIVORCIOS;74.79374;A
2020;04;050054;055059;DIVORCIOS;9.45964;A
2020;04;050054;060064;DIVORCIOS;4.26972;A
2020;04;055059;00;DIVORCIOS;120.58282;A
2020;04;055059;040044;DIVORCIOS;3.05506;A
2020;04;055059;045049;DIVORCIOS;17.99908;A
2020;04;055059;050054;DIVORCIOS;46.08354;A
2020;04;055059;055059;DIVORCIOS;44.27996;A
2020;04;055059;060064;DIVORCIOS;9.16518;A
2020;04;060064;00;DIVORCIOS;97.39382;A
2020;04;060064;045049;DIVORCIOS;9.45964;A
2020;04;060064;050054;DIVORCIOS;30.21932;A
2020;04;060064;055059;DIVORCIOS;42.1451;A
2020;04;060064;060064;DIVORCIOS;12.5147;A
2020;04;060064;065069;DIVORCIOS;3.05506;A
2020;04;065069;00;DIVORCIOS;31.76526;A
2020;04;065069;040044;DIVORCIOS;2.13486;A
2020;04;065069;055059;DIVORCIOS;6.11012;A
2020;04;065069;060064;DIVORCIOS;2.13486;A
2020;04;065069;065069;DIVORCIOS;21.38542;A
