D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
131;2019;Doctorados STEM. Hombres;0.8;A
131;2020;Doctorados STEM. Hombres;0.7;A
125;2013;Doctorados STEM. Hombres;1.7;A
125;2014;Doctorados STEM. Hombres;1.6;A
125;2015;Doctorados STEM. Hombres;0.9;A
125;2016;Doctorados STEM. Hombres;0.9;A
125;2017;Doctorados STEM. Hombres;0.9;A
125;2018;Doctorados STEM. Hombres;1.0;A
125;2019;Doctorados STEM. Hombres;1.0;A
125;2020;Doctorados STEM. Hombres;;A
114;2013;Doctorados STEM. Hombres;0.6;A
114;2014;Doctorados STEM. Hombres;0.6;A
114;2015;Doctorados STEM. Hombres;0.5;A
114;2016;Doctorados STEM. Hombres;0.3;A
114;2017;Doctorados STEM. Hombres;0.3;A
114;2018;Doctorados STEM. Hombres;0.3;A
114;2019;Doctorados STEM. Hombres;0.4;A
114;2020;Doctorados STEM. Hombres;0.3;A
116;2013;Doctorados STEM. Hombres;0.4;A
116;2014;Doctorados STEM. Hombres;0.0;A
116;2015;Doctorados STEM. Hombres;0.0;A
116;2016;Doctorados STEM. Hombres;0.0;A
116;2017;Doctorados STEM. Hombres;0.0;A
116;2018;Doctorados STEM. Hombres;0.0;A
116;2019;Doctorados STEM. Hombres;0.0;A
116;2020;Doctorados STEM. Hombres;0.2;A
120;2013;Doctorados STEM. Hombres;1.2;A
120;2014;Doctorados STEM. Hombres;1.1;A
120;2015;Doctorados STEM. Hombres;0.5;A
120;2016;Doctorados STEM. Hombres;0.5;A
120;2017;Doctorados STEM. Hombres;0.5;A
120;2018;Doctorados STEM. Hombres;0.5;A
120;2019;Doctorados STEM. Hombres;0.6;A
120;2020;Doctorados STEM. Hombres;0.5;A
132;2013;Doctorados STEM. Hombres;1.9;A
132;2014;Doctorados STEM. Hombres;2.1;A
132;2015;Doctorados STEM. Hombres;1.1;A
132;2016;Doctorados STEM. Hombres;1.1;A
132;2017;Doctorados STEM. Hombres;1.1;A
132;2018;Doctorados STEM. Hombres;1.1;A
132;2019;Doctorados STEM. Hombres;1.1;A
132;2020;Doctorados STEM. Hombres;1.1;A
156;2013;Doctorados STEM. Hombres;0.2;A
156;2014;Doctorados STEM. Hombres;0.2;A
156;2015;Doctorados STEM. Hombres;0.1;A
156;2016;Doctorados STEM. Hombres;0.1;A
156;2017;Doctorados STEM. Hombres;0.0;A
156;2018;Doctorados STEM. Hombres;0.1;A
156;2019;Doctorados STEM. Hombres;0.1;A
156;2020;Doctorados STEM. Hombres;0.0;A
157;2013;Doctorados STEM. Hombres;;A
157;2014;Doctorados STEM. Hombres;0.4;A
157;2015;Doctorados STEM. Hombres;0.2;A
157;2016;Doctorados STEM. Hombres;0.2;A
157;2017;Doctorados STEM. Hombres;0.3;A
157;2018;Doctorados STEM. Hombres;0.2;A
157;2019;Doctorados STEM. Hombres;0.2;A
157;2020;Doctorados STEM. Hombres;0.2;A
436;2013;Doctorados STEM. Hombres;;A
436;2014;Doctorados STEM. Hombres;;A
436;2015;Doctorados STEM. Hombres;0.1;A
436;2016;Doctorados STEM. Hombres;0.1;A
436;2017;Doctorados STEM. Hombres;0.1;A
436;2018;Doctorados STEM. Hombres;0.1;A
436;2019;Doctorados STEM. Hombres;0.1;A
436;2020;Doctorados STEM. Hombres;0.1;A
C01;2013;estado Doctorados STEM. Hombres;;A
C01;2014;estado Doctorados STEM. Hombres;;A
