TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
107;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.7;A
107;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.4;A
107;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.7;A
107;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.9;A
107;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.1;A
107;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.2;A
107;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.4;A
107;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.9;A
107;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.3;A
107;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.2;A
126;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.9;A
126;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.2;A
126;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.4;A
126;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.4;A
126;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.3;A
126;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.7;A
126;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.6;A
126;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.6;A
126;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.8;A
126;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.8;A
126;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.8;A
126;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.0;A
126;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.1;A
126;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.6;A
141;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.5;A
141;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.4;A
141;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.8;A
