D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2018;23;3;Divorcios;21.9147;A
2018;23;30;Divorcios;6.9279;A
2018;23;4;Divorcios;6.9279;A
2018;29;00;Divorcios;3718.358;A
2018;29;11;Divorcios;2958.0385;A
2018;29;10;Divorcios;2958.0385;A
2018;29;1;Divorcios;2958.0385;A
2018;29;22;Divorcios;760.3195;A
2018;29;20;Divorcios;507.8219;A
2018;29;2;Divorcios;211.8609;A
2018;29;3;Divorcios;295.961;A
2018;29;30;Divorcios;252.4976;A
2018;29;4;Divorcios;152.2384;A
2018;29;5;Divorcios;100.2592;A
2018;41;00;Divorcios;4085.2617;A
2018;41;11;Divorcios;3845.8833;A
2018;41;10;Divorcios;3845.8833;A
2018;41;1;Divorcios;3845.8833;A
2018;41;22;Divorcios;239.3784;A
2018;41;20;Divorcios;182.3609;A
2018;41;2;Divorcios;84.7634;A
2018;41;3;Divorcios;97.5975;A
2018;41;30;Divorcios;57.0175;A
2018;41;4;Divorcios;46.2073;A
2018;41;5;Divorcios;10.8102;A
2017;C01;00;Divorcios;17436.6101;A
2017;C01;11;Divorcios;15730.167;A
2017;C01;10;Divorcios;15730.167;A
2017;C01;1;Divorcios;15730.167;A
2017;C01;22;Divorcios;1706.4431;A
2017;C01;20;Divorcios;1258.9772;A
2017;C01;2;Divorcios;652.5236;A
2017;C01;3;Divorcios;606.4536;A
2017;C01;30;Divorcios;447.4659;A
2017;C01;4;Divorcios;302.8462;A
2017;C01;5;Divorcios;144.6197;A
2017;04;00;Divorcios;1454.7143;A
2017;04;11;Divorcios;1118.7922;A
2017;04;10;Divorcios;1118.7922;A
2017;04;1;Divorcios;1118.7922;A
2017;04;22;Divorcios;335.9221;A
2017;04;20;Divorcios;214.3138;A
2017;04;2;Divorcios;126.1172;A
2017;04;3;Divorcios;88.1966;A
2017;04;30;Divorcios;121.6083;A
2017;04;4;Divorcios;75.6988;A
2017;04;5;Divorcios;45.9095;A
2017;11;00;Divorcios;2406.3281;A
2017;11;11;Divorcios;2261.2608;A
2017;11;10;Divorcios;2261.2608;A
2017;11;1;Divorcios;2261.2608;A
2017;11;22;Divorcios;145.0673;A
2017;11;20;Divorcios;114.7099;A
2017;11;2;Divorcios;61.8585;A
2017;11;3;Divorcios;52.8514;A
2017;11;30;Divorcios;30.3574;A
2017;11;4;Divorcios;25.282;A
2017;11;5;Divorcios;5.0754;A
2017;14;00;Divorcios;1426.032;A
2017;14;11;Divorcios;1357.9605;A
2017;14;10;Divorcios;1357.9605;A
2017;14;1;Divorcios;1357.9605;A
2017;14;22;Divorcios;68.0715;A
2017;14;20;Divorcios;54.3645;A
2017;14;2;Divorcios;28.447;A
2017;14;3;Divorcios;25.9175;A
2017;14;30;Divorcios;13.707;A
2017;14;4;Divorcios;12.184;A
2017;14;5;Divorcios;1.523;A
2017;18;00;Divorcios;1990.6668;A
2017;18;11;Divorcios;1846.5006;A
2017;18;10;Divorcios;1846.5006;A
2017;18;1;Divorcios;1846.5006;A
2017;18;22;Divorcios;144.1662;A
2017;18;20;Divorcios;112.812;A
2017;18;2;Divorcios;65.099;A
2017;18;3;Divorcios;47.713;A
2017;18;30;Divorcios;31.3542;A
2017;18;4;Divorcios;24.9332;A
2017;18;5;Divorcios;6.421;A
2017;21;00;Divorcios;1060.4795;A
2017;21;11;Divorcios;1005.5401;A
2017;21;10;Divorcios;1005.5401;A
2017;21;1;Divorcios;1005.5401;A
2017;21;22;Divorcios;54.9394;A
2017;21;20;Divorcios;42.4815;A
2017;21;2;Divorcios;32.0044;A
2017;21;3;Divorcios;10.4771;A
2017;21;30;Divorcios;12.4579;A
2017;21;4;Divorcios;5.9424;A
2017;21;5;Divorcios;6.5155;A
2017;23;00;Divorcios;1127.8821;A
2017;23;11;Divorcios;1085.5227;A
2017;23;10;Divorcios;1085.5227;A
2017;23;1;Divorcios;1085.5227;A
2017;23;22;Divorcios;42.3594;A
2017;23;20;Divorcios;40.3122;A
2017;23;2;Divorcios;14.8022;A
2017;23;3;Divorcios;25.51;A
2017;23;30;Divorcios;2.0472;A
2017;23;4;Divorcios;2.0472;A
2017;29;00;Divorcios;3652.1307;A
2017;29;11;Divorcios;3018.8079;A
2017;29;10;Divorcios;3018.8079;A
2017;29;1;Divorcios;3018.8079;A
2017;29;22;Divorcios;633.3228;A
2017;29;20;Divorcios;462.9495;A
2017;29;2;Divorcios;218.3118;A
2017;29;3;Divorcios;244.6377;A
2017;29;30;Divorcios;170.3733;A
2017;29;4;Divorcios;111.1689;A
2017;29;5;Divorcios;59.2044;A
2017;41;00;Divorcios;4318.3766;A
2017;41;11;Divorcios;4035.7822;A
2017;41;10;Divorcios;4035.7822;A
2017;41;1;Divorcios;4035.7822;A
2017;41;22;Divorcios;282.5944;A
2017;41;20;Divorcios;217.0338;A
2017;41;2;Divorcios;105.8835;A
2017;41;3;Divorcios;111.1503;A
2017;41;30;Divorcios;65.5606;A
2017;41;4;Divorcios;45.5897;A
2017;41;5;Divorcios;19.9709;A
2016;C01;00;Divorcios;16968.2676;A
2016;C01;11;Divorcios;15428.564;A
2016;C01;10;Divorcios;15428.564;A
2016;C01;1;Divorcios;15428.564;A
2016;C01;22;Divorcios;1539.7036;A
2016;C01;20;Divorcios;1101.5788;A
2016;C01;2;Divorcios;564.954;A
2016;C01;3;Divorcios;536.6248;A
2016;C01;30;Divorcios;438.1248;A
2016;C01;4;Divorcios;292.2994;A
2016;C01;5;Divorcios;145.8254;A
2016;04;00;Divorcios;1425.5804;A
2016;04;11;Divorcios;1186.1984;A
2016;04;10;Divorcios;1186.1984;A
2016;04;1;Divorcios;1186.1984;A
2016;04;22;Divorcios;239.382;A
2016;04;20;Divorcios;154.2684;A
2016;04;2;Divorcios;87.7734;A
2016;04;3;Divorcios;66.495;A
2016;04;30;Divorcios;85.1136;A
2016;04;4;Divorcios;53.196;A
2016;04;5;Divorcios;31.9176;A
2016;11;00;Divorcios;2275.825;A
2016;11;11;Divorcios;2156.0034;A
2016;11;10;Divorcios;2156.0034;A
2016;11;1;Divorcios;2156.0034;A
2016;11;22;Divorcios;119.8216;A
2016;11;20;Divorcios;96.1726;A
2016;11;2;Divorcios;59.9108;A
2016;11;3;Divorcios;36.2618;A
2016;11;30;Divorcios;23.649;A
2016;11;4;Divorcios;17.3426;A
2016;11;5;Divorcios;6.3064;A
2016;14;00;Divorcios;1473.292;A
2016;14;11;Divorcios;1421.096;A
2016;14;10;Divorcios;1421.096;A
2016;14;1;Divorcios;1421.096;A
2016;14;22;Divorcios;52.196;A
2016;14;20;Divorcios;41.7568;A
2016;14;2;Divorcios;16.9637;A
2016;14;3;Divorcios;24.7931;A
2016;14;30;Divorcios;10.4392;A
2016;14;4;Divorcios;9.1343;A
2016;14;5;Divorcios;1.3049;A
2016;18;00;Divorcios;1937.4432;A
2016;18;11;Divorcios;1783.3088;A
2016;18;10;Divorcios;1783.3088;A
2016;18;1;Divorcios;1783.3088;A
2016;18;22;Divorcios;154.1344;A
2016;18;20;Divorcios;109.1856;A
2016;18;2;Divorcios;58.7792;A
2016;18;3;Divorcios;50.4064;A
2016;18;30;Divorcios;44.9488;A
2016;18;4;Divorcios;29.3896;A
2016;18;5;Divorcios;15.5592;A
2016;21;00;Divorcios;1053.5608;A
2016;21;11;Divorcios;978.9344;A
2016;21;10;Divorcios;978.9344;A
2016;21;1;Divorcios;978.9344;A
2016;21;22;Divorcios;74.6264;A
2016;21;20;Divorcios;52.1468;A
2016;21;2;Divorcios;29.3964;A
2016;21;3;Divorcios;22.7504;A
2016;21;30;Divorcios;22.4796;A
2016;21;4;Divorcios;15.5628;A
2016;21;5;Divorcios;6.9168;A
2016;23;00;Divorcios;1120.7404;A
2016;23;11;Divorcios;1099.8132;A
2016;23;10;Divorcios;1099.8132;A
2016;23;1;Divorcios;1099.8132;A
2016;23;22;Divorcios;20.9272;A
2016;23;20;Divorcios;13.4532;A
2016;23;2;Divorcios;10.4636;A
2016;23;3;Divorcios;2.9896;A
2016;23;30;Divorcios;7.474;A
2016;23;4;Divorcios;5.9792;A
2016;23;5;Divorcios;1.4948;A
2016;29;00;Divorcios;3657.8326;A
2016;29;11;Divorcios;3043.092;A
2016;29;10;Divorcios;3043.092;A
2016;29;1;Divorcios;3043.092;A
2016;29;22;Divorcios;614.7406;A
2016;29;20;Divorcios;446.6734;A
2016;29;2;Divorcios;213.0828;A
2016;29;3;Divorcios;233.5906;A
2016;29;30;Divorcios;168.0672;A
2016;29;4;Divorcios;103.5414;A
2016;29;5;Divorcios;64.5258;A
2016;41;00;Divorcios;4023.9932;A
2016;41;11;Divorcios;3760.1178;A
2016;41;10;Divorcios;3760.1178;A
2016;41;1;Divorcios;3760.1178;A
2016;41;22;Divorcios;263.8754;A
2016;41;20;Divorcios;187.922;A
2016;41;2;Divorcios;88.5841;A
2016;41;3;Divorcios;99.3379;A
2016;41;30;Divorcios;75.9534;A
2016;41;4;Divorcios;58.1535;A
2016;41;5;Divorcios;17.7999;A
2015;C01;00;Divorcios;17029.5907;A
2015;C01;11;Divorcios;15280.9178;A
2015;C01;10;Divorcios;15280.9178;A
2015;C01;1;Divorcios;15280.9178;A
2015;C01;22;Divorcios;1748.6729;A
2015;C01;20;Divorcios;1299.9576;A
2015;C01;2;Divorcios;678.9595;A
2015;C01;3;Divorcios;620.9981;A
2015;C01;30;Divorcios;448.7153;A
2015;C01;4;Divorcios;282.0671;A
2015;C01;5;Divorcios;166.6482;A
2015;04;00;Divorcios;1398.5163;A
2015;04;11;Divorcios;1105.221;A
2015;04;10;Divorcios;1105.221;A
