D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2016;04;2;Nulidades;;A
2016;04;3;Nulidades;;A
2016;04;4;Nulidades;;A
2016;11;000;Nulidades;;A
2016;11;0;Nulidades;;A
2016;11;1;Nulidades;;A
2016;11;2;Nulidades;;A
2016;11;3;Nulidades;;A
2016;11;4;Nulidades;;A
2016;14;000;Nulidades;1.3049;A
2016;14;0;Nulidades;1.3049;A
2016;14;1;Nulidades;;A
2016;14;2;Nulidades;;A
2016;14;3;Nulidades;;A
2016;14;4;Nulidades;;A
2016;14;05+;Nulidades;;A
2016;18;000;Nulidades;1.7288;A
2016;18;0;Nulidades;1.7288;A
2016;18;1;Nulidades;;A
2016;18;2;Nulidades;;A
2016;18;3;Nulidades;;A
2016;18;4;Nulidades;;A
2016;21;000;Nulidades;3.4584;A
2016;21;0;Nulidades;1.7292;A
2016;21;1;Nulidades;;A
2016;21;2;Nulidades;1.7292;A
2016;21;3;Nulidades;;A
2016;21;4;Nulidades;;A
2016;21;05+;Nulidades;;A
2016;23;000;Nulidades;1.4948;A
2016;23;0;Nulidades;1.4948;A
2016;23;1;Nulidades;;A
2016;23;2;Nulidades;;A
2016;23;3;Nulidades;;A
2016;23;4;Nulidades;;A
2016;23;05+;Nulidades;;A
2016;29;000;Nulidades;3.0012;A
2016;29;0;Nulidades;3.0012;A
2016;29;1;Nulidades;;A
2016;29;2;Nulidades;;A
2016;29;3;Nulidades;;A
2016;29;4;Nulidades;;A
2016;29;05+;Nulidades;;A
2016;41;000;Nulidades;1.2923;A
2016;41;0;Nulidades;;A
2016;41;1;Nulidades;;A
2016;41;2;Nulidades;1.2923;A
2016;41;3;Nulidades;;A
2016;41;4;Nulidades;;A
2016;41;05+;Nulidades;;A
2015;C01;000;Nulidades;29.5612;A
2015;C01;0;Nulidades;14.9249;A
2015;C01;1;Nulidades;5.4817;A
2015;C01;2;Nulidades;7.7523;A
2015;C01;3;Nulidades;1.4023;A
2015;C01;4;Nulidades;;A
2015;C01;05+;Nulidades;;A
