D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2016;41;00;Divorcios;4023.9932;A
2016;41;1;Divorcios;100.7994;A
2016;41;2;Divorcios;1795.0047;A
2016;41;3;Divorcios;414.8283;A
2016;41;4;Divorcios;3.8769;A
2016;41;NP;Divorcios;1709.4839;A
2015;C01;00;Divorcios;17029.5907;A
2015;C01;1;Divorcios;408.4571;A
2015;C01;2;Divorcios;7475.2695;A
2015;C01;3;Divorcios;1483.341;A
2015;C01;4;Divorcios;24.6436;A
2015;C01;NP;Divorcios;7637.8795;A
2015;04;00;Divorcios;1398.5163;A
2015;04;1;Divorcios;31.572;A
2015;04;2;Divorcios;601.4466;A
2015;04;3;Divorcios;77.3514;A
2015;04;4;Divorcios;6.3144;A
2015;04;NP;Divorcios;681.8319;A
2015;11;00;Divorcios;2355.5567;A
2015;11;1;Divorcios;71.721;A
2015;11;2;Divorcios;1099.722;A
2015;11;3;Divorcios;183.287;A
2015;11;4;Divorcios;1.5938;A
2015;11;NP;Divorcios;999.2329;A
2015;14;00;Divorcios;1621.987;A
2015;14;1;Divorcios;22.3425;A
2015;14;2;Divorcios;618.1425;A
2015;14;3;Divorcios;305.3475;A
2015;14;4;Divorcios;1.4895;A
2015;14;NP;Divorcios;674.665;A
2015;18;00;Divorcios;1864.9266;A
2015;18;1;Divorcios;61.884;A
2015;18;2;Divorcios;740.889;A
2015;18;3;Divorcios;213.156;A
2015;18;4;Divorcios;6.876;A
2015;18;NP;Divorcios;842.1216;A
2015;21;00;Divorcios;1022.9657;A
2015;21;1;Divorcios;31.2039;A
2015;21;2;Divorcios;524.5227;A
2015;21;3;Divorcios;62.4078;A
2015;21;4;Divorcios;1.4859;A
2015;21;NP;Divorcios;403.3454;A
2015;23;00;Divorcios;1197.5493;A
2015;23;1;Divorcios;36.4584;A
2015;23;2;Divorcios;516.494;A
2015;23;3;Divorcios;101.7797;A
2015;23;4;Divorcios;;A
2015;23;NP;Divorcios;542.8172;A
2015;29;00;Divorcios;3560.4711;A
2015;29;1;Divorcios;77.1265;A
2015;29;2;Divorcios;1448.5759;A
2015;29;3;Divorcios;229.9772;A
2015;29;4;Divorcios;2.8046;A
2015;29;NP;Divorcios;1801.9869;A
2015;41;00;Divorcios;4007.618;A
2015;41;1;Divorcios;76.1488;A
2015;41;2;Divorcios;1925.4768;A
2015;41;3;Divorcios;310.0344;A
2015;41;4;Divorcios;4.0794;A
2015;41;NP;Divorcios;1691.8786;A
2014;C01;00;Divorcios;17376.98787;A
2014;C01;1;Divorcios;404.16361;A
2014;C01;2;Divorcios;8422.29921;A
2014;C01;3;Divorcios;1086.24678;A
2014;C01;4;Divorcios;36.11287;A
2014;C01;NP;Divorcios;7428.1654;A
2014;04;00;Divorcios;1315.503;A
2014;04;1;Divorcios;38.151;A
