D_TEMPORAL_0;D_TERRITORIO_0;D_ARE_INSCRIPCION_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2016;3143;38453;3691;46352;Andaluces;3.0;A
2016;3143;38453;3691;46351;Andaluces;21532.0;A
2016;3143;38453;3689;45230;Andaluces;358.0;A
2016;3143;38453;3689;45276;Andaluces;747.0;A
2016;3143;38453;3689;45354;Andaluces;346.0;A
2016;3143;38453;3689;45576;Andaluces;642.0;A
2016;3143;38453;3689;45657;Andaluces;192.0;A
2016;3143;38453;3689;45765;Andaluces;278.0;A
2016;3143;38453;3689;45873;Andaluces;852.0;A
2016;3143;38453;3689;45980;Andaluces;923.0;A
2016;3143;38453;3689;45981;Andaluces;4338.0;A
2016;3143;38453;3689;45984;Andaluces;739.0;A
2016;3143;38453;3689;46350;Andaluces;5977.0;A
2016;3143;38453;3689;46352;Andaluces;2.0;A
2016;3143;38453;3689;46351;Andaluces;11056.0;A
2016;3143;38453;3690;45230;Andaluces;295.0;A
2016;3143;38453;3690;45276;Andaluces;624.0;A
2016;3143;38453;3690;45354;Andaluces;309.0;A
2016;3143;38453;3690;45576;Andaluces;535.0;A
2016;3143;38453;3690;45657;Andaluces;155.0;A
2016;3143;38453;3690;45765;Andaluces;260.0;A
2016;3143;38453;3690;45873;Andaluces;828.0;A
2016;3143;38453;3690;45980;Andaluces;813.0;A
2016;3143;38453;3690;45981;Andaluces;3819.0;A
2016;3143;38453;3690;45984;Andaluces;593.0;A
2016;3143;38453;3690;46350;Andaluces;6063.0;A
2016;3143;38453;3690;46352;Andaluces;1.0;A
2016;3143;38453;3690;46351;Andaluces;10476.0;A
2016;3160;38453;3691;45230;Andaluces;115.0;A
2016;3160;38453;3691;45276;Andaluces;251.0;A
2016;3160;38453;3691;45354;Andaluces;163.0;A
2016;3160;38453;3691;45576;Andaluces;219.0;A
2016;3160;38453;3691;45657;Andaluces;49.0;A
2016;3160;38453;3691;45765;Andaluces;159.0;A
2016;3160;38453;3691;45873;Andaluces;179.0;A
2016;3160;38453;3691;45980;Andaluces;235.0;A
2016;3160;38453;3691;45981;Andaluces;1370.0;A
2016;3160;38453;3691;45984;Andaluces;;A
2016;3160;38453;3691;46350;Andaluces;;A
2016;3160;38453;3691;46352;Andaluces;;A
2016;3160;38453;3691;46351;Andaluces;1370.0;A
2016;3160;38453;3689;45230;Andaluces;65.0;A
2016;3160;38453;3689;45276;Andaluces;130.0;A
2016;3160;38453;3689;45354;Andaluces;102.0;A
2016;3160;38453;3689;45576;Andaluces;125.0;A
2016;3160;38453;3689;45657;Andaluces;27.0;A
2016;3160;38453;3689;45765;Andaluces;94.0;A
2016;3160;38453;3689;45873;Andaluces;93.0;A
2016;3160;38453;3689;45980;Andaluces;145.0;A
2016;3160;38453;3689;45981;Andaluces;781.0;A
2016;3160;38453;3689;45984;Andaluces;;A
2016;3160;38453;3689;46350;Andaluces;;A
2016;3160;38453;3689;46352;Andaluces;;A
2016;3160;38453;3689;46351;Andaluces;781.0;A
2016;3160;38453;3690;45230;Andaluces;50.0;A
2016;3160;38453;3690;45276;Andaluces;121.0;A
2016;3160;38453;3690;45354;Andaluces;61.0;A
2016;3160;38453;3690;45576;Andaluces;94.0;A
2016;3160;38453;3690;45657;Andaluces;22.0;A
2016;3160;38453;3690;45765;Andaluces;65.0;A
2016;3160;38453;3690;45873;Andaluces;86.0;A
2016;3160;38453;3690;45980;Andaluces;90.0;A
2016;3160;38453;3690;45981;Andaluces;589.0;A
2016;3160;38453;3690;45984;Andaluces;;A
2016;3160;38453;3690;46350;Andaluces;;A
2016;3160;38453;3690;46352;Andaluces;;A
2016;3160;38453;3690;46351;Andaluces;589.0;A
2016;3676;38453;3691;45230;Andaluces;768.0;A
2016;3676;38453;3691;45276;Andaluces;1622.0;A
2016;3676;38453;3691;45354;Andaluces;818.0;A
2016;3676;38453;3691;45576;Andaluces;1396.0;A
2016;3676;38453;3691;45657;Andaluces;396.0;A
2016;3676;38453;3691;45765;Andaluces;697.0;A
2016;3676;38453;3691;45873;Andaluces;1859.0;A
2016;3676;38453;3691;45980;Andaluces;1971.0;A
2016;3676;38453;3691;45981;Andaluces;9527.0;A
2016;3676;38453;3691;45984;Andaluces;1332.0;A
2016;3676;38453;3691;46350;Andaluces;12040.0;A
2016;3676;38453;3691;46352;Andaluces;3.0;A
2016;3676;38453;3691;46351;Andaluces;22902.0;A
2016;3676;38453;3689;45230;Andaluces;423.0;A
2016;3676;38453;3689;45276;Andaluces;877.0;A
2016;3676;38453;3689;45354;Andaluces;448.0;A
2016;3676;38453;3689;45576;Andaluces;767.0;A
2016;3676;38453;3689;45657;Andaluces;219.0;A
2016;3676;38453;3689;45765;Andaluces;372.0;A
2016;3676;38453;3689;45873;Andaluces;945.0;A
2016;3676;38453;3689;45980;Andaluces;1068.0;A
2016;3676;38453;3689;45981;Andaluces;5119.0;A
2016;3676;38453;3689;45984;Andaluces;739.0;A
2016;3676;38453;3689;46350;Andaluces;5977.0;A
2016;3676;38453;3689;46352;Andaluces;2.0;A
2016;3676;38453;3689;46351;Andaluces;11837.0;A
2016;3676;38453;3690;45230;Andaluces;345.0;A
2016;3676;38453;3690;45276;Andaluces;745.0;A
2016;3676;38453;3690;45354;Andaluces;370.0;A
2016;3676;38453;3690;45576;Andaluces;629.0;A
2016;3676;38453;3690;45657;Andaluces;177.0;A
2016;3676;38453;3690;45765;Andaluces;325.0;A
2016;3676;38453;3690;45873;Andaluces;914.0;A
2016;3676;38453;3690;45980;Andaluces;903.0;A
2016;3676;38453;3690;45981;Andaluces;4408.0;A
2016;3676;38453;3690;45984;Andaluces;593.0;A
2016;3676;38453;3690;46350;Andaluces;6063.0;A
2016;3676;38453;3690;46352;Andaluces;1.0;A
2016;3676;38453;3690;46351;Andaluces;11065.0;A
2017;2352;38453;3691;45230;Andaluces;578.0;A
2017;2352;38453;3691;45276;Andaluces;4.0;A
2017;2352;38453;3691;45354;Andaluces;3.0;A
2017;2352;38453;3691;45576;Andaluces;27.0;A
2017;2352;38453;3691;45657;Andaluces;;A
2017;2352;38453;3691;45765;Andaluces;9.0;A
2017;2352;38453;3691;45873;Andaluces;4.0;A
2017;2352;38453;3691;45980;Andaluces;1.0;A
2017;2352;38453;3691;45981;Andaluces;626.0;A
2017;2352;38453;3691;45984;Andaluces;90.0;A
2017;2352;38453;3691;46350;Andaluces;1831.0;A
2017;2352;38453;3691;46352;Andaluces;1.0;A
2017;2352;38453;3691;46351;Andaluces;2548.0;A
2017;2352;38453;3689;45230;Andaluces;294.0;A
2017;2352;38453;3689;45276;Andaluces;1.0;A
2017;2352;38453;3689;45354;Andaluces;1.0;A
2017;2352;38453;3689;45576;Andaluces;18.0;A
2017;2352;38453;3689;45657;Andaluces;;A
2017;2352;38453;3689;45765;Andaluces;4.0;A
2017;2352;38453;3689;45873;Andaluces;4.0;A
2017;2352;38453;3689;45980;Andaluces;;A
2017;2352;38453;3689;45981;Andaluces;322.0;A
2017;2352;38453;3689;45984;Andaluces;45.0;A
2017;2352;38453;3689;46350;Andaluces;881.0;A
2017;2352;38453;3689;46352;Andaluces;1.0;A
2017;2352;38453;3689;46351;Andaluces;1249.0;A
2017;2352;38453;3690;45230;Andaluces;284.0;A
2017;2352;38453;3690;45276;Andaluces;3.0;A
2017;2352;38453;3690;45354;Andaluces;2.0;A
2017;2352;38453;3690;45576;Andaluces;9.0;A
2017;2352;38453;3690;45657;Andaluces;;A
2017;2352;38453;3690;45765;Andaluces;5.0;A
2017;2352;38453;3690;45873;Andaluces;;A
2017;2352;38453;3690;45980;Andaluces;1.0;A
2017;2352;38453;3690;45981;Andaluces;304.0;A
2017;2352;38453;3690;45984;Andaluces;45.0;A
2017;2352;38453;3690;46350;Andaluces;950.0;A
2017;2352;38453;3690;46352;Andaluces;;A
2017;2352;38453;3690;46351;Andaluces;1299.0;A
2017;2402;38453;3691;45230;Andaluces;1.0;A
2017;2402;38453;3691;45276;Andaluces;1152.0;A
2017;2402;38453;3691;45354;Andaluces;13.0;A
2017;2402;38453;3691;45576;Andaluces;7.0;A
2017;2402;38453;3691;45657;Andaluces;3.0;A
2017;2402;38453;3691;45765;Andaluces;4.0;A
2017;2402;38453;3691;45873;Andaluces;15.0;A
2017;2402;38453;3691;45980;Andaluces;38.0;A
2017;2402;38453;3691;45981;Andaluces;1233.0;A
2017;2402;38453;3691;45984;Andaluces;186.0;A
2017;2402;38453;3691;46350;Andaluces;916.0;A
2017;2402;38453;3691;46352;Andaluces;;A
2017;2402;38453;3691;46351;Andaluces;2335.0;A
2017;2402;38453;3689;45230;Andaluces;;A
2017;2402;38453;3689;45276;Andaluces;574.0;A
2017;2402;38453;3689;45354;Andaluces;8.0;A
2017;2402;38453;3689;45576;Andaluces;4.0;A
2017;2402;38453;3689;45657;Andaluces;3.0;A
2017;2402;38453;3689;45765;Andaluces;2.0;A
2017;2402;38453;3689;45873;Andaluces;9.0;A
2017;2402;38453;3689;45980;Andaluces;17.0;A
2017;2402;38453;3689;45981;Andaluces;617.0;A
2017;2402;38453;3689;45984;Andaluces;110.0;A
2017;2402;38453;3689;46350;Andaluces;461.0;A
2017;2402;38453;3689;46352;Andaluces;;A
2017;2402;38453;3689;46351;Andaluces;1188.0;A
2017;2402;38453;3690;45230;Andaluces;1.0;A
2017;2402;38453;3690;45276;Andaluces;578.0;A
2017;2402;38453;3690;45354;Andaluces;5.0;A
2017;2402;38453;3690;45576;Andaluces;3.0;A
2017;2402;38453;3690;45657;Andaluces;;A
2017;2402;38453;3690;45765;Andaluces;2.0;A
2017;2402;38453;3690;45873;Andaluces;6.0;A
2017;2402;38453;3690;45980;Andaluces;21.0;A
2017;2402;38453;3690;45981;Andaluces;616.0;A
2017;2402;38453;3690;45984;Andaluces;76.0;A
2017;2402;38453;3690;46350;Andaluces;455.0;A
2017;2402;38453;3690;46352;Andaluces;;A
2017;2402;38453;3690;46351;Andaluces;1147.0;A
2017;2482;38453;3691;45230;Andaluces;2.0;A
2017;2482;38453;3691;45276;Andaluces;8.0;A
2017;2482;38453;3691;45354;Andaluces;604.0;A
2017;2482;38453;3691;45576;Andaluces;2.0;A
2017;2482;38453;3691;45657;Andaluces;2.0;A
2017;2482;38453;3691;45765;Andaluces;9.0;A
