D_TEMPORAL_0;D_LUGARNACIMIEN_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2009;45980;3690;3142;Andaluces;5735.0;A
2009;45980;3690;3143;Andaluces;6054.0;A
2009;45980;3690;3160;Andaluces;748.0;A
2009;45980;3690;3676;Andaluces;6802.0;A
2009;45981;3691;2352;Andaluces;10512.0;A
2009;45981;3691;2402;Andaluces;10996.0;A
2009;45981;3691;2482;Andaluces;8230.0;A
2009;45981;3691;2713;Andaluces;15016.0;A
2009;45981;3691;2797;Andaluces;2786.0;A
2009;45981;3691;2911;Andaluces;5211.0;A
2009;45981;3691;3023;Andaluces;13021.0;A
2009;45981;3691;3142;Andaluces;11804.0;A
2009;45981;3691;3143;Andaluces;77576.0;A
2009;45981;3691;3160;Andaluces;10898.0;A
2009;45981;3691;3676;Andaluces;88474.0;A
2009;45981;3689;2352;Andaluces;5064.0;A
2009;45981;3689;2402;Andaluces;5196.0;A
2009;45981;3689;2482;Andaluces;4110.0;A
2009;45981;3689;2713;Andaluces;7329.0;A
2009;45981;3689;2797;Andaluces;1390.0;A
2009;45981;3689;2911;Andaluces;2557.0;A
2009;45981;3689;3023;Andaluces;6340.0;A
2009;45981;3689;3142;Andaluces;5673.0;A
2009;45981;3689;3143;Andaluces;37659.0;A
2009;45981;3689;3160;Andaluces;5288.0;A
2009;45981;3689;3676;Andaluces;42947.0;A
2009;45981;3690;2352;Andaluces;5448.0;A
2009;45981;3690;2402;Andaluces;5800.0;A
2009;45981;3690;2482;Andaluces;4120.0;A
2009;45981;3690;2713;Andaluces;7687.0;A
2009;45981;3690;2797;Andaluces;1396.0;A
2009;45981;3690;2911;Andaluces;2654.0;A
2009;45981;3690;3023;Andaluces;6681.0;A
2009;45981;3690;3142;Andaluces;6131.0;A
2009;45981;3690;3143;Andaluces;39917.0;A
2009;45981;3690;3160;Andaluces;5610.0;A
2009;45981;3690;3676;Andaluces;45527.0;A
2010;45230;3691;2352;Andaluces;10218.0;A
2010;45230;3691;2402;Andaluces;16.0;A
2010;45230;3691;2482;Andaluces;14.0;A
2010;45230;3691;2713;Andaluces;75.0;A
2010;45230;3691;2797;Andaluces;3.0;A
2010;45230;3691;2911;Andaluces;8.0;A
2010;45230;3691;3023;Andaluces;36.0;A
2010;45230;3691;3142;Andaluces;36.0;A
2010;45230;3691;3143;Andaluces;10406.0;A
2010;45230;3691;3160;Andaluces;1110.0;A
2010;45230;3691;3676;Andaluces;11516.0;A
2010;45230;3689;2352;Andaluces;4893.0;A
2010;45230;3689;2402;Andaluces;8.0;A
2010;45230;3689;2482;Andaluces;8.0;A
2010;45230;3689;2713;Andaluces;26.0;A
2010;45230;3689;2797;Andaluces;2.0;A
2010;45230;3689;2911;Andaluces;6.0;A
2010;45230;3689;3023;Andaluces;23.0;A
2010;45230;3689;3142;Andaluces;22.0;A
2010;45230;3689;3143;Andaluces;4988.0;A
2010;45230;3689;3160;Andaluces;580.0;A
2010;45230;3689;3676;Andaluces;5568.0;A
2010;45230;3690;2352;Andaluces;5325.0;A
2010;45230;3690;2402;Andaluces;8.0;A
2010;45230;3690;2482;Andaluces;6.0;A
2010;45230;3690;2713;Andaluces;49.0;A
2010;45230;3690;2797;Andaluces;1.0;A
2010;45230;3690;2911;Andaluces;2.0;A
2010;45230;3690;3023;Andaluces;13.0;A
2010;45230;3690;3142;Andaluces;14.0;A
2010;45230;3690;3143;Andaluces;5418.0;A
2010;45230;3690;3160;Andaluces;530.0;A
2010;45230;3690;3676;Andaluces;5948.0;A
2010;45276;3691;2352;Andaluces;11.0;A
