D_TEMPORAL_0;D_ESTADO_DATO_0;D_IASS_TIPOVENTAS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006-07;40123;61755;3143;Índice Cifra de Negocio;144.426675733;M
2006-07;40123;61756;3143;Índice Cifra de Negocio;110.994441499;M
2006-07;40123;61757;3143;Índice Cifra de Negocio;151.41086363;M
2006-07;40123;61758;3143;Índice Cifra de Negocio;123.672076159;M
2006-07;40123;61759;3143;Índice Cifra de Negocio;173.63478376;M
2006-07;40123;61760;3143;Índice Cifra de Negocio;217.704962724;M
2006-08;40123;61753;3143;Índice Cifra de Negocio;119.270511847;M
2006-08;40123;61754;3143;Índice Cifra de Negocio;115.90733276;M
2006-08;40123;61755;3143;Índice Cifra de Negocio;128.054116986;M
2006-08;40123;61756;3143;Índice Cifra de Negocio;101.599420881;M
2006-08;40123;61757;3143;Índice Cifra de Negocio;169.27968606;M
2006-08;40123;61758;3143;Índice Cifra de Negocio;109.954573592;M
2006-08;40123;61759;3143;Índice Cifra de Negocio;105.107124739;M
2006-08;40123;61760;3143;Índice Cifra de Negocio;177.696360431;M
2006-09;40123;61753;3143;Índice Cifra de Negocio;123.289306193;M
2006-09;40123;61754;3143;Índice Cifra de Negocio;120.236757847;M
2006-09;40123;61755;3143;Índice Cifra de Negocio;131.299091013;M
2006-09;40123;61756;3143;Índice Cifra de Negocio;110.884591833;M
2006-09;40123;61757;3143;Índice Cifra de Negocio;142.036993226;M
2006-09;40123;61758;3143;Índice Cifra de Negocio;116.581565746;M
2006-09;40123;61759;3143;Índice Cifra de Negocio;152.38436341;M
2006-09;40123;61760;3143;Índice Cifra de Negocio;163.509952268;M
2006-10;40123;61753;3143;Índice Cifra de Negocio;126.427433179;M
2006-10;40123;61754;3143;Índice Cifra de Negocio;125.162552083;M
2006-10;40123;61755;3143;Índice Cifra de Negocio;129.934117411;M
2006-10;40123;61756;3143;Índice Cifra de Negocio;112.324073244;M
2006-10;40123;61757;3143;Índice Cifra de Negocio;124.233704625;M
2006-10;40123;61758;3143;Índice Cifra de Negocio;121.457856263;M
2006-10;40123;61759;3143;Índice Cifra de Negocio;169.966513596;M
2006-10;40123;61760;3143;Índice Cifra de Negocio;154.197507677;M
2006-11;40123;61753;3143;Índice Cifra de Negocio;125.975616684;M
2006-11;40123;61754;3143;Índice Cifra de Negocio;127.694971513;M
2006-11;40123;61755;3143;Índice Cifra de Negocio;121.950890765;M
2006-11;40123;61756;3143;Índice Cifra de Negocio;112.519099;M
2006-11;40123;61757;3143;Índice Cifra de Negocio;107.018213928;M
2006-11;40123;61758;3143;Índice Cifra de Negocio;120.590948442;M
2006-11;40123;61759;3143;Índice Cifra de Negocio;162.322128608;M
2006-11;40123;61760;3143;Índice Cifra de Negocio;130.811160472;M
2006-12;40123;61753;3143;Índice Cifra de Negocio;142.468432796;M
2006-12;40123;61754;3143;Índice Cifra de Negocio;146.350868706;M
2006-12;40123;61755;3143;Índice Cifra de Negocio;133.026571818;M
2006-12;40123;61756;3143;Índice Cifra de Negocio;112.325179565;M
2006-12;40123;61757;3143;Índice Cifra de Negocio;116.851177358;M
2006-12;40123;61758;3143;Índice Cifra de Negocio;139.895964095;M
2006-12;40123;61759;3143;Índice Cifra de Negocio;180.686699779;M
2006-12;40123;61760;3143;Índice Cifra de Negocio;157.292501898;M
2007-01;40123;61753;3143;Índice Cifra de Negocio;120.68095241;M
2007-01;40123;61754;3143;Índice Cifra de Negocio;124.264354994;M
2007-01;40123;61755;3143;Índice Cifra de Negocio;111.939384086;M
2007-01;40123;61756;3143;Índice Cifra de Negocio;104.963875236;M
2007-01;40123;61757;3143;Índice Cifra de Negocio;98.497489741;M
2007-01;40123;61758;3143;Índice Cifra de Negocio;114.885887652;M
2007-01;40123;61759;3143;Índice Cifra de Negocio;149.261453607;M
2007-01;40123;61760;3143;Índice Cifra de Negocio;109.523596261;M
2007-02;40123;61753;3143;Índice Cifra de Negocio;111.004243875;M
2007-02;40123;61754;3143;Índice Cifra de Negocio;112.004114351;M
2007-02;40123;61755;3143;Índice Cifra de Negocio;108.757737;M
2007-02;40123;61756;3143;Índice Cifra de Negocio;102.167744536;M
2007-02;40123;61757;3143;Índice Cifra de Negocio;98.850103012;M
2007-02;40123;61758;3143;Índice Cifra de Negocio;114.443790279;M
2007-02;40123;61759;3143;Índice Cifra de Negocio;139.207417476;M
2007-02;40123;61760;3143;Índice Cifra de Negocio;103.57043349;M
2007-03;40123;61753;3143;Índice Cifra de Negocio;134.50416216;M
2007-03;40123;61754;3143;Índice Cifra de Negocio;137.504290087;M
2007-03;40123;61755;3143;Índice Cifra de Negocio;127.268837212;M
2007-03;40123;61756;3143;Índice Cifra de Negocio;120.934328122;M
2007-03;40123;61757;3143;Índice Cifra de Negocio;115.331612407;M
2007-03;40123;61758;3143;Índice Cifra de Negocio;128.117567206;M
2007-03;40123;61759;3143;Índice Cifra de Negocio;159.496445262;M
2007-03;40123;61760;3143;Índice Cifra de Negocio;128.92152686;M
2007-04;40123;61753;3143;Índice Cifra de Negocio;123.927406863;M
2007-04;40123;61754;3143;Índice Cifra de Negocio;123.226660577;M
2007-04;40123;61755;3143;Índice Cifra de Negocio;126.004351357;M
2007-04;40123;61756;3143;Índice Cifra de Negocio;112.363763259;M
2007-04;40123;61757;3143;Índice Cifra de Negocio;130.374317617;M
2007-04;40123;61758;3143;Índice Cifra de Negocio;121.833616757;M
2007-04;40123;61759;3143;Índice Cifra de Negocio;155.189425672;M
2007-04;40123;61760;3143;Índice Cifra de Negocio;128.507389733;M
2007-05;40123;61753;3143;Índice Cifra de Negocio;134.56903647;M
2007-05;40123;61754;3143;Índice Cifra de Negocio;134.724922109;M
2007-05;40123;61755;3143;Índice Cifra de Negocio;134.510904256;M
2007-05;40123;61756;3143;Índice Cifra de Negocio;118.018056198;M
2007-05;40123;61757;3143;Índice Cifra de Negocio;130.073810608;M
2007-05;40123;61758;3143;Índice Cifra de Negocio;129.746105604;M
2007-05;40123;61759;3143;Índice Cifra de Negocio;166.069786293;M
2007-05;40123;61760;3143;Índice Cifra de Negocio;158.753982271;M
2007-06;40123;61753;3143;Índice Cifra de Negocio;136.989418684;M
2007-06;40123;61754;3143;Índice Cifra de Negocio;137.038453851;M
2007-06;40123;61755;3143;Índice Cifra de Negocio;137.206937421;M
2007-06;40123;61756;3143;Índice Cifra de Negocio;120.417861475;M
2007-06;40123;61757;3143;Índice Cifra de Negocio;138.682277786;M
2007-06;40123;61758;3143;Índice Cifra de Negocio;127.8227857;M
2007-06;40123;61759;3143;Índice Cifra de Negocio;174.17813602;M
2007-06;40123;61760;3143;Índice Cifra de Negocio;151.049861113;M
2007-07;40123;61753;3143;Índice Cifra de Negocio;143.390402071;M
2007-07;40123;61754;3143;Índice Cifra de Negocio;141.104374778;M
2007-07;40123;61755;3143;Índice Cifra de Negocio;149.51605614;M
2007-07;40123;61756;3143;Índice Cifra de Negocio;119.314228279;M
2007-07;40123;61757;3143;Índice Cifra de Negocio;157.960042375;M
2007-07;40123;61758;3143;Índice Cifra de Negocio;127.932260451;M
2007-07;40123;61759;3143;Índice Cifra de Negocio;217.317378023;M
2007-07;40123;61760;3143;Índice Cifra de Negocio;167.524686642;M
2007-08;40123;61753;3143;Índice Cifra de Negocio;125.711213842;M
2007-08;40123;61754;3143;Índice Cifra de Negocio;124.023015058;M
2007-08;40123;61755;3143;Índice Cifra de Negocio;130.284294442;M
2007-08;40123;61756;3143;Índice Cifra de Negocio;108.928062076;M
2007-08;40123;61757;3143;Índice Cifra de Negocio;169.949227493;M
2007-08;40123;61758;3143;Índice Cifra de Negocio;114.493145383;M
2007-08;40123;61759;3143;Índice Cifra de Negocio;118.850009875;M
2007-08;40123;61760;3143;Índice Cifra de Negocio;152.371072225;M
2007-09;40123;61753;3143;Índice Cifra de Negocio;124.176184561;M
2007-09;40123;61754;3143;Índice Cifra de Negocio;121.425342636;M
2007-09;40123;61755;3143;Índice Cifra de Negocio;131.426866485;M
2007-09;40123;61756;3143;Índice Cifra de Negocio;111.470890552;M
2007-09;40123;61757;3143;Índice Cifra de Negocio;141.351602465;M
2007-09;40123;61758;3143;Índice Cifra de Negocio;122.818603997;M
2007-09;40123;61759;3143;Índice Cifra de Negocio;146.3814529;M
2007-09;40123;61760;3143;Índice Cifra de Negocio;163.524775754;M
2007-10;40123;61753;3143;Índice Cifra de Negocio;136.083590456;M
2007-10;40123;61754;3143;Índice Cifra de Negocio;136.131069319;M
2007-10;40123;61755;3143;Índice Cifra de Negocio;136.302779788;M
2007-10;40123;61756;3143;Índice Cifra de Negocio;122.777807151;M
2007-10;40123;61757;3143;Índice Cifra de Negocio;125.51715884;M
2007-10;40123;61758;3143;Índice Cifra de Negocio;128.794146933;M
2007-10;40123;61759;3143;Índice Cifra de Negocio;161.043431688;M
2007-10;40123;61760;3143;Índice Cifra de Negocio;174.821007905;M
2007-11;40123;61753;3143;Índice Cifra de Negocio;133.814525545;M
2007-11;40123;61754;3143;Índice Cifra de Negocio;136.114859982;M
2007-11;40123;61755;3143;Índice Cifra de Negocio;128.343309587;M
2007-11;40123;61756;3143;Índice Cifra de Negocio;117.281258183;M
2007-11;40123;61757;3143;Índice Cifra de Negocio;106.063643872;M
2007-11;40123;61758;3143;Índice Cifra de Negocio;127.054146338;M
2007-11;40123;61759;3143;Índice Cifra de Negocio;164.775691721;M
2007-11;40123;61760;3143;Índice Cifra de Negocio;159.408938109;M
2007-12;40123;61753;3143;Índice Cifra de Negocio;145.705609463;M
2007-12;40123;61754;3143;Índice Cifra de Negocio;149.954917113;M
2007-12;40123;61755;3143;Índice Cifra de Negocio;135.346065143;M
2007-12;40123;61756;3143;Índice Cifra de Negocio;117.090253079;M
2007-12;40123;61757;3143;Índice Cifra de Negocio;120.952531097;M
2007-12;40123;61758;3143;Índice Cifra de Negocio;143.99583328;M
2007-12;40123;61759;3143;Índice Cifra de Negocio;183.336054257;M
2007-12;40123;61760;3143;Índice Cifra de Negocio;147.079604735;M
2008-01;40123;61753;3143;Índice Cifra de Negocio;126.76713839;M
2008-01;40123;61754;3143;Índice Cifra de Negocio;130.351358055;M
2008-01;40123;61755;3143;Índice Cifra de Negocio;118.038669469;M
2008-01;40123;61756;3143;Índice Cifra de Negocio;107.859102281;M
