TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-04;108;22;INDICE;105.05;M
2021-04;108;23;INDICE;104.29;M
2021-04;108;24;INDICE;106.408;M
2021-04;108;25;INDICE;106.466;M
2021-04;108;26;INDICE;109.551;M
2021-04;108;17;INDICE;106.359;M
2021-04;108;27;INDICE;107.575;M
2021-04;108;28;INDICE;103.262;M
2021-04;108;09;INDICE;105.116;M
2021-04;108;11;INDICE;105.514;M
2021-04;108;03;INDICE;107.251;M
2021-04;108;04;INDICE;114.967;M
2021-04;108;10;INDICE;102.176;M
2021-04;108;29;INDICE;105.591;M
2021-04;C01;01;INDICE;103.48;M
2021-04;C01;02;INDICE;114.596;M
2021-04;C01;05;INDICE;106.04;M
2021-04;C01;12;INDICE;105.996;M
2021-04;C01;08;INDICE;115.158;M
2021-04;C01;06;INDICE;98.927;M
2021-04;C01;07;INDICE;116.629;M
2021-04;C01;13;INDICE;106.07;M
2021-04;C01;14;INDICE;106.291;M
2021-04;C01;18;INDICE;105.606;M
2021-04;C01;15;INDICE;105.065;M
2021-04;C01;16;INDICE;104.167;M
2021-04;C01;19;INDICE;106.309;M
2021-04;C01;20;INDICE;106.352;M
2021-04;C01;21;INDICE;106.105;M
2021-04;C01;22;INDICE;105.12;M
2021-04;C01;23;INDICE;104.29;M
2021-04;C01;24;INDICE;105.992;M
2021-04;C01;25;INDICE;106.04;M
2021-04;C01;26;INDICE;109.165;M
2021-04;C01;17;INDICE;106.338;M
2021-04;C01;27;INDICE;107.205;M
2021-04;C01;28;INDICE;102.737;M
2021-04;C01;09;INDICE;104.597;M
2021-04;C01;11;INDICE;105.919;M
2021-04;C01;03;INDICE;106.803;M
2021-04;C01;04;INDICE;115.48;M
2021-04;C01;10;INDICE;101.857;M
2021-04;C01;29;INDICE;105.699;M
2021-05;108;01;INDICE;104.433;M
2021-05;108;02;INDICE;114.435;M
2021-05;108;05;INDICE;107.493;M
2021-05;108;12;INDICE;105.631;M
2021-05;108;08;INDICE;117.277;M
2021-05;108;06;INDICE;99.509;M
2021-05;108;07;INDICE;118.262;M
2021-05;108;13;INDICE;106.581;M
2021-05;108;14;INDICE;106.854;M
2021-05;108;18;INDICE;105.981;M
2021-05;108;15;INDICE;105.458;M
2021-05;108;16;INDICE;104.617;M
2021-05;108;19;INDICE;107.416;M
2021-05;108;20;INDICE;107.503;M
2021-05;108;21;INDICE;106.63;M
2021-05;108;22;INDICE;105.403;M
2021-05;108;23;INDICE;104.618;M
2021-05;108;24;INDICE;107.357;M
