TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ
2021-03;29;05;INDICE;101.146;M
2021-03;29;06;INDICE;103.308;M
2021-03;29;07;INDICE;110.4;M
2021-03;29;08;INDICE;101.496;M
2021-03;29;09;INDICE;101.953;M
2021-03;29;10;INDICE;107.619;M
2021-03;29;11;INDICE;108.435;M
2021-03;29;12;INDICE;105.498;M
2021-03;41;00;INDICE;104.647;M
2021-03;41;01;INDICE;106.062;M
2021-03;41;02;INDICE;103.078;M
2021-03;41;03;INDICE;98.822;M
2021-03;41;04;INDICE;105.448;M
2021-03;41;05;INDICE;100.35;M
2021-03;41;06;INDICE;101.536;M
2021-03;41;07;INDICE;109.639;M
2021-03;41;08;INDICE;98.883;M
2021-03;41;09;INDICE;98.205;M
2021-03;41;10;INDICE;105.956;M
2021-03;41;11;INDICE;107.178;M
2021-03;41;12;INDICE;104.408;M
2021-04;108;00;INDICE;106.311;M
2021-04;108;01;INDICE;107.596;M
2021-04;108;02;INDICE;104.914;M
2021-04;108;03;INDICE;108.794;M
2021-04;108;04;INDICE;108.41;M
2021-04;108;05;INDICE;101.407;M
2021-04;108;06;INDICE;102.678;M
2021-04;108;07;INDICE;110.265;M
2021-04;108;08;INDICE;100.232;M
2021-04;108;09;INDICE;99.344;M
2021-04;108;10;INDICE;103.13;M
2021-04;108;11;INDICE;107.077;M
2021-04;108;12;INDICE;105.473;M
2021-04;C01;00;INDICE;106.26;M
2021-04;C01;01;INDICE;107.326;M
2021-04;C01;02;INDICE;103.594;M
2021-04;C01;03;INDICE;109.189;M
2021-04;C01;04;INDICE;109.645;M
2021-04;C01;05;INDICE;100.048;M
2021-04;C01;06;INDICE;102.445;M
2021-04;C01;07;INDICE;110.051;M
2021-04;C01;08;INDICE;100.36;M
2021-04;C01;09;INDICE;98.561;M
2021-04;C01;10;INDICE;105.551;M
2021-04;C01;11;INDICE;106.919;M
2021-04;C01;12;INDICE;104.228;M
2021-04;04;00;INDICE;106.594;M
2021-04;04;01;INDICE;109.231;M
2021-04;04;02;INDICE;104.933;M
2021-04;04;03;INDICE;109.854;M
2021-04;04;04;INDICE;109.697;M
2021-04;04;05;INDICE;100.33;M
2021-04;04;06;INDICE;102.253;M
2021-04;04;07;INDICE;111.166;M
2021-04;04;08;INDICE;102.164;M
2021-04;04;09;INDICE;98.222;M
2021-04;04;10;INDICE;102.402;M
2021-04;04;11;INDICE;103.517;M
2021-04;04;12;INDICE;103.288;M
2021-04;11;00;INDICE;105.284;M
