TEMPORAL;TERRITORIO;IPC_RUBRICAS;INDICATOR;OBS_VALUE;FREQ
2021-03;C01;57;INDICE;106.342;M
2021-04;108;01;INDICE;102.082;M
2021-04;108;02;INDICE;103.566;M
2021-04;108;03;INDICE;105.563;M
2021-04;108;04;INDICE;111.186;M
2021-04;108;05;INDICE;110.734;M
2021-04;108;06;INDICE;109.217;M
2021-04;108;07;INDICE;108.772;M
2021-04;108;08;INDICE;111.203;M
2021-04;108;09;INDICE;110.094;M
2021-04;108;10;INDICE;106.324;M
2021-04;108;11;INDICE;98.718;M
2021-04;108;12;INDICE;103.526;M
2021-04;108;13;INDICE;88.371;M
2021-04;108;14;INDICE;114.779;M
2021-04;108;15;INDICE;98.798;M
2021-04;108;16;INDICE;126.219;M
2021-04;108;17;INDICE;105.231;M
2021-04;108;18;INDICE;111.663;M
2021-04;108;19;INDICE;101.291;M
2021-04;108;20;INDICE;105.822;M
2021-04;108;21;INDICE;102.345;M
2021-04;108;22;INDICE;115.581;M
2021-04;108;23;INDICE;107.049;M
2021-04;108;24;INDICE;103.849;M
2021-04;108;25;INDICE;103.966;M
2021-04;108;26;INDICE;111.726;M
2021-04;108;27;INDICE;113.929;M
2021-04;108;28;INDICE;105.854;M
2021-04;108;29;INDICE;107.27;M
2021-04;108;30;INDICE;106.763;M
2021-04;108;31;INDICE;103.356;M
2021-04;108;32;INDICE;108.216;M
2021-04;108;33;INDICE;104.936;M
2021-04;108;34;INDICE;111.954;M
2021-04;108;35;INDICE;104.118;M
2021-04;108;36;INDICE;103.148;M
2021-04;108;37;INDICE;97.953;M
2021-04;108;38;INDICE;97.265;M
2021-04;108;39;INDICE;99.38;M
2021-04;108;40;INDICE;100.003;M
2021-04;108;41;INDICE;109.492;M
2021-04;108;42;INDICE;108.256;M
2021-04;108;43;INDICE;100.222;M
2021-04;108;44;INDICE;111.056;M
2021-04;108;45;INDICE;102.497;M
2021-04;108;46;INDICE;95.613;M
2021-04;108;47;INDICE;100.232;M
2021-04;108;48;INDICE;89.318;M
2021-04;108;49;INDICE;109.36;M
2021-04;108;50;INDICE;102.771;M
2021-04;108;51;INDICE;106.361;M
2021-04;108;52;INDICE;108.262;M
2021-04;108;53;INDICE;99.313;M
2021-04;108;54;INDICE;105.967;M
2021-04;108;55;INDICE;97.586;M
2021-04;108;56;INDICE;106.14;M
2021-04;108;57;INDICE;107.083;M
2021-04;C01;01;INDICE;103.256;M
2021-04;C01;02;INDICE;101.471;M
2021-04;C01;03;INDICE;105.656;M
2021-04;C01;04;INDICE;110.937;M
2021-04;C01;05;INDICE;110.133;M
2021-04;C01;06;INDICE;111.627;M
2021-04;C01;07;INDICE;107.212;M
2021-04;C01;08;INDICE;110.617;M
2021-04;C01;09;INDICE;109.579;M
2021-04;C01;10;INDICE;102.713;M
2021-04;C01;11;INDICE;98.307;M
2021-04;C01;12;INDICE;103.539;M
